阿丹阁,a'dan'ge
安乐村,an'le'cun
安通路,an'tong'lu
八中小区,ba'zhong'xiao'qu
白华路口,bai'hua'lu'kou
白龙广场,bai'long'guang'chang
柏龙水榭,bai'long'shui'xie
柏龙水谢,bai'long'shui'xie
白玉园,bai'yu'yuan
北门市场,bei'men'shi'chang
殡仪馆,bin'yi'guan
昌洛广场,chang'luo'guang'chang
长水冷冻厂,chang'shui'leng'dong'chang
茨满,ci'man
大港旺宝酒店,da'gang'wang'bao'jiu'dian
大研中学,da'yan'zhong'xue
迪庆干休所,di'qing'gan'xiu'suo
东郊转台,dong'jiao'zhuan'tai
恩列村,en'lie'cun
房产交易中心,fang'chan'jiao'yi'zhong'xin
奋飞修理厂,fen'fei'xiu'li'chang
福慧市场,fu'hui'shi'chang
福慧学校,fu'hui'xue'xiao
干休所,gan'xiu'suo
高快客运站,gao'kuai'ke'yun'zhan
公交汽车公司,gong'jiao'qi'che'gong'si
公路总段,gong'lu'zong'duan
工贸商场,gong'mao'shang'chang
古城建材城,gu'cheng'jian'cai'cheng
古城建材市场,gu'cheng'jian'cai'shi'chang
古城口,gu'cheng'kou
古城区民政局,gu'cheng'qu'min'zheng'ju
古城区民族中学,gu'cheng'qu'min'zu'zhong'xue
古城区政府,gu'cheng'qu'zheng'fu
古城停车场,gu'cheng'ting'che'chang
官房花园别墅,guan'fang'hua'yuan'bie'shu
国立修理厂,guo'li'xiu'li'chang
国土资源局,guo'tu'zi'yuan'ju
黑龙潭,hei'long'tan
洪家村,hong'jia'cun
红太阳广场,hong'tai'yang'guang'chang
宏文市场,hong'wen'shi'chang
护城河,hu'cheng'he
火车东站,huo'che'dong'zhan
机床厂,ji'chuang'chang
吉祥下村,ji'xiang'xia'cun
记遗公园,ji'yi'gong'yuan
集云村,ji'yun'cun
嘉和建材城,jia'he'jian'cai'cheng
金安医院,jin'an'yi'yuan
金盾小区,jin'dun'xiao'qu
金虹水泥厂,jin'hong'shui'ni'chang
金凯广场,jin'kai'guang'chang
金龙村,jin'long'cun
金鹿巷,jin'lu'xiang
金山安乐村,jin'shan'an'le'cun
金山派出所,jin'shan'pai'chu'suo
金星广场,jin'xing'guang'chang
景观小区,jing'guan'xiao'qu
开文上村,kai'wen'shang'cun
开文中村,kai'wen'zhong'cun
开元村,kai'yuan'cun
康仲村,kang'zhong'cun
客运站,ke'yun'zhan
蓝天宾馆,lan'tian'bin'guan
丽江家园,li'jiang'jia'yuan
丽江市行政中心,li'jiang'shi'xing'zheng'zhong'xin
丽江师专,li'jiang'shi'zhuan
丽客隆超市,li'ke'long'chao'shi
旅游学院,lv'you'xue'yuan
民航站,min'hang'zhan
明珍广场,ming'zhen'guang'chang
南门街,nan'men'jie
普济寺,pu'ji'si
七星街,qi'xing'jie
清溪水库,qing'xi'shui'ku
庆云村,qing'yun'cun
瑞雪苑,rui'xue'yuan
三家村,san'jia'cun
三家村集贸市场,san'jia'cun'ji'mao'shi'chang
三义机场,san'yi'ji'chang
森林消防支队,sen'lin'xiao'fang'zhi'dui
上吉市场,shang'ji'shi'chang
尚义汽配城,shang'yi'qi'pei'cheng
神泉路口,shen'quan'lu'kou
市妇幼保健站,shi'fu'you'bao'jian'zhan
市民族中专,shi'min'zu'zhong'zhuan
市农科所,shi'nong'ke'suo
市农资公司,shi'nong'zi'gong'si
市气象局,shi'qi'xiang'ju
市人民医院,shi'ren'min'yi'yuan
实验学校,shi'yan'xue'xiao
市医院,shi'yi'yuan
石油公司,shi'you'gong'si
市中级法院,shi'zhong'ji'fa'yuan
束河路口,shu'he'lu'kou
太和油库,tai'he'you'ku
伟驰商贸公司,wei'chi'shang'mao'gong'si
文荣村,wen'rong'cun
文志五队,wen'zhi'wu'dui
武警支队,wu'jing'zhi'dui
武荣村,wu'rong'cun
西安路,xi'an'lu
现云村,xian'yun'cun
香格里大道,xiang'ge'li'da'dao
祥和顺天,xiang'he'shun'tian
象山街,xiang'shan'jie
象山路,xiang'shan'lu
象山路口,xiang'shan'lu'kou
象山市场,xiang'shan'shi'chang
祥云村,xiang'yun'cun
新团路口,xin'tuan'lu'kou
新文村,xin'wen'cun
鑫源酒店,xin'yuan'jiu'dian
阳光花园,yang'guang'hua'yuan
叶氏修理厂,ye'shi'xiu'li'chang
怡璟苑,yi'jing'yuan
邮电新苑,you'dian'xin'yuan
裕安公司,yu'an'gong'si
玉峰家属院,yu'feng'jia'shu'yuan
玉龙县法院,yu'long'xian'fa'yuan
玉龙县医院,yu'long'xian'yi'yuan
玉龙县一中,yu'long'xian'yi'zhong
玉龙县政府,yu'long'xian'zheng'fu
玉龙园,yu'long'yuan
玉龙中学,yu'long'zhong'xue
玉缘桥,yu'yuan'qiao
园丁小区,yuan'ding'xiao'qu
寨后市场,zhai'hou'shi'chang
昭庆市场,zhao'qing'shi'chang
职工培训中心,zhi'gong'pei'xun'zhong'xin
中和村,zhong'he'cun
中信村,zhong'xin'cun
忠义市场,zhong'yi'shi'chang
紫金坊,zi'jin'fang
