八坝,ba'ba
北地,bei'di
北海子,bei'hai'zi
北泉,bei'quan
陈仓,chen'cang
陈家寨,chen'jia'zhai
城关二小,cheng'guan'er'xiao
城关一小,cheng'guan'yi'xiao
春苗,chun'miao
大坝,da'ba
董家堡,dong'jia'bao
东寨,dong'zhai
杜家寨,du'jia'zhai
二坝,er'ba
方沟,fang'gou
高古城,gao'gu'cheng
河东堡,he'dong'bao
河滩,he'tan
河西堡,he'xi'bu
河西堡一小,he'xi'bu'yi'xiao
河沿子,he'yan'zi
河一小,he'yi'xiao
黑土洼,hei'tu'wa
红光,hong'guang
红庙墩,hong'miao'dun
红山窑,hong'shan'yao
华家沟,hua'jia'gou
黄家学,huang'jia'xue
夹河,jia'he
焦家庄,jiao'jia'zhuang
金昌市二中,jin'chang'shi'er'zhong
金川东,jin'chuan'dong
金化,jin'hua
蓝天,lan'tian
蓝天梅南分,lan'tian'mei'nan'fen
乐童,le'tong
六坝,liu'ba
刘克庄,liu'ke'zhuang
流泉,liu'quan
刘正,liu'zheng
龙口,long'kou
马营沟,ma'ying'gou
毛卜喇,mao'bu'la
毛家庄,mao'jia'zhuang
梅北,mei'bei
梅家寺,mei'jia'si
梅南,mei'nan
南坝,nan'ba
南湾,nan'wan
南沿沟,nan'yan'gou
南庄,nan'zhuang
农垦,nong'ken
七坝,qi'ba
启才,qi'cai
启明星铁路,qi'ming'xing'tie'lu
启明星幼儿,qi'ming'xing'you'er
祁庄,qi'zhuang
青山堡学校,qing'shan'bao'xue'xiao
青山农场,qing'shan'nong'chang
三沟,san'gou
沙沟岔,sha'gou'cha
沙窝,sha'wo
山头,shan'tou
上三坝,shang'san'ba
上三庄,shang'san'zhuang
邵家庄,shao'jia'zhuang
胜利,sheng'li
双磨街,shuang'mo'jie
双桥,shuang'qiao
水磨关,shui'mo'guan
水泉子,shui'quan'zi
寺门,si'men
宋家沟,song'jia'gou
塔儿湾,ta'er'wan
唐家坡,tang'jia'po
汤宁,tang'ning
铁路学校,tie'lu'xue'xiao
通信堡,tong'xin'bao
头坝,tou'ba
头沟,tou'gou
土沟,tu'gou
王信堡,wang'xin'bao
五坝,wu'ba
西沟,xi'gou
西湾,xi'wan
西庄子,xi'zhuang'zi
下排,xia'pai
下七坝,xia'qi'ba
下三坝,xia'san'ba
下四坝,xia'si'ba
下汤,xia'tang
下洼子,xia'wa'zi
小精灵,xiao'jing'ling
新堡子,xin'bu'zi
新堡子幼儿,xin'bu'zi'you'er
新城子,xin'cheng'zi
新二坝,xin'er'ba
星海,xing'hai
阳光,yang'guang
姚家寨,yao'jia'zhai
永昌二中,yong'chang'er'zhong
永昌农中,yong'chang'nong'zhong
永昌三中,yong'chang'san'zhong
永昌四中,yong'chang'si'zhong
永昌五中,yong'chang'wu'zhong
永昌县,yong'chang'xian
永昌一中,yong'chang'yi'zhong
永丰,yong'feng
永宁,yong'ning
永胜,yong'sheng
玉宝,yu'bao
玉皇地,yu'huang'di
月牙湖,yue'ya'hu
赵定庄,zhao'ding'zhuang
赵家庄,zhao'jia'zhuang
兆田,zhao'tian
郑家堡,zheng'jia'bao
朱王堡,zhu'wang'bao
宗家庄学校,zong'jia'zhuang'xue'xiao
