白红眼,bai'hong'yan
白化,bai'hua
白化蛋白石基因,bai'hua'dan'bai'shi'ji'yin
彩虹,cai'hong
蛋白石,dan'bai'shi
蛋白石基因,dan'bai'shi'ji'yin
蛋白石肉桂基因,dan'bai'shi'rou'gui'ji'yin
淡雅彩虹,dan'ya'cai'hong
非黄脸蓝系,fei'huang'lian'lan'xi
冠羽,guan'yu
华乐,hua'le
华乐蛋白石基因,hua'le'dan'bai'shi'ji'yin
华乐基因,hua'le'ji'yin
黄脸,huang'lian
黄绿灰翅,huang'lv'hui'chi
灰翅,hui'chi
灰翅蛋白石基因,hui'chi'dan'bai'shi'ji'yin
灰翅基因,hui'chi'ji'yin
灰翅肉桂基因,hui'chi'rou'gui'ji'yin
肉桂,rou'gui
肉桂蛋白石基因,rou'gui'dan'bai'shi'ji'yin
肉桂隐派基因,rou'gui'yin'pai'ji'yin
天空蓝灰翅,tian'kong'lan'hui'chi
显派,xian'pai
隐派,yin'pai
隐派基因,yin'pai'ji'yin
鱼鳞,yu'lin
原始蓝,yuan'shi'lan
原始绿,yuan'shi'lv
珍珠,zhen'zhu
