阿氏村,a'shi'cun
安村,an'cun
安村镇,an'cun'zhen
安岱村,an'dai'cun
安沟村,an'gou'cun
安家山村,an'jia'shan'cun
安寺沟村,an'si'gou'cun
安子沟村,an'zi'gou'cun
灞源街村,ba'yuan'jie'cun
灞源镇,ba'yuan'zhen
白村,bai'cun
白家村,bai'jia'cun
白家坪村,bai'jia'ping'cun
百神洞村,bai'shen'dong'cun
白岩沟村,bai'yan'gou'cun
白羊寨村,bai'yang'zhai'cun
板厂村,ban'chang'cun
鲍旗寨村,bao'qi'zhai'cun
宝兴寺村,bao'xing'si'cun
北苍湾村,bei'cang'wan'cun
北沟村,bei'gou'cun
北街村,bei'jie'cun
北里村,bei'li'cun
北门村,bei'men'cun
北小寨村,bei'xiao'zhai'cun
北峪村,bei'yu'cun
边庄村,bian'zhuang'cun
簸箕掌村,bo'ji'zhang'cun
布村村,bu'cun'cun
蔡家坡村,cai'jia'po'cun
蔡岩村,cai'yan'cun
曹家山村,cao'jia'shan'cun
草坪村,cao'ping'cun
曹湾村,cao'wan'cun
柴家村,chai'jia'cun
柴寨村,chai'zhai'cun
朝峰村,chao'feng'cun
车贺村,che'he'cun
陈沟岸村,chen'gou'an'cun
陈何村,chen'he'cun
陈家沟村,chen'jia'gou'cun
陈家滩村,chen'jia'tan'cun
陈坡村,chen'po'cun
陈岩村,chen'yan'cun
陈庄村,chen'zhuang'cun
大河村,da'he'cun
大梨园村,da'li'yuan'cun
大亮村,da'liang'cun
大坪村,da'ping'cun
大王村,da'wang'cun
大兴村,da'xing'cun
大洋峪村,da'yang'yu'cun
大寨村,da'zhai'cun
岱底村,dai'di'cun
代家河村,dai'jia'he'cun
代桥村,dai'qiao'cun
代寨村,dai'zhai'cun
旦村,dan'cun
当院村,dang'yuan'cun
低五尺村,di'wu'chi'cun
东场村,dong'chang'cun
东村,dong'cun
东邓村,dong'deng'cun
东杆沟村,dong'gan'gou'cun
东巩村,dong'gong'cun
东沟村,dong'gou'cun
东光村,dong'guang'cun
董家沟村,dong'jia'gou'cun
董家岩村,dong'jia'yan'cun
东咀村,dong'ju'cun
东李沟村,dong'li'gou'cun
东李坪村,dong'li'ping'cun
董岭村,dong'ling'cun
东坡村,dong'po'cun
东山村,dong'shan'cun
峒峪村,dong'yu'cun
东元峪村,dong'yuan'yu'cun
斗沟村,dou'gou'cun
杜沟村,du'gou'cun
杜坪村,du'ping'cun
段家村,duan'jia'cun
二仙桥村,er'xian'qiao'cun
樊沟村,fan'gou'cun
樊家村,fan'jia'cun
樊家坡村,fan'jia'po'cun
粉房沟村,fen'fang'gou'cun
冯家村,feng'jia'cun
冯家湾村,feng'jia'wan'cun
冯林寨村,feng'lin'zhai'cun
冯岭村,feng'ling'cun
府君寨村,fu'jun'zhai'cun
富裕村,fu'yu'cun
府庄村,fu'zhuang'cun
甘坪村,gan'ping'cun
高堡村,gao'bao'cun
高坪村,gao'ping'cun
高升村,gao'sheng'cun
疙瘩村,ge'da'cun
葛牌沟村,ge'pai'gou'cun
葛牌街村,ge'pai'jie'cun
葛牌镇,ge'pai'zhen
圪塔村,ge'ta'cun
圪塔庙村,ge'ta'miao'cun
耿家村,geng'jia'cun
龚家村,gong'jia'cun
公王村,gong'wang'cun
苟家村,gou'jia'cun
沟口村,gou'kou'cun
关道村,guan'dao'cun
关庙村,guan'miao'cun
关上村,guan'shang'cun
官上村,guan'shang'cun
桂张村,gui'zhang'cun
郭村,guo'cun
过风岭村,guo'feng'ling'cun
韩岭村,han'ling'cun
韩门寨村,han'men'zhai'cun
韩坪村,han'ping'cun
韩寺村,han'si'cun
河东村,he'dong'cun
何家川村,he'jia'chuan'cun
贺家村,he'jia'cun
赫家村,he'jia'cun
河口村,he'kou'cun
贺坡村,he'po'cun
核桃沟村,he'tao'gou'cun
核桃园村,he'tao'yuan'cun
贺洼村,he'wa'cun
河湾村,he'wan'cun
黑沟村,hei'gou'cun
黑岩沟村,hei'yan'gou'cun
红门寺村,hong'men'si'cun
洪寨村,hong'zhai'cun
后沟窑村,hou'gou'yao'cun
候家扁村,hou'jia'bian'cun
侯家村,hou'jia'cun
侯家铺村,hou'jia'pu'cun
后李坪村,hou'li'ping'cun
侯湾村,hou'wan'cun
厚镇,hou'zhen
虎岔沟村,hu'cha'gou'cun
胡家村,hu'jia'cun
胡家沟村,hu'jia'gou'cun
胡家巷村,hu'jia'xiang'cun
胡家窑村,hu'jia'yao'cun
葫芦岔村,hu'lu'cha'cun
胡坡村,hu'po'cun
泘沱村,hu'tuo'cun
华岔村,hua'cha'cun
铧咀坪村,hua'ju'ping'cun
化坪村,hua'ping'cun
华胥镇,hua'xu'zhen
怀珍坊村,huai'zhen'fang'cun
黄沟村,huang'gou'cun
惠家环村,hui'jia'huan'cun
惠家斜村,hui'jia'xie'cun
火烧寨村,huo'shao'zhai'cun
吉家湾村,ji'jia'wan'cun
贾沟村,jia'gou'cun
贾河滩村,jia'he'tan'cun
尖角村,jian'jiao'cun
将军村,jiang'jun'cun
江流沟村,jiang'liu'gou'cun
姜山村,jiang'shan'cun
姜湾村,jiang'wan'cun
蒋寨村,jiang'zhai'cun
焦岱街村,jiao'dai'jie'cun
焦岱镇,jiao'dai'zhen
焦庄村,jiao'zhuang'cun
街子村,jie'zi'cun
金坪村,jin'ping'cun
金山村,jin'shan'cun
金山镇,jin'shan'zhen
敬家村,jing'jia'cun
景靳村,jing'jin'cun
九间房村,jiu'jian'fang'cun
九间房镇,jiu'jian'fang'zhen
巨东村,ju'dong'cun
巨二村,ju'er'cun
巨三村,ju'san'cun
巨西村,ju'xi'cun
巨一村,ju'yi'cun
康禾村,kang'he'cun
康偏村,kang'pian'cun
康庄村,kang'zhuang'cun
寇家岭村,kou'jia'ling'cun
寇岭村,kou'ling'cun
寇坡村,kou'po'cun
蓝关镇,lan'guan'zhen
蓝桥河村,lan'qiao'he'cun
蓝桥街村,lan'qiao'jie'cun
蓝桥镇,lan'qiao'zhen
老凹沟村,lao'ao'gou'cun
涝池庄村,lao'chi'zhuang'cun
