暧暧城霞旦,ai'ai'cheng'xia'dan
蔼蔼帝王州,ai'ai'di'wang'zhou
蔼蔼黎阳川,ai'ai'li'yang'chuan
暧暧日暖闺,ai'ai'ri'nuan'gui
蔼蔼树色深,ai'ai'shu'se'shen
蔼蔼武功传,ai'ai'wu'gong'chuan
暧暧远郊日,ai'ai'yuan'jiao'ri
埃尘良不啻,ai'chen'liang'bu'chi
爱此芳香朝暮看,ai'ci'fang'xiang'zhao'mu'kan
哀此孤生,ai'ci'gu'sheng
哀从中兮不可胜,ai'cong'zhong'xi'bu'ke'sheng
爱君双柽一树奇,ai'jun'shuang'cheng'yi'shu'qi
哀凝曲不调,ai'ning'qu'bu'tiao
爱染日已薄,ai'ran'ri'yi'bao
哀伤百虑新,ai'shang'bai'lv'xin
爱水看妆坐,ai'shui'kan'zhuang'zuo
碍有固为主,ai'you'gu'wei'zhu
爱子游燕赵,ai'zi'you'yan'zhao
安边俟帷幄,an'bian'si'wei'wo
岸草绿相接,an'cao'lv'xiang'jie
暗草薰苔径,an'cao'xun'tai'jing
安车去茅茨,an'che'qu'mao'ci
安得长晤语,an'de'chang'wu'yu
安得济时代,an'de'ji'shi'dai
安得老松石,an'de'lao'song'shi
安得山中信,an'de'shan'zhong'xin
暗灯明象物,an'deng'ming'xiang'wu
按节下松阳,an'jie'xia'song'yang
按节阳关外,an'jie'yang'guan'wai
岸柳曙堪攀,an'liu'shu'kan'pan
鞍马归兮佳人散,an'ma'gui'xi'jia'ren'san
岸门相向碧亭开,an'men'xiang'xiang'bi'ting'kai
安人更克贞,an'ren'geng'ke'zhen
安人属国前,an'ren'shu'guo'qian
安人在勤恤,an'ren'zai'qin'xu
暗山唯觉电,an'shan'wei'jue'dian
岸上火兮相迎,an'shang'huo'xi'xiang'ying
安时歌吉祥,an'shi'ge'ji'xiang
闇识龙舆度,an'shi'long'yu'du
岸苇新花白,an'wei'xin'hua'bai
安问党与雠,an'wen'dang'yu'chou
安问升与斗,an'wen'sheng'yu'dou
岸与恩同广,an'yu'en'tong'guang
岸远闻潮波,an'yuan'wen'chao'bo
安知不是具茨人,an'zhi'bu'shi'ju'ci'ren
安知不是梦中身,an'zhi'bu'shi'meng'zhong'shen
安知峰壑今来变,an'zhi'feng'he'jin'lai'bian
安知清流转,an'zhi'qing'liu'zhuan
安知馀兴尽,an'zhi'yu'xing'jin
暗中珠翠鸣珊珊,an'zhong'zhu'cui'ming'shan'shan
昂藏出邹鲁,ang'cang'chu'zou'lu
遨游向燕赵,ao'you'xiang'yan'zhao
灞岸分筵,ba'an'fen'yan
灞岸桃花开,ba'an'tao'hua'kai
八变必臻,ba'bian'bi'zhen
八变聿施,ba'bian'yu'shi
罢兵岁馀未敢出,ba'bing'sui'yu'wei'gan'chu
巴东三峡尽,ba'dong'san'xia'jin
巴东下归棹,ba'dong'xia'gui'zhao
巴东有巫山,ba'dong'you'wu'shan
罢官昨日今如何,ba'guan'zuo'ri'jin'ru'he
拔剑已断天骄臂,ba'jian'yi'duan'tian'jiao'bi
把菊坐蜂台,ba'ju'zuo'feng'tai
灞陵桃李色,ba'ling'tao'li'se
罢琴听猿啼,ba'qin'ting'yuan'ti
茇舍启戎田,ba'she'qi'rong'tian
把手河桥上,ba'shou'he'qiao'shang
八水明如练,ba'shui'ming'ru'lian
八岁黠惠能言语,ba'sui'xia'hui'neng'yan'yu
霸业犹存齐楚甸,ba'ye'you'cun'qi'chu'dian
八音在县,ba'yin'zai'xian
八月西风起,ba'yue'xi'feng'qi
八月严霜草已枯,ba'yue'yan'shuang'cao'yi'ku
八阵与云连,ba'zhen'yu'yun'lian
百草被霜露,bai'cao'bei'shuang'lu
白草连山野火烧,bai'cao'lian'shan'ye'huo'shao
百草香心初罥蝶,bai'cao'xiang'xin'chu'juan'die
摆长云兮捩回风,bai'chang'yun'xi'lie'hui'feng
百城多候吏,bai'cheng'duo'hou'li
百尺垂红莲,bai'chi'chui'hong'lian
百尺峰头望虏尘,bai'chi'feng'tou'wang'lu'chen
百尺金梯倚银汉,bai'chi'jin'ti'yi'yin'han
百尺深泉架户牖,bai'chi'shen'quan'jia'hu'you
百代英威埋鬼府,bai'dai'ying'wei'mai'gui'fu
百堵涂椒接青琐,bai'du'tu'jiao'jie'qing'suo
白发数茎归未得,bai'fa'shu'jing'gui'wei'de
白发为谁新,bai'fa'wei'shui'xin
百福透名香,bai'fu'tou'ming'xiang
百谷聚雪色,bai'gu'ju'xue'se
百谷趋潭底,bai'gu'qu'tan'di
百官并入兮,bai'guan'bing'ru'xi
白黑相分十二子,bai'hei'xiang'fen'shi'er'zi
百恨将千虑,bai'hen'jiang'qian'lv
百壶开祖饯,bai'hu'kai'zu'jian
百花芳树红将歇,bai'hua'fang'shu'hong'jiang'xie
白花飞度染衣香,bai'hua'fei'du'ran'yi'xiang
百花乱飞雪,bai'hua'luan'fei'xue
百花亭漫漫,bai'hua'ting'man'man
百花原头望京师,bai'hua'yuan'tou'wang'jing'shi
百花照阡陌,bai'hua'zhao'qian'mo
白夹春衫仙吏赠,bai'jia'chun'shan'xian'li'zeng
百金不辞费,bai'jin'bu'ci'fei
百金酬勇夫,bai'jin'chou'yong'fu
白锦文章乱,bai'jin'wen'zhang'luan
拜爵赐黄金,bai'jue'ci'huang'jin
百口寄随人,bai'kou'ji'sui'ren
拜郎登省闼,bai'lang'deng'sheng'ta
百里见郊树,bai'li'jian'jiao'shu
百里人户满,bai'li'ren'hu'man
百里遥青冥,bai'li'yao'qing'ming
百里周王苑,bai'li'zhou'wang'yuan
柏梁赋诗不及宴,bai'liang'fu'shi'bu'ji'yan
百僚何日更朝天,bai'liao'he'ri'geng'chao'tian
百僚欢且兢,bai'liao'huan'qie'jing
白露霭悠悠,bai'lu'ai'you'you
白鹭忽兮翻飞,bai'lu'hu'xi'fan'fei
白露沾人衣,bai'lu'zhan'ren'yi
白马宾徒散,bai'ma'bin'tu'san
白马骄不行,bai'ma'jiao'bu'xing
百衲老寒暄,bai'na'lao'han'xuan
百年不容息,bai'nian'bu'rong'xi
百年盛衰谁能保,bai'nian'sheng'shuai'shui'neng'bao
百辟莫不惧,bai'pi'mo'bu'ju
百辟随天游,bai'pi'sui'tian'you
百泉萦草木,bai'quan'ying'cao'mu
百仞登嵬岌,bai'ren'deng'wei'ji
百人会中身不预,bai'ren'hui'zhong'shen'bu'yu
白刃纵横逼,bai'ren'zong'heng'bi
白日登山望烽火,bai'ri'deng'shan'wang'feng'huo
白日忽西驰,bai'ri'hu'xi'chi
白日期偕老,bai'ri'qi'xie'lao
白日秋天忆鼓鼙,bai'ri'qiu'tian'yi'gu'pi
白日为之寒,bai'ri'wei'zhi'han
白日自凄清,bai'ri'zi'qi'qing
百舌鸣高树,bai'she'ming'gao'shu
百神朝帝台,bai'shen'chao'di'tai
百生无此日,bai'sheng'wu'ci'ri
白是太湖水,bai'shi'tai'hu'shui
拜手辞上官,bai'shou'ci'shang'guan
拜手颂灵长,bai'shou'song'ling'chang
百兽为我膳,bai'shou'wei'wo'shan
白首相知犹按剑,bai'shou'xiang'zhi'you'an'jian
百兽协丝桐,bai'shou'xie'si'tong
柏署起三载,bai'shu'qi'san'zai
白水明田外,bai'shui'ming'tian'wai
白水作禅流,bai'shui'zuo'chan'liu
百岁老翁不种田,bai'sui'lao'weng'bu'zhong'tian
白头浪里出湓城,bai'tou'lang'li'chu'pen'cheng
百万一时尽,bai'wan'yi'shi'jin
拜为童子郎,bai'wei'tong'zi'lang
白眼看他世上人,bai'yan'kan'ta'shi'shang'ren
白雁暮冲雪,bai'yan'mu'chong'xue
柏叶初齐养麝香,bai'ye'chu'qi'yang'she'xiang
拜揖曹与周,bai'yi'cao'yu'zhou
白衣携壶觞,bai'yi'xie'hu'shang
白羽抵荆岑,bai'yu'di'jing'cen
白玉栏干金作柱,bai'yu'lan'gan'jin'zuo'zhu
白玉岂为滓,bai'yu'qi'wei'zi
白鼋涡涛戏濑兮,bai'yuan'wo'tao'xi'lai'xi
白月宫中鹦鹉林,bai'yue'gong'zhong'ying'wu'lin
白云长相亲,bai'yun'chang'xiang'qin
白云飞御藻,bai'yun'fei'yu'zao
白云孤峰晖永日,bai'yun'gu'feng'hui'yong'ri
白云回望合,bai'yun'hui'wang'he
白云空复多,bai'yun'kong'fu'duo
白云空自幽,bai'yun'kong'zi'you
白云留故山,bai'yun'liu'gu'shan
白云鸣皋上,bai'yun'ming'gao'shang
白云暮来变,bai'yun'mu'lai'bian
白云千载空悠悠,bai'yun'qian'zai'kong'you'you
白云生大梁,bai'yun'sheng'da'liang
白云随凤管,bai'yun'sui'feng'guan
白云随一身,bai'yun'sui'yi'shen
白云天台山,bai'yun'tian'tai'shan
白云无尽时,bai'yun'wu'jin'shi
白云溪中日方此,bai'yun'xi'zhong'ri'fang'ci
白云心所亲,bai'yun'xin'suo'qin
白云遥在天,bai'yun'yao'zai'tian
白云移翠岭,bai'yun'yi'cui'ling
白云一片去悠悠,bai'yun'yi'pian'qu'you'you
白云馀故岑,bai'yun'yu'gu'cen
白云欲尽难为容,bai'yun'yu'jin'nan'wei'rong
百战苦风尘,bai'zhan'ku'feng'chen
半额画双蛾,ban'e'hua'shuang'e
班姬此夕愁无限,ban'ji'ci'xi'chou'wu'xian
班姬取扇俦,ban'ji'qu'shan'chou
班姬玉辇迎,ban'ji'yu'nian'ying
班荆席藁,ban'jing'xi'gao
半岭拂云看,ban'ling'fu'yun'kan
半魄落银钩,ban'po'luo'yin'gou
半是吴风俗,ban'shi'wu'feng'su
板屋春多雨,ban'wu'chun'duo'yu
半夜薄妆成,ban'ye'bao'zhuang'cheng
半夜驰道喧,ban'ye'chi'dao'xuan
半夜春风来,ban'ye'chun'feng'lai
半夜起边声,ban'ye'qi'bian'sheng
半醉归途数问人,ban'zui'gui'tu'shu'wen'ren
半座宝如来,ban'zuo'bao'ru'lai
傍带凌霄花,bang'dai'ling'xiao'hua
邦国方含垢,bang'guo'fang'han'gou
邦国咏惟康,bang'guo'yong'wei'kang
邦家已荷圣谟新,bang'jia'yi'he'sheng'mo'xin
傍邻闻者多叹息,bang'lin'wen'zhe'duo'tan'xi
邦牧新下车,bang'mu'xin'xia'che
傍浦驻香车,bang'pu'zhu'xiang'che
邦人颂灵旗,bang'ren'song'ling'qi
傍人相劝易罗衣,bang'ren'xiang'quan'yi'luo'yi
谤书盈几案,bang'shu'ying'ji'an
傍潭窥竹暗,bang'tan'kui'zhu'an
