矮地茶,ai'di'cha
艾叶,ai'ye
巴戟天,ba'ji'tian
八角茴香,ba'jiao'hui'xiang
八月瓜,ba'yue'gua
白扁豆,bai'bian'dou
百部,bai'bu
百草霜,bai'cao'shuang
白矾,bai'fan
白附片,bai'fu'pian
白附子,bai'fu'zi
白果,bai'guo
百合,bai'he
百花蛇舌草,bai'hua'she'she'cao
白及,bai'ji
败酱草,bai'jiang'cao
白芥子,bai'jie'zi
白蔻,bai'kou
白蔹,bai'lian
白茅根,bai'mao'gen
白前,bai'qian
白芍,bai'shao
白头翁,bai'tou'weng
白土苓,bai'tu'ling
白薇,bai'wei
白鲜皮,bai'xian'pi
白药子,bai'yao'zi
白芷,bai'zhi
白芝麻,bai'zhi'ma
白术,bai'zhu
柏子仁,bai'zi'ren
半边莲,ban'bian'lian
板蓝根,ban'lan'gen
半夏曲,ban'xia'qu
半枝莲,ban'zhi'lian
北沙参,bei'sha'shen
北五味子,bei'wu'wei'zi
荜茇,bi'ba
荜澄茄,bi'cheng'qie
萆薢,bi'xie
萹蓄,bian'xu
鳖甲,bie'jia
槟榔,bing'lang
冰片,bing'pian
薄荷,bo'he
补骨脂,bu'gu'zhi
蚕砂,can'sha
炒白术,chao'bai'zhu
重楼,chong'lou
茺蔚子,chong'wei'zi
川铜皮,chuan'tong'pi
阿胶,e'jiao
莪术儿茶鹅管石鹅不食草,e'zhu'er'cha'e'guan'shi'e'bu'shi'cao
胡黄连槐花火麻仁杭菊花胡麻仁,hu'huang'lian'huai'hua'huo'ma'ren'hang'ju'hua'hu'ma'ren
槲寄生黄精合欢花红毛三七,hu'ji'sheng'huang'jing'he'huan'hua'hong'mao'san'qi
胡椒槐角淮通胡麻仁黑蚂蚁,hu'jiao'huai'jiao'huai'tong'hu'ma'ren'hei'ma'yi
葫芦巴黄柏海浮石海桐皮藿香,hu'lu'ba'huang'bai'hai'fu'shi'hai'tong'pi'huo'xiang
琥珀黄芪诃子合欢皮,hu'po'huang'qi'he'zi'he'huan'pi
虎杖黄连海龙怀牛膝,hu'zhang'huang'lian'hai'long'huai'niu'xi
化橘红黄药子红毛五加皮黑豆,hua'ju'hong'huang'yao'zi'hong'mao'wu'jia'pi'hei'dou
花蕊石黄芩虎杖槐米,hua'rui'shi'huang'qin'hu'zhang'huai'mi
滑石黄藤黄荆子黑芝麻,hua'shi'huang'teng'huang'jing'zi'hei'zhi'ma
藕节藕节炭,ou'jie'ou'jie'tan
