变动情况,bian'dong'qing'kuang
标的股票,biao'di'gu'piao
标的股票交易均价,biao'di'gu'piao'jiao'yi'jun'jia
并购重组,bing'gou'chong'zu
长期性激励,chang'qi'xing'ji'li
第一条,di'yi'tiao
第一章,di'yi'zhang
董事,dong'shi
独立董事,du'li'dong'shi
发行公司债券,fa'xing'gong'si'zhai'quan
发行可转债,fa'xing'ke'zhuan'zhai
分次授出权益分次授权,fen'ci'shou'chu'quan'yi'fen'ci'shou'quan
分期行使权益分期行权,fen'qi'xing'shi'quan'yi'fen'qi'xing'quan
高级管理人员,gao'ji'guan'li'ren'yuan
个人绩效指标,ge'ren'ji'xiao'zhi'biao
公示期,gong'shi'qi
公司业绩指标,gong'si'ye'ji'zhi'biao
公允价值,gong'yun'jia'zhi
股本总额,gu'ben'zong'e
股东大会,gu'dong'da'hui
股票交易均价,gu'piao'jiao'yi'jun'jia
股票票面金额,gu'piao'piao'mian'jin'e
股票期权,gu'piao'qi'quan
股票总额,gu'piao'zong'e
股权激励,gu'quan'ji'li
股权激励计划,gu'quan'ji'li'ji'hua
股权激励计划草案,gu'quan'ji'li'ji'hua'cao'an
估值模型,gu'zhi'mo'xing
管理办法,guan'li'ban'fa
核心技术人员,he'xin'ji'shu'ren'yuan
核心业务人员,he'xin'ye'wu'ren'yuan
回避表决,hui'bi'biao'jue
回购,hui'gou
回购股份,hui'gou'gu'fen
回购股份方案,hui'gou'gu'fen'fang'an
激励对象,ji'li'dui'xiang
激励与约束,ji'li'yu'yue'shu
计提费用,ji'ti'fei'yong
绩效考核指标,ji'xiao'kao'he'zhi'biao
机制,ji'zhi
加速行权,jia'su'xing'quan
监事,jian'shi
交易日,jiao'yi'ri
结算,jie'suan
净利润增长率,jing'li'run'zeng'zhang'lv
经营业绩,jing'ying'ye'ji
净资产收益率,jing'zi'chan'shou'yi'lv
可行权日,ke'xing'quan'ri
控制权,kong'zhi'quan
历史业绩,li'shi'ye'ji
每股分红,mei'gu'fen'hong
每股收益,mei'gu'shou'yi
内幕交易,nei'mu'jiao'yi
内幕信息知情人,nei'mu'xin'xi'zhi'qing'ren
签订协议,qian'ding'xie'yi
权益数量,quan'yi'shu'liang
上市公司,shang'shi'gong'si
市场价值,shi'chang'jia'zhi
实施程序,shi'shi'cheng'xu
授出的权益数量,shou'chu'de'quan'yi'shu'liang
授权日,shou'quan'ri
授予价格,shou'yu'jia'ge
授予日,shou'yu'ri
提前解除限售,ti'qian'jie'chu'xian'shou
误导性陈述,wu'dao'xing'chen'shu
限售期,xian'shou'qi
限制性股票,xian'zhi'xing'gu'piao
薪酬与考核委员,xin'chou'yu'kao'he'wei'yuan
行权,xing'quan
行权价格,xing'quan'jia'ge
行权有效期,xing'quan'you'xiao'qi
行使权益行权,xing'shi'quan'yi'xing'quan
虚假记载,xu'jia'ji'zai
盈利能力,ying'li'neng'li
有效期,you'xiao'qi
预留权益,yu'liu'quan'yi
增发新股,zeng'fa'xin'gu
注销,zhu'xiao
主营业务收入增长率,zhu'ying'ye'wu'shou'ru'zeng'zhang'lv
资产注入,zi'chan'zhu'ru
资金来源,zi'jin'lai'yuan
综合性指标,zong'he'xing'zhi'biao
总则,zong'ze
