阿郎一笔,a'lang'yi'bi
阿老,a'lao
白伯骅,bai'bo'hua
卜孝怀,bo'xiao'huai
蔡鹤汀,cai'he'ting
曹克家,cao'ke'jia
常玉,chang'yu
陈半丁,chen'ban'ding
陈曾寿,chen'ceng'shou
陈大羽,chen'da'yu
陈大章,chen'da'zhang
陈吉昌,chen'ji'chang
陈麟祥,chen'lin'xiang
陈林斋,chen'lin'zhai
陈少梅,chen'shao'mei
陈师曾,chen'shi'ceng
陈树人,chen'shu'ren
陈逸飞,chen'yi'fei
陈缘督,chen'yuan'du
陈之佛,chen'zhi'fo
陈子庄,chen'zi'zhuang
程坤,cheng'kun
程十发,cheng'shi'fa
程相昭,cheng'xiang'zhao
程璋,cheng'zhang
崔子范,cui'zi'fan
邓白,deng'bai
邓芬,deng'fen
邓福帮,deng'fu'bang
丁辅之,ding'fu'zhi
丁衍庸,ding'yan'yong
丁云鹏,ding'yun'peng
董寿平,dong'shou'ping
樊少云,fan'shao'yun
范曾,fan'zeng
方济众,fang'ji'zhong
方君璧,fang'jun'bi
方人定,fang'ren'ding
冯超然,feng'chao'ran
冯骥才,feng'ji'cai
冯忠莲,feng'zhong'lian
丰子恺,feng'zi'kai
傅抱石,fu'bao'shi
高冠华,gao'guan'hua
高剑父,gao'jian'fu
高剑僧,gao'jian'seng
高奇峰,gao'qi'feng
古代,gu'dai
顾坤伯,gu'kun'bo
顾洛,gu'luo
关良,guan'liang
管平湖,guan'ping'hu
关山月,guan'shan'yue
郭传璋,guo'chuan'zhang
郭沫若,guo'mo'ruo
郭味蕖,guo'wei'qu
何海霞,he'hai'xia
何家英,he'jia'ying
何漆园,he'qi'yuan
贺天健,he'tian'jian
何香凝,he'xiang'ning
洪通,hong'tong
胡也佛,hu'ye'fo
画家作品,hua'jia'zuo'pin
华喦,hua'yan
花元,hua'yuan
黄宾虹,huang'bin'hong
黄鼎,huang'ding
黄幻吾,huang'huan'wu
黄君璧,huang'jun'bi
黄秋园,huang'qiu'yuan
黄山寿,huang'shan'shou
黄永玉,huang'yong'yu
黄胄,huang'zhou
霍春阳,huo'chun'yang
江寒汀,jiang'han'ting
姜壎,jiang'xun
蒋兆和,jiang'zhao'he
焦秉贞,jiao'bing'zhen
金城,jin'cheng
赖少其,lai'shao'qi
冷枚,leng'mei
李可染,li'ke'ran
李苦禅,li'ku'chan
李老十,li'lao'shi
黎明,li'ming
李瑞清,li'rui'qing
李世南,li'shi'nan
李铁夫,li'tie'fu
黎雄才,li'xiong'cai
林风眠,lin'feng'mian
林散之,lin'san'zhi
刘春华,liu'chun'hua
刘大为,liu'da'wei
刘海粟,liu'hai'su
刘继卣,liu'ji'you
刘奎龄,liu'kui'ling
刘凌沧,liu'ling'cang
柳子谷,liu'zi'gu
娄师白,lou'shi'bai
卢光照,lu'guang'zhao
陆恢,lu'hui
陆小曼,lu'xiao'man
陆俨少,lu'yan'shao
陆抑非,lu'yi'fei
吕凤子,lv'feng'zi
吕纪,lv'ji
吕寿琨,lv'shou'kun
马骀,ma'dai
马晋,ma'jin
慕凌飞,mu'ling'fei
潘天寿,pan'tian'shou
潘玉良,pan'yu'liang
潘振镛,pan'zhen'yong
庞薰琹,pang'xun'qin
庞元济,pang'yuan'ji
溥伒,pu'jin
溥儒,pu'ru
溥僴,pu'xian
溥佐,pu'zuo
齐白石,qi'bai'shi
祁大夔,qi'da'kui
启功,qi'gong
祁崑,qi'kun
齐良迟,qi'liang'chi
钱化佛,qian'hua'fo
钱惠安,qian'hui'an
钱瘦铁,qian'shou'tie
钱松嵒,qian'song'yan
仇英,qiu'ying
任伯年,ren'bo'nian
任率英,ren'lv'ying
任伟全,ren'wei'quan
人物,ren'wu
任重,ren'zhong
沈铨,shen'quan
申石伽,shen'shi'ga
沈一斋,shen'yi'zhai
石鲁,shi'lu
舒同,shu'tong
宋文治,song'wen'zhi
苏东坡,su'dong'po
苏海生,su'hai'sheng
唐云,tang'yun
陶冷月,tao'leng'yue
田世光,tian'shi'guang
王保华,wang'bao'hua
王斌,wang'bin
王二水,wang'er'shui
王个簃,wang'ge'yi
王季迁,wang'ji'qian
王鉴,wang'jian
王建华,wang'jian'hua
王美芳,wang'mei'fang
王明明,wang'ming'ming
汪慎生,wang'shen'sheng
王师子,wang'shi'zi
王叔晖,wang'shu'hui
王心竟,wang'xin'jing
王雪涛,wang'xue'tao
王迎春,wang'ying'chun
王震,wang'zhen
魏紫熙,wei'zi'xi
魏紫煕山水,wei'zi'xi'shan'shui
吴昌硕,wu'chang'shuo
吴观岱,wu'guan'dai
吴光宇,wu'guang'yu
吴湖帆,wu'hu'fan
吴琴木,wu'qin'mu
吴子深,wu'zi'shen
吴作人,wu'zuo'ren
萧淑芳,xiao'shu'fang
萧愻,xiao'xun
谢秉钧,xie'bing'jun
谢之光,xie'zhi'guang
谢稚柳,xie'zhi'liu
徐悲鸿,xu'bei'hong
徐操,xu'cao
徐乐乐,xu'le'le
徐砚,xu'yan
徐桢,xu'zhen
亚明,ya'ming
颜伯龙,yan'bo'long
颜文樑,yan'wen'liang
杨善深,yang'shan'shen
姚有多,yao'you'duo
叶恭绰,ye'gong'chuo
叶浅予,ye'qian'yu
尹瘦石,yin'shou'shi
殷梓湘,yin'zi'xiang
应野平,ying'ye'ping
于非闇,yu'fei'an
喻继高,yu'ji'gao
余绍宋,yu'shao'song
俞致贞,yu'zhi'zhen
袁励准,yuan'li'zhun
袁耀,yuan'yao
张飙,zhang'biao
张伯驹,zhang'bo'ju
张存良,zhang'cun'liang
张大千,zhang'da'qian
张大壮,zhang'da'zhuang
张复,zhang'fu
张坤仪,zhang'kun'yi
张论,zhang'lun
张善孖,zhang'shan'ma
张世简,zhang'shi'jian
张石园,zhang'shi'yuan
张书旂,zhang'shu'qi
赵春翔,zhao'chun'xiang
赵佶,zhao'ji
赵孟頫,zhao'meng'fu
赵少昂,zhao'shao'ang
赵世君,zhao'shi'jun
赵望云,zhao'wang'yun
赵云壑,zhao'yun'he
郑慕康,zheng'mu'kang
郑午昌,zheng'wu'chang
钟楚田,zhong'chu'tian
钟彦畬,zhong'yan'she
周碧初,zhou'bi'chu
周昌谷,zhou'chang'gu
周思聪,zhou'si'cong
周之冕,zhou'zhi'mian
朱梅邨,zhu'mei'cun
朱屺瞻,zhu'qi'zhan
诸昇,zhu'sheng
