阿尔托利亚潘德拉贡,a'er'tuo'li'ya'pan'de'la'gong
巴泽特,ba'ze'te
宝石,bao'shi
从者,cong'zhe
大圣杯,da'sheng'bei
冬木市,dong'mu'shi
咖喱棒,ga'li'bang
葛木宗一郎,ge'mu'zong'yi'lang
狗哥,gou'ge
固有结界,gu'you'jie'jie
赫拉克勒斯,he'la'ke'le'si
黑化,hei'hua
吉尔伽美什,ji'er'jia'mei'shi
监督者,jian'du'zhe
间桐鹤野,jian'tong'he'ye
间桐慎二,jian'tong'shen'er
间桐樱,jian'tong'ying
剑之骑士,jian'zhi'qi'shi
金闪闪,jin'shan'shan
库林猛犬,ku'lin'meng'quan
库丘林,ku'qiu'lin
理想乡,li'xiang'xiang
令咒,ling'zhou
柳洞寺,liu'dong'si
柳洞一成,liu'dong'yi'cheng
美狄亚,mei'di'ya
美杜莎,mei'du'sha
门胁舞以,men'xie'wu'yi
魔术回路,mo'shu'hui'lu
魔术刻印,mo'shu'ke'yin
魔术师杀手,mo'shu'shi'sha'shou
魔术协会,mo'shu'xie'hui
人民教师,ren'min'jiao'shi
杉山纪彰,shan'shan'ji'zhang
神谷浩史,shen'gu'hao'shi
圣杯,sheng'bei
圣杯的容器,sheng'bei'de'rong'qi
圣杯战争,sheng'bei'zhan'zheng
誓约胜利之剑,shi'yue'sheng'li'zhi'jian
穗群原学园,sui'qun'yuan'xue'yuan
藤村大河,teng'cun'da'he
藤姐,teng'jie
天地乖离开辟之星,tian'di'guai'li'kai'pi'zhi'xing
投影,tou'ying
卫宫切嗣,wei'gong'qie'si
卫宫士郎,wei'gong'shi'lang
下屋则子,xia'wu'ze'zi
小山力也,xiao'shan'li'ye
亚瑟王,ya'se'wang
言峰绮礼,yan'feng'qi'li
伊利亚斯菲尔冯爱因斯贝伦,yi'li'ya'si'fei'er'feng'ai'yin'si'bei'lun
伊藤美纪,yi'teng'mei'ji
英灵,ying'ling
英雄王,ying'xiong'wang
远坂凛,yuan'ban'lin
远坂时臣,yuan'ban'shi'chen
真殿光昭,zhen'dian'guang'zhao
正义之友,zheng'yi'zhi'you
职阶,zhi'jie
植田佳奈,zhi'tian'jia'nai
中多和宏,zhong'duo'he'hong
中田让治,zhong'tian'rang'zhi
佐佐木小次郎,zuo'zuo'mu'xiao'ci'lang
