阿罗式衬裤,a'luo'shi'chen'ku
八裥裙,ba'jian'qun
芭蕾舞裤,ba'lei'wu'ku
白氅,bai'chang
百裥裙,bai'jian'qun
百鸟裙,bai'niao'qun
百褶裙,bai'zhe'qun
半袜,ban'wa
暴露服装,bao'lu'fu'zhuang
背带裤,bei'dai'ku
背带裙,bei'dai'qun
被服,bei'fu
背心裙,bei'xin'qun
鷩冕,bi'mian
裨衣,bi'yi
鷩衣,bi'yi
辫线袄,bian'xian'ao
标志服装,biao'zhi'fu'zhuang
波浪裙,bo'lang'qun
波浪式时装,bo'lang'shi'shi'zhuang
布拉吉,bu'la'ji
裁缝,cai'feng
草服,cao'fu
草袴,cao'ku
襜裙,chan'qun
超短裙,chao'duan'qun
朝服,chao'fu
成衣,cheng'yi
毳衣,cui'yi
大氅,da'chang
大裘,da'qiu
大袖,da'xiu
单丝碧罗笼裙,dan'si'bi'luo'long'qun
灯笼裤,deng'long'ku
吊带裙,diao'dai'qun
叠影裙,die'ying'qun
定型裙,ding'xing'qun
东方式时装,dong'fang'shi'shi'zhuang
斗袯,dou'bo
斗篷,dou'peng
犊鼻褌,du'bi'kun
独幅裙,du'fu'qun
端衣,duan'yi
法服,fa'fu
饭单裤,fan'dan'ku
饭单裙,fan'dan'qun
仿生服装,fang'sheng'fu'zhuang
飞鱼服,fei'yu'fu
凤尾裙,feng'wei'qun
缝掖,feng'ye
逢衣,feng'yi
冯翼衣,feng'yi'yi
佛光袴,fo'guang'ku
拂拂裙,fu'fu'qun
服官,fu'guan
黻冕,fu'mian
服饰,fu'shi
服饰色彩,fu'shi'se'cai
服饰式样,fu'shi'shi'yang
服饰纹样,fu'shi'wen'yang
黻衣,fu'yi
黼衣,fu'yi
服制,fu'zhi
服装,fu'zhuang
服装分类,fu'zhuang'fen'lei
服装功能,fu'zhuang'gong'neng
服装功效,fu'zhuang'gong'xiao
服装结构,fu'zhuang'jie'gou
服装设计,fu'zhuang'she'ji
赶上裙,gan'shang'qun
高腰节裙,gao'yao'jie'qun
犵姥裙,ge'lao'qun
公服,gong'fu
工装裤,gong'zhuang'ku
