黐纏,chi'chan
黐家,chi'jia
黐頭婆,chi'tou'po
黐線,chi'xian
黐牙黐爪,chi'ya'chi'zhao
黐住,chi'zhu
鬼食豆腐,gui'shi'dou'fu
鶻突,hu'tu
匿埋,ni'mai
人歡喜,ren'huan'xi
歎茶,tan'cha
貪得意,tan'de'yi
貪靚,tan'liang
嘆氣,tan'qi
歎世界,tan'shi'jie
貪威識食,tan'wei'shi'shi
嘆息,tan'xi
褪腸頭,tui'chang'tou
褪舦,tui'tai
細蚊仔,xi'wen'zai
揗雞,xun'ji
揗揗震,xun'xun'zhen
醃咸鸭蛋,yan'xian'ya'dan
醃咸鱼,yan'xian'yu
趑車噉轉,zi'ju'dan'zhuan
