艾附暖宫丸,ai'fu'nuan'gong'wan
安宫牛黄丸,an'gong'niu'huang'wan
八珍汤,ba'zhen'tang
八正散,ba'zheng'san
败毒散,bai'du'san
百合固金汤,bai'he'gu'jin'tang
白虎加仓术汤,bai'hu'jia'cang'zhu'tang
白虎加桂枝汤,bai'hu'jia'gui'zhi'tang
白虎加人参汤,bai'hu'jia'ren'shen'tang
白虎汤,bai'hu'tang
白通汤,bai'tong'tang
白头翁加甘草阿胶汤,bai'tou'weng'jia'gan'cao'e'jiao'tang
白头翁汤,bai'tou'weng'tang
柏子养心丸,bai'zi'yang'xin'wan
半夏白术天麻汤,ban'xia'bai'zhu'tian'ma'tang
半夏厚朴汤,ban'xia'hou'po'tang
半夏泻心汤,ban'xia'xie'xin'tang
保产无忧散,bao'chan'wu'you'san
保和丸,bao'he'wan
保阴煎,bao'yin'jian
保元汤,bao'yuan'tang
贝母瓜蒌散,bei'mu'gua'lou'san
萆薢分清饮,bi'xie'fen'qing'yin
碧玉散,bi'yu'san
鳖甲煎丸,bie'jia'jian'wan
布袋丸,bu'dai'wan
补肺阿胶汤,bu'fei'e'jiao'tang
补阳还五汤,bu'yang'huan'wu'tang
补中益气汤,bu'zhong'yi'qi'tang
蚕矢汤,can'shi'tang
苍附导痰丸,cang'fu'dao'tan'wan
柴葛解肌汤,chai'ge'jie'ji'tang
柴胡疏肝散,chai'hu'shu'gan'san
柴胡陷胸汤,chai'hu'xian'xiong'tang
柴平汤,chai'ping'tang
川芎茶调散,chuan'xiong'cha'tiao'san
磁朱丸,ci'zhu'wan
葱白七味饮,cong'bai'qi'wei'yin
大补阴丸,da'bu'yin'wan
大柴胡汤,da'chai'hu'tang
大承气汤,da'cheng'qi'tang
大定风珠,da'ding'feng'zhu
大黄附子汤,da'huang'fu'zi'tang
大黄牡丹汤,da'huang'mu'dan'tang
大活络丹,da'huo'luo'dan
大建中汤,da'jian'zhong'tang
大秦艽汤,da'qin'jiao'tang
大青龙汤,da'qing'long'tang
大黄错虫丸,dai'huang'cuo'chong'wan
丹参饮,dan'shen'yin
当归补血汤,dang'gui'bu'xue'tang
当归建中汤,dang'gui'jian'zhong'tang
当归六黄汤,dang'gui'liu'huang'tang
当归龙荟丸,dang'gui'long'hui'wan
当归拈痛汤,dang'gui'nian'tong'tang
当归四逆汤,dang'gui'si'ni'tang
当归饮子,dang'gui'yin'zi
导赤散,dao'chi'san
导水丸,dao'shui'wan
导痰汤,dao'tan'tang
地黄饮子,di'huang'yin'zi
涤痰汤,di'tan'tang
定喘汤,ding'chuan'tang
定痫丸,ding'xian'wan
丁香柿蒂汤,ding'xiang'shi'di'tang
独活寄生汤,du'huo'ji'sheng'tang
都气丸,du'qi'wan
