阿聋公拜年,a'long'gong'bai'nian
艾话,ai'hua
嗌咩,ai'mie
嗌你,ai'ni
矮挪挪,ai'nuo'nuo
嗌佢,ai'qu
嗌我,ai'wo
暗蹦蹦,an'beng'beng
暗灰,an'hui
暗鸡孟,an'ji'meng
盎煲,ang'bao
昂佬,ang'lao
百戳厌,bai'chuo'yan
白面,bai'mian
白日头,bai'ri'tou
搬铲佬,ban'chan'lao
拌跌,ban'die
半夹生,ban'jia'sheng
半晚黑,ban'wan'hei
扮嘢,ban'ye
拌嘢,ban'ye
稖头,bang'tou
煲饭,bao'fan
爆棚,bao'peng
煲粥,bao'zhou
北部湾广场,bei'bu'wan'guang'chang
北捞,bei'lao
北涝,bei'lao
笨叱,ben'chi
笨戳,ben'chuo
崩沙,beng'sha
蹦牙齿,beng'ya'chi
鼻公,bi'gong
毕唠,bi'lao
畀面,bi'mian
畀你,bi'ni
边呢,bian'ne
跛脚佬,bo'jiao'lao
博懵,bo'meng
搏命,bo'ming
膊头,bo'tou
搏一搏单车变摩托,bo'yi'bo'dan'che'bian'mo'tuo
波珠,bo'zhu
布路,bu'lu
菜街,cai'jie
草蜢,cao'meng
差冇多,cha'mao'duo
觇高头,chan'gao'tou
吵戳耳,chao'chuo'er
车大炮,che'da'pao
扯猪索,che'zhu'suo
趁戳势,chen'chuo'shi
趁机博乱,chen'ji'bo'luan
撑台脚,cheng'tai'jiao
撑遮,cheng'zhe
痴嘿线,chi'hei'xian
赤脚医生,chi'jiao'yi'sheng
痴妈跟,chi'ma'gen
痴閪线,chi'se'xian
吃屎大,chi'shi'da
叱头,chi'tou
痴线,chi'xian
初哥仔,chu'ge'zai
出日头,chu'ri'tou
穿肚,chuan'du
吹水,chui'shui
戳头,chuo'tou
村卜洛熟,cun'bu'luo'shu
村下佬,cun'xia'lao
打靶鬼,da'ba'gui
大笨戳,da'ben'chuo
打波珠,da'bo'zhu
大不用,da'bu'yong
打的,da'di
大敦海,da'dun'hai
大耳窿,da'er'long
打斧头,da'fu'tou
大个仔,da'ge'zai
打横来讲,da'heng'lai'jiang
大偈,da'ji
打鸡针,da'ji'zhen
大碌,da'lu
大碌竹,da'lu'zhu
大囊,da'nang
打嫳,da'pie
打瞥,da'pie
大嗮,da'sai
打死狗,da'si'gou
打死狗讲价,da'si'gou'jiang'jia
大天懵懂,da'tian'meng'dong
打噎,da'ye
搭志,da'zhi
疍家婆,dan'jia'po
单身寡仔,dan'shen'gua'zai
弹虾,dan'xia
氹你开心,dang'ni'kai'xin
氹下,dang'xia
得餐,de'can
得力,de'li
得冇,de'mao
得米,de'mi
得戚,de'qi
得意,de'yi
噔你废,deng'ni'fei
啲啶佬,di'ding'lao
睇度眼盲,di'du'yan'mang
地角婆,di'jiao'po
底裤,di'ku
抵力,di'li
地龙,di'long
睇牛,di'niu
睇牛佬,di'niu'lao
睇牛老,di'niu'lao
籴佢走,di'qu'zou
底衫,di'shan
抵谂,di'shen
抵死,di'si
睇头某睇尾,di'tou'mou'di'wei
睇戏,di'xi
掂侧耻,dian'ce'chi
垫肚费,dian'du'fei
癫佬,dian'lao
癫婆,dian'po
吊煲,diao'bao
屌暴炸,diao'bao'zha
屌臭你老乸,diao'chou'ni'lao'na
屌你乸,diao'ni'na
屌閪,diao'se
喋野,die'ye
定啲来金链都有得你带,ding'di'lai'jin'lian'dou'you'de'ni'dai
顶颈,ding'jing
顶硬,ding'ying
丟架,diu'jia
东方红广场,dong'fang'hong'guang'chang
戙企,dong'qi
逗毒,dou'du
肚煲,du'bao
独树根,du'shu'gen
