暗送秋波暗香袭人,an'song'qiu'bo'an'xiang'xi'ren
鬓云乱洒酥胸半掩美人睡态,bin'yun'luan'sa'su'xiong'ban'yan'mei'ren'shui'tai
婀娜小蛮娥娥理红妆纤纤抬素手,e'nuo'xiao'man'e'e'li'hong'zhuang'xian'xian'tai'su'shou
芳馨满体,fang'xin'man'ti
回身举步恰似柳摇花笑润初妍,hui'shen'ju'bu'qia'si'liu'yao'hua'xiao'run'chu'yan
空谷幽兰款步姗姗开颜发艳,kong'gu'you'lan'kuan'bu'shan'shan'kai'yan'fa'yan
女中丈夫浓妆艳裹,nv'zhong'zhang'fu'nong'zhuang'yan'guo
普天壤其无俪旷千载而特生,pu'tian'rang'qi'wu'li'kuang'qian'zai'er'te'sheng
裙拖八幅湘江水情多累美人,qun'tuo'ba'fu'xiang'jiang'shui'qing'duo'lei'mei'ren
态浓意远淑且真,tai'nong'yi'yuan'shu'qie'zhen
小白长红越女腮,xiao'bai'chang'hong'yue'nv'sai
盈盈十五娟娟二八,ying'ying'shi'wu'juan'juan'er'ba
擢纤纤之素手雪皓腕而露形,zhuo'xian'xian'zhi'su'shou'xue'hao'wan'er'lu'xing
