嗄风,a'feng
嗄风嗄达,a'feng'a'da
嗄风仔,a'feng'zai
嗄怕,a'pa
嗄涩,a'se
矮耽,ai'dan
挨箍猪卖粪火,ai'gu'zhu'mai'fen'huo
挨好来日,ai'hao'lai'ri
矮脚罗,ai'jiao'luo
挨亏卖搿,ai'kui'mai'ge
挨亏嘴卖放屁,ai'kui'zui'mai'fang'pi
爱亩着壳苦,ai'mu'zhe'ke'ku
挨烧肝,ai'shao'gan
挨食挨担,ai'shi'ai'dan
爱死着来大成树脚,ai'si'zhe'lai'da'cheng'shu'jiao
挨算卖除粜米换番薯,ai'suan'mai'chu'tiao'mi'huan'fan'shu
挨闲来坐,ai'xian'lai'zuo
挨想,ai'xiang
挨鱼,ai'yu
暗暗静静,an'an'jing'jing
岸到臭,an'dao'chou
安甲有,an'jia'you
暗静,an'jing
揞做一下,an'zuo'yi'xia
盎砌勾,ang'qi'gou
袄是老人称个,ao'shi'lao'ren'cheng'ge
熬遭仔,ao'zao'zai
袄着,ao'zhe
袄着脚,ao'zhe'jiao
巴巴蚝,ba'ba'hao
八尺,ba'chi
巴堵,ba'du
巴兰,ba'lan
白鲳,bai'chang
白到雪雪,bai'dao'xue'xue
白鲫,bai'ji
摆架摆势,bai'jia'bai'shi
白麻,bai'ma
百脉无,bai'mai'wu
白目嗳,bai'mu'ai
白牛庵,bai'niu'an
白枪,bai'qiang
白饶,bai'rao
摆色水,bai'se'shui
白雪雪,bai'xue'xue
白仔,bai'zai
白竹,bai'zhu
班败,ban'bai
班刀,ban'dao
板筋,ban'jin
癍康,ban'kang
半路半债,ban'lu'ban'zhai
半路债,ban'lu'zhai
半莽,ban'mang
半色控,ban'se'kong
半些熟,ban'xie'shu
斑鱼糜,ban'yu'mi
办猪,ban'zhu
斑猪,ban'zhu
抱壁,bao'bi
煲滚水,bao'gun'shui
煲块糜,bao'kuai'mi
煲糜,bao'mi
曝日,bao'ri
煲食,bao'shi
龅牙,bao'ya
悲钵,bei'bo
北沟,bei'gou
北古碗,bei'gu'wan
北关,bei'guan
北乜个哪,bei'mie'ge'na
北爿,bei'pan
北拳当着小,bei'quan'dang'zhe'xiao
北拳问着小,bei'quan'wen'zhe'xiao
北拳遇着小,bei'quan'yu'zhe'xiao
陂头,bei'tou
北新,bei'xin
北洋,bei'yang
北字掠无磨蜞,bei'zi'lue'wu'mo'qi
嘣半,beng'ban
嘣到你鼻浪康血绩滴,beng'dao'ni'bi'lang'kang'xue'ji'di
嗙来嗙去好担,beng'lai'beng'qu'hao'dan
嗙来嗙去有话,beng'lai'beng'qu'you'hua
嗙无花,beng'wu'hua
臂仔,bi'zai
鞭含个走直去,bian'han'ge'zou'zhi'qu
鞭头,bian'tou
鞭尾,bian'wei
髌身重汗,bin'shen'zhong'han
病症仔,bing'zheng'zai
博龟,bo'gui
驳季,bo'ji
驳季驳舌,bo'ji'bo'she
博嫁路,bo'jia'lu
驳壳,bo'ke
