阿那曲,a'na'qu
爱孤云,ai'gu'yun
安公子,an'gong'zi
安庆摸,an'qing'mo
暗香,an'xiang
暗香疏影,an'xiang'shu'ying
安阳好,an'yang'hao
八宝妆,ba'bao'zhuang
八归,ba'gui
芭蕉雨,ba'jiao'yu
八节同欢,ba'jie'tong'huan
八六子,ba'liu'zi
八拍蛮,ba'pai'man
八塞,ba'sai
八声甘州,ba'sheng'gan'zhou
八音谐,ba'yin'xie
巴渝辞,ba'yu'ci
百尺楼,bai'chi'lou
白鸽子,bai'ge'zi
白鹤子,bai'he'zi
百媚娘,bai'mei'niang
白苹香,bai'ping'xiang
拜新月,bai'xin'yue
拜星,bai'xing
拜星月,bai'xing'yue
拜星月慢,bai'xing'yue'man
白萱,bai'xuan
白萱歌,bai'xuan'ge
白雪,bai'xue
白雪词,bai'xue'ci
百宜娇,bai'yi'jiao
百字令,bai'zi'ling
百字谣,bai'zi'yao
百字字,bai'zi'zi
伴登临,ban'deng'lin
伴云来,ban'yun'lai
宝钗分,bao'chai'fen
宝鼎现,bao'ding'xian
鲍老催,bao'lao'cui
陂堂柳,bei'tang'liu
陂搪柳,bei'tang'liu
北杨柳,bei'yang'liu
悲哉行,bei'zai'xing
悲中乐,bei'zhong'yue
碧窗梦,bi'chuang'meng
比梅,bi'mei
碧美蓉,bi'mei'rong
碧牡丹,bi'mu'dan
比目鱼,bi'mu'yu
碧桃春,bi'tao'chun
碧玉箫,bi'yu'xiao
碧云深,bi'yun'shen
别仙子,bie'xian'zi
别怨,bie'yuan
鬓边华,bin'bian'hua
鬓云松,bin'yun'song
鬓云松令,bin'yun'song'ling
并蒂芙蓉,bing'di'fu'rong
拨不断,bo'bu'duan
薄命女,bo'ming'nv
蕃女怨,bo'nv'yuan
薄幸,bo'xing
卜玉郎,bo'yu'lang
拨棹子,bo'zhao'zi
步步娇,bu'bu'jiao
步蟾宫,bu'chan'gong
步花间,bu'hua'jian
不见,bu'jian
不怕醉,bu'pa'zui
不如归去,bu'ru'gui'qu
不是路,bu'shi'lu
不水船,bu'shui'chuan
卜算子,bu'suan'zi
卜算子慢,bu'suan'zi'man
步虚词,bu'xu'ci
步虚声,bu'xu'sheng
步月,bu'yue
采綵令,cai'cai'ling
采茶煮春碧,cai'cha'zhu'chun'bi
彩凤飞,cai'feng'fei
采莲令,cai'lian'ling
采莲子,cai'lian'zi
采绿令,cai'lv'ling
采明珠,cai'ming'zhu
采桑子,cai'sang'zi
采桑子慢,cai'sang'zi'man
彩云归,cai'yun'gui
