爱民如子,ai'min'ru'zi
八八六十四卦,ba'ba'liu'shi'si'gua
八刀分米粉,ba'dao'fen'mi'fen
把古往今来重新说起,ba'gu'wang'jin'lai'chong'xin'shuo'qi
把酒凌虚,ba'jiu'ling'xu
八目共赏,ba'mu'gong'shang
八体耀银书,ba'ti'yao'yin'shu
白白红红绿绿,bai'bai'hong'hong'lv'lv
百管争鸣,bai'guan'zheng'ming
百花遍地飘香,bai'hua'bian'di'piao'xiang
百花争向艳阳红,bai'hua'zheng'xiang'yan'yang'hong
百货风行财政裕,bai'huo'feng'xing'cai'zheng'yu
白鸟忘饥,bai'niao'wang'ji
百问不烦百拿不变,bai'wen'bu'fan'bai'na'bu'bian
白杨树下卧白羊,bai'yang'shu'xia'wo'bai'yang
白云峰,bai'yun'feng
百字头,bai'zi'tou
般般好玩,ban'ban'hao'wan
般般适合冷,ban'ban'shi'he'leng
半江渔火,ban'jiang'yu'huo
保家卫国全民有责,bao'jia'wei'guo'quan'min'you'ze
爆竹传笑语,bao'zhu'chuan'xiao'yu
爆竹两三声人间是岁,bao'zhu'liang'san'sheng'ren'jian'shi'sui
爆竹一声除旧,bao'zhu'yi'sheng'chu'jiu
北京输油管油输京北,bei'jing'shu'you'guan'you'shu'jing'bei
北雁南飞,bei'yan'nan'fei
悲哉秋之为气,bei'zai'qiu'zhi'wei'qi
北走蜿蜒,bei'zou'wan'yan
奔来眼底,ben'lai'yan'di
碧岸雨收莺语柳,bi'an'yu'shou'ying'yu'liu
笔壁描猫惊暑鼠,bi'bi'miao'mao'jing'shu'shu
笔底波澜,bi'di'bo'lan
笔花开遍四时春,bi'hua'kai'bian'si'shi'chun
遍地虎跃龙腾,bian'di'hu'yue'long'teng
便断碣残碑,bian'duan'jie'can'bei
便利何妨用手提,bian'li'he'fang'yong'shou'ti
便是财源日日兴,bian'shi'cai'yuan'ri'ri'xing
宾至如归,bin'zhi'ru'gui
兵打冰,bing'da'bing
冰冻兵船,bing'dong'bing'chuan
并非东涂西抹东西,bing'fei'dong'tu'xi'mo'dong'xi
冰开兵去,bing'kai'bing'qu
搏儿童整日心欢,bo'er'tong'zheng'ri'xin'huan
薄利多销生意兴隆,bo'li'duo'xiao'sheng'yi'xing'long
不愁夕阳去,bu'chou'xi'yang'qu
布谷鸣春人勤物阜,bu'gu'ming'chun'ren'qin'wu'fu
不过淡泊年,bu'guo'dan'bo'nian
不教白发催人老,bu'jiao'bai'fa'cui'ren'lao
不觉漏眼,bu'jue'lou'yan
不历几番锤炼,bu'li'ji'fan'chui'lian
不是东西,bu'shi'dong'xi
不遇知音众声俱寂,bu'yu'zhi'yin'zhong'sheng'ju'ji
步月凌波去,bu'yue'ling'bo'qu
裁缝店用联,cai'feng'dian'yong'lian
裁缝老徐,cai'feng'lao'xu
裁剪入时件件称心,cai'jian'ru'shi'jian'jian'chen'xin
蔡氏旧名高,cai'shi'jiu'ming'gao
彩线添来瑞日长,cai'xian'tian'lai'rui'ri'zhang
裁衣店用联,cai'yi'dian'yong'lian
财源茂盛达三江,cai'yuan'mao'sheng'da'san'jiang
裁云作舞衣,cai'yun'zuo'wu'yi
参出民间疾苦,can'chu'min'jian'ji'ku
蚕为天下虫,can'wei'tian'xia'chong
惨矣瑾其可怀,can'yi'jin'qi'ke'huai
残月如弓,can'yue'ru'gong
藏古今学术,cang'gu'jin'xue'shu
仓内常存万石粮,cang'nei'chang'cun'wan'shi'liang
槽边不乏千里马,cao'bian'bu'fa'qian'li'ma
草店新书词林欣赏,cao'dian'xin'shu'ci'lin'xin'shang
层层孔明,ceng'ceng'kong'ming
茶滚釜中喧雀舌,cha'gun'fu'zhong'xuan'que'she
柴门虽低出人才,chai'men'sui'di'chu'ren'cai
缠绵动客心,chan'mian'dong'ke'xin
常备不懈苦练过硬本领,chang'bei'bu'xie'ku'lian'guo'ying'ben'ling
长发长发长长发,chang'fa'chang'fa'zhang'chang'fa
长巾帐内女子好,chang'jin'zhang'nei'nv'zi'hao
尝来皆适口,chang'lai'jie'shi'kou
阊门启户,chang'men'qi'hu
畅谈画事两腋生风,chang'tan'hua'shi'liang'ye'sheng'feng
长途夏热,chang'tu'xia're
车停水止,che'ting'shui'zhi
臣节重如山,chen'jie'zhong'ru'shan
陈列奇珍来海国,chen'lie'qi'zhen'lai'hai'guo
陈皮不能敲半下,chen'pi'bu'neng'qiao'ban'xia
趁蟹屿螺州,chen'xie'yu'luo'zhou
沉一渚,chen'yi'zhu
乘风扬帆渔歌腾浪,cheng'feng'yang'fan'yu'ge'teng'lang
城乡客货纷至沓来,cheng'xiang'ke'huo'fen'zhi'ta'lai
池边河畔鸭大鹅肥,chi'bian'he'pan'ya'da'e'fei
持筹握算积产储财,chi'chou'wo'suan'ji'chan'chu'cai
吃尽草以为驴,chi'jin'cao'yi'wei'lv
尺量土地地长尺,chi'liang'tu'di'di'chang'chi
魑魅魍魉四小鬼,chi'mei'wang'liang'si'xiao'gui
吃西瓜皮向东甩,chi'xi'gua'pi'xiang'dong'shuai
重重叠叠山,chong'chong'die'die'shan
重光日月幸遇昌时,chong'guang'ri'yue'xing'yu'chang'shi
初傍玉台疑挂月,chu'bang'yu'tai'yi'gua'yue
处处春光好,chu'chu'chun'guang'hao
处处明明秀秀,chu'chu'ming'ming'xiu'xiu
处处桃花频送暖,chu'chu'tao'hua'pin'song'nuan
处处香山白乐天,chu'chu'xiang'shan'bai'le'tian
处处寻寻觅觅,chu'chu'xun'xun'mi'mi
出对易,chu'dui'yi
储积玉钵香浮芍药,chu'ji'yu'bo'xiang'fu'shao'yao
出品必精价廉物美,chu'pin'bi'jing'jia'lian'wu'mei
储蓄不嫌存钱少,chu'xu'bu'xian'cun'qian'shao
穿冬装,chuan'dong'zhuang
船载货物货重船,chuan'zai'huo'wu'huo'zhong'chuan
船载橹橹摇船,chuan'zai'lu'lu'yao'chuan
窗含绿水鸭鹅队队戏银波,chuang'han'lv'shui'ya'e'dui'dui'xi'yin'bo
吹吹打打敲敲,chui'chui'da'da'qiao'qiao
春草满庭吐秀,chun'cao'man'ting'tu'xiu
春到碧桃树上,chun'dao'bi'tao'shu'shang
春到光荣人家,chun'dao'guang'rong'ren'jia
春到山乡处处喜,chun'dao'shan'xiang'chu'chu'xi
春风春雨春色,chun'feng'chun'yu'chun'se
春风桃李秋雨芭蕉,chun'feng'tao'li'qiu'yu'ba'jiao
春风摇曳送莺喉,chun'feng'yao'ye'song'ying'hou
春光遍草木,chun'guang'bian'cao'mu
春归柳叶新,chun'gui'liu'ye'xin
春回大地,chun'hui'da'di
春回大地千峰秀,chun'hui'da'di'qian'feng'xiu
春晖又红万朵花,chun'hui'you'hong'wan'duo'hua
