八不达五,ba'bu'da'wu
八货,ba'huo
八伤着心,ba'shang'zhe'xin
八五儿,ba'wu'er
包衣,bao'yi
北瓜,bei'gua
伯色,bo'se
不繁桌,bu'fan'zhuo
不黑屌,bu'hei'diao
不嘿显,bu'hei'xian
不来似,bu'lai'si
不照了,bu'zhao'le
叉死你,cha'si'ni
痴儿吧呆八,chi'er'ba'dai'ba
刺花,ci'hua
大别别,da'bie'bie
打赤包,da'chi'bao
大雷人,da'lei'ren
呆了巴西地,dai'le'ba'xi'di
到学,dao'xue
蹬死你,deng'si'ni
掉着筋的事,diao'zhe'jin'de'shi
爹爹,die'die
冻包子,dong'bao'zi
对人岑,dui'ren'cen
蹲缸,dun'gang
二佬,er'lao
耳捞,er'lao
发狠,fa'hen
番僧吊顾地,fan'seng'diao'gu'di
房干,fang'gan
干猴斤,gan'hou'jin
高低,gao'di
搞恼着,gao'nao'zhe
怪样子,guai'yang'zi
惯实,guan'shi
鬼扯,gui'che
归家,gui'jia
锅子,guo'zi
哈扯,ha'che
哈吊感,ha'diao'gan
哈搞,ha'gao
哈昼,ha'zhou
哈昼晚上,ha'zhou'wan'shang
害着,hai'zhe
胡大胡二,hu'da'hu'er
坏着胚,huai'zhe'pei
浑色,hun'se
假码地,jia'ma'di
假马地,jia'ma'di
蒋金,jiang'jin
将前着,jiang'qian'zhe
筋肉,jin'rou
井罐,jing'guan
看牛的胚,kan'niu'de'pei
靠门,kao'men
苦娄,ku'lou
困告,kun'gao
扩门,kuo'men
栏杆篱,lan'gan'li
老楚儿,lao'chu'er
老国国地,lao'guo'guo'di
佬佬,lao'lao
劳力,lao'li
老斯,lao'si
老子廓死你,lao'zi'kuo'si'ni
老子一个巴刷死你,lao'zi'yi'ge'ba'shua'si'ni
两起头,liang'qi'tou
六谷子,liu'gu'zi
六泡儿,liu'pao'er
流色,liu'se
猫子,mao'zi
闷兜梨子,men'dou'li'zi
闷死你,men'si'ni
梦梦,meng'meng
绵了,mian'le
蘑里蘑菇的,mo'li'mo'gu'de
孬儿八轰地,nao'er'ba'hong'di
孬日八西,nao'ri'ba'xi
孬子,nao'zi
你个大大,ni'ge'da'da
藕的很,ou'de'hen
怕死鬼人地,pa'si'gui'ren'di
陪刀,pei'dao
批题拉忽地,pi'ti'la'hu'di
清早八早,qing'zao'ba'zao
三国形,san'guo'xing
傻儿八鸡,sha'er'ba'ji
上该,shang'gai
上昼,shang'zhou
烧包,shao'bao
舌条,she'tiao
十三点,shi'san'dian
手膀子,shou'bang'zi
水壶楼子,shui'hu'lou'zi
特为地,te'wei'di
现世,xian'shi
杨儿八熙,yang'er'ba'xi
遗风做斜地,yi'feng'zuo'xie'di
一个巴呼死你,yi'ge'ba'hu'si'ni
音哟,yin'yo
杂花,za'hua
糟死着,zao'si'zhe
中岗,zhong'gang
中贵,zhong'gui
中国您,zhong'guo'nin
走金,zou'jin
走漏,zou'lou
做理,zuo'li
作孽,zuo'nie
作死,zuo'si
