靶场,ba'chang
白沙,bai'sha
宝珊花园,bao'shan'hua'yuan
宝洲,bao'zhou
宝洲小商品市场,bao'zhou'xiao'shang'pin'shi'chang
北峰工业区,bei'feng'gong'ye'qu
北门街,bei'men'jie
北师大附中,bei'shi'da'fu'zhong
边防医院,bian'fang'yi'yuan
边防支队,bian'fang'zhi'dui
滨城,bin'cheng
滨南,bin'nan
曾厝,ceng'cuo
曾林村,ceng'lin'cun
钗头厂,chai'tou'chang
长福,chang'fu
朝天门,chao'tian'men
车垵,che'an
陈埭,chen'dai
城东村,cheng'dong'cun
城监支队,cheng'jian'zhi'dui
承天寺,cheng'tian'si
成洲工业区,cheng'zhou'gong'ye'qu
池店,chi'dian
赤土村,chi'tu'cun
刺桐,ci'tong
刺桐公交站,ci'tong'gong'jiao'zhan
刺桐公园,ci'tong'gong'yuan
刺桐新村,ci'tong'xin'cun
大隘门,da'ai'men
打锡街,da'xi'jie
大希夷,da'xi'yi
大霞美,da'xia'mei
大乡村,da'xiang'cun
埭头,dai'tou
道崎鞋业,dao'qi'xie'ye
灯星小学,deng'xing'xiao'xue
第二医院,di'er'yi'yuan
迪克斯,di'ke'si
迪克斯公司,di'ke'si'gong'si
第三巷口,di'san'xiang'kou
第一医院,di'yi'yi'yuan
地质队,di'zhi'dui
电力学校,dian'li'xue'xiao
电信公司,dian'xin'gong'si
顶堡,ding'bao
东边,dong'bian
东方银座,dong'fang'yin'zuo
东海滨城,dong'hai'bin'cheng
东海镇政府,dong'hai'zhen'zheng'fu
东湖菜市场,dong'hu'cai'shi'chang
东湖公园,dong'hu'gong'yuan
东湖新村,dong'hu'xin'cun
东湖影院,dong'hu'ying'yuan
东鲁街口,dong'lu'jie'kou
东梅,dong'mei
东美,dong'mei
东美小区,dong'mei'xiao'qu
东门,dong'men
东南医院,dong'nan'yi'yuan
董埔,dong'pu
东浦,dong'pu
东山,dong'shan
东岳寺,dong'yue'si
斗南,dou'nan
锻湖村,duan'hu'cun
二期,er'qi
儿童医院,er'tong'yi'yuan
二院,er'yuan
芳草园,fang'cao'yuan
凤山村,feng'shan'cun
丰泽公交站,feng'ze'gong'jiao'zhan
丰泽街口,feng'ze'jie'kou
丰泽客运站,feng'ze'ke'yun'zhan
丰泽区政府,feng'ze'qu'zheng'fu
丰泽小区,feng'ze'xiao'qu
丰州,feng'zhou
丰州镇政府,feng'zhou'zhen'zheng'fu
福鼎村口,fu'ding'cun'kou
浮桥,fu'qiao
浮桥街,fu'qiao'jie
浮桥镇政府,fu'qiao'zhen'zheng'fu
妇幼活动中心,fu'you'huo'dong'zhong'xin
柑舍头,gan'she'tou
干休所,gan'xiu'suo
高尔夫球场,gao'er'fu'qiu'chang
高新科技园,gao'xin'ke'ji'yuan
格林公司,ge'lin'gong'si
公交车站,gong'jiao'che'zhan
公交停靠站,gong'jiao'ting'kao'zhan
公路局一公司,gong'lu'ju'yi'gong'si
公路一公司,gong'lu'yi'gong'si
工业区,gong'ye'qu
关帝庙,guan'di'miao
官桥,guan'qiao
官头,guan'tou
琯头,guan'tou
罐头厂,guan'tou'chang
冠亚城市花园,guan'ya'cheng'shi'hua'yuan
广电路,guang'dian'lu
国防教育中心,guo'fang'jiao'yu'zhong'xin
国税局,guo'shui'ju
海都公司,hai'dou'gong'si
海关,hai'guan
海关大楼,hai'guan'da'lou
海信站,hai'xin'zhan
航空旅游城,hang'kong'lv'you'cheng
河市,he'shi
红梅新村,hong'mei'xin'cun
鸿绮集团,hong'qi'ji'tuan
红星学校,hong'xing'xue'xiao
后坂,hou'ban
后埔,hou'bu
后城,hou'cheng
后城口,hou'cheng'kou
后厝街,hou'cuo'jie
后坑,hou'keng
后茂,hou'mao
后渚,hou'zhu
后渚村,hou'zhu'cun
湖滨,hu'bin
湖滨花苑,hu'bin'hua'yuan
湖滨路,hu'bin'lu
湖心街东段,hu'xin'jie'dong'duan
湖心街口,hu'xin'jie'kou
湖心街中段,hu'xin'jie'zhong'duan
华大,hua'da
华大北大门,hua'da'bei'da'men
华美公司,hua'mei'gong'si
华侨大厦,hua'qiao'da'sha
华侨大学,hua'qiao'da'xue
华侨新村,hua'qiao'xin'cun
华塑厂,hua'su'chang
花巷口,hua'xiang'kou
花园头,hua'yuan'tou
华洲,hua'zhou
华洲市场,hua'zhou'shi'chang
黄石村,huang'shi'cun
火车站,huo'che'zhan
火炬工业区,huo'ju'gong'ye'qu
火炬家私,huo'ju'jia'si
火烧桥,huo'shao'qiao
集壁,ji'bi
技工学校,ji'gong'xue'xiao
吉源花苑,ji'yuan'hua'yuan
甲第巷口,jia'di'xiang'kou
建材市场,jian'cai'shi'chang
建南花园,jian'nan'hua'yuan
剑影学校,jian'ying'xue'xiao
江南仙塘社区,jiang'nan'xian'tang'she'qu
江南镇政府,jiang'nan'zhen'zheng'fu
交警支队,jiao'jing'zhi'dui
交通局,jiao'tong'ju
津坂,jin'ban
金帝花苑,jin'di'hua'yuan
金帝花园,jin'di'hua'yuan
金鸡桥,jin'ji'qiao
晋江二中,jin'jiang'er'zhong
晋江机场,jin'jiang'ji'chang
锦美村,jin'mei'cun
金浦,jin'pu
金山南区,jin'shan'nan'qu
锦信,jin'xin
井边西路,jing'bian'xi'lu
经贸学院,jing'mao'xue'yuan
景明花园,jing'ming'hua'yuan
旧车站,jiu'che'zhan
九日山,jiu'ri'shan
九一,jiu'yi
九一街,jiu'yi'jie
聚宝新城,ju'bao'xin'cheng
军区汽修厂,jun'qu'qi'xiu'chang
开元寺,kai'yuan'si
开元寺西门,kai'yuan'si'xi'men
客运中心站,ke'yun'zhong'xin'zhan
坑头村,keng'tou'cun
坑尾,keng'wei
劳动力市场,lao'dong'li'shi'chang
老君岩,lao'jun'yan
雷克科技园,lei'ke'ke'ji'yuan
鲤城公安分局,li'cheng'gong'an'fen'ju
鲤城教育基地,li'cheng'jiao'yu'ji'di
鲤城区政府,li'cheng'qu'zheng'fu
黎明大学,li'ming'da'xue
联泰第一城,lian'tai'di'yi'cheng
临彰门,lin'zhang'men
临漳门,lin'zhang'men
柳洋村,liu'yang'cun
路机厂,lu'ji'chang
洛江工商局,luo'jiang'gong'shang'ju
洛江交通局,luo'jiang'jiao'tong'ju
洛江科技园,luo'jiang'ke'ji'yuan
洛江土地局,luo'jiang'tu'di'ju
洛江信和,luo'jiang'xin'he
洛江邮政局,luo'jiang'you'zheng'ju
罗溪,luo'xi
洛阳,luo'yang
马甲,ma'jia
满堂红中学,man'tang'hong'zhong'xue
满中,man'zhong
闽侨站,min'qiao'zhan
明日广场,ming'ri'guang'chang
南环路,nan'huan'lu
南俊巷口,nan'jun'xiang'kou
南埔工业区,nan'pu'gong'ye'qu
南山市场,nan'shan'shi'chang
