本科教务系统,ben'ke'jiao'wu'xi'tong
出校器,chu'xiao'qi
大礼堂,da'li'tang
东区,dong'qu
多多,duo'duo
多多超市,duo'duo'chao'shi
二频,er'pin
桂电,gui'dian
桂电在线,gui'dian'zai'xian
花江,hua'jiang
金鸡路口,jin'ji'lu'kou
科协,ke'xie
六教,liu'jiao
巧面馆,qiao'mian'guan
青工楼,qing'gong'lou
商业街,shang'ye'jie
少年中国,shao'nian'zhong'guo
设计堡垒,she'ji'bao'lei
十九教,shi'jiu'jiao
十路,shi'lu
十三路,shi'san'lu
实训楼,shi'xun'lou
数字化校园,shu'zi'hua'xiao'yuan
微风映像,wei'feng'ying'xiang
西区,xi'qu
小巴,xiao'ba
小面包,xiao'mian'bao
信科,xin'ke
尧山,yao'shan
一卡通,yi'ka'tong
音协,yin'xie
邮编,you'bian
周怀营,zhou'huai'ying
