艾思奇,ai'si'qi
安世高,an'shi'gao
班固,ban'gu
鲍敬言,bao'jing'yan
抱朴子,bao'pu'zi
包世臣,bao'shi'chen
本寂,ben'ji
毕沅,bi'yuan
裨灶,bi'zao
帛和,bo'he
卜商,bo'shang
伯阳父,bo'yang'fu
伯阳甫,bo'yang'fu
布袋和尚,bu'dai'he'shang
不空,bu'kong
蔡墨,cai'mo
蔡尚思,cai'shang'si
蔡沈,cai'shen
蔡邕,cai'yong
蔡元定,cai'yuan'ding
蔡元培,cai'yuan'pei
曹褒,cao'bao
曹操,cao'cao
曹端,cao'duan
曹思文,cao'si'wen
曹植,cao'zhi
曾琦,ceng'qi
缠子,chan'zi
长春真人,chang'chun'zhen'ren
长沮,chang'ju
晁错,chao'cuo
陈白沙,chen'bai'sha
陈炽,chen'chi
陈淳,chen'chun
陈独秀,chen'du'xiu
陈傅良,chen'fu'liang
陈鼓应,chen'gu'ying
陈焕章,chen'huan'zhang
陈榥,chen'huang
陈家康,chen'jia'kang
陈建,chen'jian
陈景元,chen'jing'yuan
陈九川,chen'jiu'chuan
陈澧,chen'li
陈立,chen'li
陈立夫,chen'li'fu
陈亮,chen'liang
陈龙川,chen'long'chuan
陈骈,chen'pian
陈启天,chen'qi'tian
陈虬,chen'qiu
陈铨,chen'quan
陈确,chen'que
陈荣捷,chen'rong'jie
陈天华,chen'tian'hua
陈同甫,chen'tong'fu
陈抟,chen'tuan
陈唯实,chen'wei'shi
陈献章,chen'xian'zhang
陈祥道,chen'xiang'dao
陈樱宁,chen'ying'ning
陈元晖,chen'yuan'hui
沈约,chen'yue
陈仲,chen'zhong
程端礼,cheng'duan'li
程端蒙,cheng'duan'meng
成公绥,cheng'gong'sui
澄观,cheng'guan
程颢,cheng'hao
程明道,cheng'ming'dao
程廷祚,cheng'ting'zuo
成玄英,cheng'xuan'ying
程瑶田,cheng'yao'tian
程颐,cheng'yi
程伊川,cheng'yi'chuan
成中英,cheng'zhong'ying
楚狂接舆,chu'kuang'jie'yu
储泳,chu'yong
崔浩,cui'hao
崔憬,cui'jing
