矮生百慕大草,ai'sheng'bai'mu'da'cao
矮生高羊茅,ai'sheng'gao'yang'mao
矮生美人蕉,ai'sheng'mei'ren'jiao
凹叶厚朴,ao'ye'hou'po
芭蕉,ba'jiao
八角金盘,ba'jiao'jin'pan
八仙花,ba'xian'hua
白芨,bai'ji
白蜡,bai'la
百慕大草,bai'mu'da'cao
白玉兰,bai'yu'lan
绊根草,ban'gen'cao
本特一号草,ben'te'yi'hao'cao
薜荔,bi'li
荸荠,bi'qi
碧桃,bi'tao
薄壳山核桃,bo'qiao'shan'he'tao
哺鸡竹,bu'ji'zhu
侧柏,ce'bai
茶梅,cha'mei
常春藤,chang'chun'teng
朝鲜栀子花,chao'xian'zhi'zi'hua
柽柳,cheng'liu
池杉,chi'shan
重阳木,chong'yang'mu
臭椿,chou'chun
垂柳,chui'liu
垂丝海棠,chui'si'hai'tang
垂枝梅,chui'zhi'mei
垂枝桃,chui'zhi'tao
垂枝榆,chui'zhi'yu
莼菜,chun'cai
春鹃,chun'juan
刺柏球,ci'bai'qiu
慈姑,ci'gu
刺槐,ci'huai
慈孝竹,ci'xiao'zhu
葱兰,cong'lan
翠柏,cui'bai
翠柏球,cui'bai'qiu
大花醉鱼草,da'hua'zui'yu'cao
大吴风草,da'wu'feng'cao
大叶海菜花,da'ye'hai'cai'hua
大叶黄杨,da'ye'huang'yang
大叶黄杨球,da'ye'huang'yang'qiu
单瓣茶花,dan'ban'cha'hua
单瓣红花油茶花,dan'ban'hong'hua'you'cha'hua
丹桂,dan'gui
淡竹,dan'zhu
德国鸢尾,de'guo'yuan'wei
灯心草,deng'xin'cao
棣棠,di'tang
丁香,ding'xiang
杜英,du'ying
杜仲,du'zhong
鹅掌楸,e'zhang'qiu
二乔玉兰,er'qiao'yu'lan
二台枸骨球,er'tai'gou'gu'qiu
榧树,fei'shu
凤尾竹,feng'wei'zhu
枫香,feng'xiang
枫杨,feng'yang
扶芳藤,fu'fang'teng
刚竹,gang'zhu
高羊茅,gao'yang'mao
枸骨,gou'gu
枸骨球,gou'gu'qiu
瓜子黄杨,gua'zi'huang'yang
瓜子黄杨球,gua'zi'huang'yang'qiu
广玉兰,guang'yu'lan
龟甲冬青,gui'jia'dong'qing
国槐,guo'huai
过路黄,guo'lu'huang
果梅,guo'mei
果石榴,guo'shi'liu
海滨木槿,hai'bin'mu'jin
海桐,hai'tong
海桐球,hai'tong'qiu
旱伞草,han'san'cao
含笑,han'xiao
荷花,he'hua
合欢,he'huan
黑麦草,hei'mai'cao
黑松,hei'song
红枫,hong'feng
红果冬青,hong'guo'dong'qing
红花继木,hong'hua'ji'mu
红花继木球,hong'hua'ji'mu'qiu
红花木莲,hong'hua'mu'lian
