阿达哈哈番,a'da'ha'ha'fan
阿尔巴布伯克,a'er'ba'bu'bo'ke
阿衡,a'heng
阿奇木伯克,a'qi'mu'bo'ke
阿思哈尼哈番,a'si'ha'ni'ha'fan
阿速卫亲军都指挥使司,a'su'wei'qin'jun'du'zhi'hui'shi'si
按察使,an'cha'shi
安抚使,an'fu'shi
安抚司,an'fu'si
安民厂,an'min'chang
鞍辔库,an'pei'ku
安人,an'ren
案首,an'shou
安远将军,an'yuan'jiang'jun
安置,an'zhi
昂邦章京,ang'bang'zhang'jing
八公,ba'gong
拔贡,ba'gong
八股文,ba'gu'wen
拔解,ba'jie
八局,ba'ju
巴克什,ba'ke'shen
八旗俸饷处,ba'qi'feng'xiang'chu
八旗官学,ba'qi'guan'xue
八旗制度,ba'qi'zhi'du
巴图鲁,ba'tu'lu
八校尉,ba'xiao'wei
八长史,ba'zhang'shi
八子,ba'zi
把总,ba'zong
八座,ba'zuo
八作司,ba'zuo'si
百户,bai'hu
白麻,bai'ma
百石,bai'shi
拜他喇布勒哈番,bai'ta'la'bu'le'ha'fan
拜唐阿,bai'tang'a
白纸坊,bai'zhi'fang
班官,ban'guan
板片库,ban'pian'ku
办事大臣,ban'shi'da'chen
颁朔大夫,ban'shuo'dai'fu
帮办,bang'ban
榜眼,bang'yan
牓子,bang'zi
保安大夫,bao'an'dai'fu
保安郎,bao'an'lang
宝钞司,bao'chao'si
保冲大夫,bao'chong'dai'fu
保傅,bao'fu
保合大夫,bao'he'dai'fu
保和大夫,bao'he'dai'fu
保和殿大学士,bao'he'dian'da'xue'shi
保和殿学士,bao'he'dian'xue'shi
保和郎,bao'he'lang
保衡,bao'heng
保惠司,bao'hui'si
保嘉大夫,bao'jia'dai'fu
保康大夫,bao'kang'dai'fu
保林,bao'lin
宝林,bao'lin
宝谟阁学士,bao'mo'ge'xue'shi
保平大夫,bao'ping'dai'fu
宝泉局,bao'quan'ju
保全郎,bao'quan'lang
保善大夫,bao'shan'dai'fu
保氏,bao'shi
暴室丞,bao'shi'cheng
保顺大夫,bao'shun'dai'fu
宝文阁学士,bao'wen'ge'xue'shi
保宣大夫,bao'xuan'dai'fu
包衣,bao'yi
保颐大夫,bao'yi'dai'fu
保义副尉,bao'yi'fu'wei
保义郎,bao'yi'lang
保义校尉,bao'yi'xiao'wei
保愈郎,bao'yu'lang
宝源局,bao'yuan'ju
保章大夫,bao'zhang'dai'fu
宝章阁学士,bao'zhang'ge'xue'shi
保章正,bao'zhang'zheng
北大王院,bei'da'wang'yuan
北护卫府,bei'hu'wei'fu
孛堇,bei'jin
北京军政府,bei'jing'jun'zheng'fu
北军中候,bei'jun'zhong'hou
贝勒,bei'le
北门学士,bei'men'xue'shi
北面官,bei'mian'guan
北省,bei'sheng
北枢密院,bei'shu'mi'yuan
北司,bei'si
北闱,bei'wei
北洋大臣,bei'yang'da'chen
北洋通商大臣,bei'yang'tong'shang'da'chen
北院大王,bei'yuan'da'wang
北院详稳司,bei'yuan'xiang'wen'si
北宰相府,bei'zai'xiang'fu
贝子,bei'zi
嬖大夫,bi'dai'fu
弼德院,bi'de'yuan
必闍赤,bi'du'chi
鄙师,bi'shi
笔贴式,bi'tie'shi
陛下,bi'xia
编管,bian'guan
编类圣政所,bian'lei'sheng'zheng'suo
汴梁等路管民总管府,bian'liang'deng'lu'guan'min'zong'guan'fu
辨铜,bian'tong
编修,bian'xiu
编修敕令所,bian'xiu'chi'ling'suo
编置司,bian'zhi'si
标统,biao'tong
骠信,biao'xin
别火令,bie'huo'ling
别驾,bie'jia
别驾从事史,bie'jia'cong'shi'shi
别驾祭酒,bie'jia'ji'jiu
宾部中大夫,bin'bu'zhong'da'fu
宾客,bin'ke
兵备道,bing'bei'dao
兵部,bing'bu
兵曹参军,bing'cao'can'jun
兵府,bing'fu
兵马司,bing'ma'si
兵刑部,bing'xing'bu
秉衣,bing'yi
秉仪,bing'yi
秉义郎,bing'yi'lang
兵仗局,bing'zhang'ju
丙字库,bing'zi'ku
勃极烈,bo'ji'lie
伯克,bo'ke
拨款发司,bo'kuan'fa'si
博乐赤,bo'le'chi
剥麻,bo'ma
博士,bo'shi
博士弟子,bo'shi'di'zi
博学鸿词科,bo'xue'hong'ci'ke
部办,bu'ban
部本,bu'ben
步兵校尉,bu'bing'xiao'wei
部刺史,bu'ci'shi
不更,bu'geng
不榖,bu'gu
步军统领,bu'jun'tong'ling
补阙,bu'que
卜人,bu'ren
不入八分辅国公,bu'ru'ba'fen'fu'guo'gong
不入八分公,bu'ru'ba'fen'gong
不入八分镇国公,bu'ru'ba'fen'zhen'guo'gong
卜师,bu'shi
部堂,bu'tang
捕厅,bu'ting
部尉,bu'wei
布宪,bu'xian
部院,bu'yuan
布政使,bu'zheng'shi
部族节度使,bu'zu'jie'du'shi
材官将军,cai'guan'jiang'jun
材官校尉,cai'guan'xiao'wei
才人,cai'ren
裁造院,cai'zao'yuan
财政部,cai'zheng'bu
财政处,cai'zheng'chu
财政公所,cai'zheng'gong'suo
参将,can'jiang
参军,can'jun
参领,can'ling
参谋,can'mou
参谋本部,can'mou'ben'bu
参事,can'shi
参议,can'yi
参议中书省事,can'yi'zhong'shu'sheng'shi
参赞,can'zan
参赞大臣,can'zan'da'chen
参战督办,can'zhan'du'ban
参政,can'zheng
参知政事,can'zhi'zheng'shi
仓部,cang'bu
仓曹参军,cang'cao'can'jun
仓场侍郎,cang'chang'shi'lang
仓司,cang'si
操江,cao'jiang
漕司,cao'si
漕台,cao'tai
漕运总督,cao'yun'zong'du
册宝,ce'bao
册封,ce'feng
册授,ce'shou
测验浑仪刻漏所,ce'yan'hun'yi'ke'lou'suo
岑陬,cen'zou
茶迭儿局总管府,cha'die'er'ju'zong'guan'fu
察访使,cha'fang'shi
察非掾,cha'fei'yuan
察举,cha'ju
茶马司,cha'ma'si
察院,cha'yuan
差遣,chai'qian
差遣院,chai'qian'yuan
阐化王,chan'hua'wang
阐教王,chan'jiao'wang
单于,chan'yu
单于刺史,chan'yu'ci'shi
常伯,chang'bo
常参官,chang'can'guan
长春宫使,chang'chun'gong'shi
长德,chang'de
常和署,chang'he'shu
长宁大夫,chang'ning'dai'fu
长宁寺,chang'ning'si
长庆寺,chang'qing'si
长秋,chang'qiu
长秋寺,chang'qiu'si
场人,chang'ren
长使,chang'shi
常侍,chang'shi
常侍曹,chang'shi'cao
长水校尉,chang'shui'xiao'wei
厂卫,chang'wei
长信少府,chang'xin'shao'fu
长信寺,chang'xin'si
常在,chang'zai
朝奉,chao'feng
朝奉大夫,chao'feng'dai'fu
朝奉郎,chao'feng'lang
朝服法物库,chao'fu'fa'wu'ku
朝考,chao'kao
朝列大夫,chao'lie'dai'fu
朝请大夫,chao'qing'dai'fu
朝请郎,chao'qing'lang
朝散大夫,chao'san'da'fu
朝散郎,chao'san'lang
朝议大夫,chao'yi'dai'fu
朝议郎,chao'yi'lang
扯儿必,che'er'bi
彻侯,che'hou
掣签,che'qian
撤任,che'ren
宸妃,chen'fei
成安大夫,cheng'an'dai'fu
成安郎,cheng'an'lang
丞参,cheng'can
承差,cheng'cha
承德郎,cheng'de'lang
承发吏,cheng'fa'li
承奉郎,cheng'feng'lang
成和大夫,cheng'he'da'fu
成和郎,cheng'he'lang
乘黄署,cheng'huang'shu
承徽,cheng'hui
承徽寺,cheng'hui'si
承节郎,cheng'jie'lang
承局,cheng'ju
成均,cheng'jun
成均监,cheng'jun'jian
丞郎,cheng'lang
乘马御,cheng'ma'yu
承门,cheng'men
城门郎,cheng'men'lang
城门领,cheng'men'ling
城门校尉,cheng'men'xiao'wei
成全大夫,cheng'quan'dai'fu
成全郎,cheng'quan'lang
成韶大夫,cheng'shao'dai'fu
承审员,cheng'shen'yuan
承事郎,cheng'shi'lang
城守尉,cheng'shou'wei
成顺郎,cheng'shun'lang
乘田,cheng'tian
承务郎,cheng'wu'lang
丞相,cheng'xiang
丞相史,cheng'xiang'shi
承信郎,cheng'xin'lang
承信校尉,cheng'xin'xiao'wei
承行,cheng'xing
承宣布政使司,cheng'xuan'bu'zheng'shi'si
承宣使,cheng'xuan'shi
承宣厅,cheng'xuan'ting
承衣,cheng'yi
承议郎,cheng'yi'lang
承应小底局,cheng'ying'xiao'di'ju
成愈郎,cheng'yu'lang
承运库,cheng'yun'ku
丞杂,cheng'za
承政,cheng'zheng
成正郎,cheng'zheng'lang
承政厅,cheng'zheng'ting
承旨,cheng'zhi
