哀咕,ai'gu
挨剋,ai'ke
挨梃,ai'ting
爱小儿,ai'xiao'er
爱咋咋地,ai'za'za'di
嗷嗷,ao'ao
叭叭的,ba'ba'de
八杆子拨拉不着,ba'gan'zi'bo'la'bu'zhao
把家虎儿,ba'jia'hu'er
拔尖儿,ba'jian'er
拔犟眼子,ba'jiang'yan'zi
巴锔子,ba'ju'zi
扒拉,ba'la
笆篱子,ba'li'zi
扒瞎,ba'xia
八字没一撇,ba'zi'mei'yi'pie
掰扯,bai'che
摆儿摆儿的,bai'er'bai'er'de
败家,bai'jia
败家子儿,bai'jia'zi'er
白眼狼儿,bai'yan'lang'er
板板正正,ban'ban'zheng'zheng
班儿对班儿,ban'er'dui'ban'er
半拉克叽,ban'la'ke'ji
棒槌,bang'chui
苞米茬子,bao'mi'cha'zi
包屈,bao'qu
备不住,bei'bu'zhu
笨笨咔咔,ben'ben'ka'ka
彪乎乎,biao'hu'hu
摽劲儿,biao'jin'er
瘪茄子,bie'qie'zi
憋屈,bie'qu
饽饽,bo'bo
卜楞,bo'leng
不打锛儿,bu'da'ben'er
不是物,bu'shi'wu
不玩儿活儿,bu'wan'er'huo'er
不着调,bu'zhao'diao
岔纰,cha'pi
吵儿巴火,chao'er'ba'huo
扯犊子,che'du'zi
臭得瑟,chou'de'se
倒骑驴,dao'qi'lv
倒腾,dao'teng
得瑟,de'se
犊子,du'zi
嗯呐,en'na
二百五,er'bai'wu
二倚子,er'yi'zi
噶哈,ga'ha
噶哈嗫,ga'ha'nie
噶哈玩意儿,ga'ha'wan'yi'er
赶趟,gan'tang
隔路,ge'lu
滚犊子,gun'du'zi
好使,hao'shi
黑瞎子,hei'xia'zi
忽悠,hu'you
祸祸,huo'huo
喞个啷,ji'ge'lang
急歪,ji'wai
鲫鱼瓜子,ji'yu'gua'zi
卡吧裆,ka'ba'dang
拉倒,la'dao
老鼻子了,lao'bi'zi'le
唠嗑,lao'ke
老么卡刺眼,lao'me'ka'ci'yan
冷不丁,leng'bu'ding
撩扯,liao'che
撩闲,liao'xian
蚂蛉,ma'ling
麻溜,ma'liu
蚂蚱子,ma'zha'zi
埋汰,mai'tai
毛楞,mao'leng
墨迹,mo'ji
挠岗,nao'gang
脑瓜子,nao'gua'zi
闹挺,nao'ting
脑袖子,nao'xiu'zi
破闷儿,po'men'er
欠儿不登,qian'er'bu'deng
欠儿欠儿的,qian'er'qian'er'de
缺八辈德,que'ba'bei'de
上赶子,shang'gan'zi
神神叨叨,shen'shen'dao'dao
水梢,shui'shao
水趟尿裤,shui'tang'niao'ku
死乞白列,si'qi'bai'lie
体腾,ti'teng
土瘪,tu'bie
突掳,tu'lu
妥了,tuo'le
乌了巴涂,wu'le'ba'tu
舞舞圈圈,wu'wu'quan'quan
显摆,xian'bai
小鸡炖蘑菇,xiao'ji'dun'mo'gu
小抠儿,xiao'kou'er
邪乎,xie'hu
熊瞎子,xiong'xia'zi
虚头巴脑,xu'tou'ba'nao
血了糊连,xue'le'hu'lian
寻思,xun'si
眼力见儿,yan'li'jian'er
扬得二正,yang'de'er'zheng
咋地,za'di
咋整,za'zheng
沾包,zhan'bao
猪肉炖粉条,zhu'rou'dun'fen'tiao
