阿碧,a'bi
阿音,a'yin
八荒地宫,ba'huang'di'gong
把盏衔杯,ba'zhan'xian'bei
白民,bai'min
白民之国,bai'min'zhi'guo
白首不相离的初心,bai'shou'bu'xiang'li'de'chu'xin
碧海潮生,bi'hai'chao'sheng
碧瑶,bi'yao
便出落的好不标致,bian'chu'luo'de'hao'bu'biao'zhi
不是这等说,bu'shi'zhe'deng'shuo
不着一个切实,bu'zhao'yi'ge'qie'shi
沧海桑田难为水,cang'hai'sang'tian'nan'wei'shui
苍莽逶迤,cang'mang'wei'yi
长白山天池,chang'bai'shan'tian'chi
长生大帝,chang'sheng'da'di
赤鱬,chi'ru
雌雄同体,ci'xiong'tong'ti
大楚,da'chu
旦为朝云幕作行雨,dan'wei'zhao'yun'mu'zuo'xing'yu
倒得个清净自在,dao'de'ge'qing'jing'zi'zai
帝鸿,di'hong
帝鸿公孙月,di'hong'gong'sun'yue
帝鸿之国,di'hong'zhi'guo
帝俊,di'jun
颠鸾倒凤,dian'luan'dao'feng
东华帝君,dong'hua'di'jun
东荒,dong'huang
杜三娘,du'san'niang
断不作那露水夫妻,duan'bu'zuo'na'lu'shui'fu'qi
对食之情,dui'shi'zhi'qing
发鸠山,fa'jiu'shan
梵净山,fan'jing'shan
梵天净土,fan'tian'jing'tu
梵音谷,fan'yin'gu
方长海,fang'chang'hai
方命,fang'ming
焚天火,fen'tian'huo
焚仙剑,fen'xian'jian
浮生海,fu'sheng'hai
共工,gong'gong
共工怒撞不周山,gong'gong'nu'zhuang'bu'zhou'shan
躬身作揖,gong'shen'zuo'yi
公孙白民,gong'sun'bai'min
公子渊,gong'zi'yuan
归于徒然的飞蛾扑火,gui'yu'tu'ran'de'fei'e'pu'huo
海蝶上神,hai'die'shang'shen
海枯石烂的生死誓言,hai'ku'shi'lan'de'sheng'si'shi'yan
合虚山,he'xu'shan
哄人的鬼话,hong'ren'de'gui'hua
红叶秋,hong'ye'qiu
话休饶舌,hua'xiu'rao'she
混元宙宫,hun'yuan'zhou'gong
火凤,huo'feng
火麒麟,huo'qi'lin
极北,ji'bei
寂灭,ji'mie
寂寞,ji'mo
寂月,ji'yue
蛟龙,jiao'long
蛟龙穆云帆,jiao'long'mu'yun'fan
金兰会之宜,jin'lan'hui'zhi'yi
景差,jing'cha
精卫,jing'wei
九重天宫,jiu'chong'tian'gong
九州神女赋,jiu'zhou'shen'nv'fu
君子国,jun'zi'guo
犒劳赏赐,kao'lao'shang'ci
坤元魔宫,kun'yuan'mo'gong
漓恨,li'hen
漓殇,li'shang
两盏淡茶,liang'zhan'dan'cha
灵雀儿,ling'que'er
凌霄剑,ling'xiao'jian
六合玄宫,lu'he'xuan'gong
曼陀罗紫薇,man'tuo'luo'zi'wei
美若姣姬,mei'ruo'jiao'ji
梦幻雪域,meng'huan'xue'yu
梦魇,meng'yan
梦魇上神,meng'yan'shang'shen
穆云帆,mu'yun'fan
南海蝴蝶,nan'hai'hu'die
南荒,nan'huang
南极仙翁,nan'ji'xian'weng
南柯真人,nan'ke'zhen'ren
南岭,nan'ling
捻指过了四五日,nian'zhi'guo'le'si'wu'ri
女姬月佬,nv'ji'yue'lao
菩提潭,pu'ti'tan
青鸾,qing'luan
青丘凤鸾山,qing'qiu'feng'luan'shan
清泉水,qing'quan'shui
青淤共工,qing'yu'gong'gong
权当解闷,quan'dang'jie'men
三杯清液,san'bei'qing'ye
三皇开世女娲补天,san'huang'kai'shi'nv'wa'bu'tian
三山十海,san'shan'shi'hai
三生三世山海经,san'sheng'san'shi'shan'hai'jing
三生三世神女赋,san'sheng'san'shi'shen'nv'fu
三生石,san'sheng'shi
三生石畔的枯等成灰,san'sheng'shi'pan'de'ku'deng'cheng'hui
三生执念,san'sheng'zhi'nian
三世情殇,san'shi'qing'shang
三足鸟,san'zu'niao
煞甚凄凉,sha'shen'qi'liang
少司命,shao'si'ming
神农,shen'nong
神农睿辛,shen'nong'rui'xin
神音,shen'yin
适才有些小事,shi'cai'you'xie'xiao'shi
十九重天魇魔地狱,shi'jiu'chong'tian'yan'mo'di'yu
十三,shi'san
司幽,si'you
司幽上神,si'you'shang'shen
司幽之国,si'you'zhi'guo
太古大神,tai'gu'da'shen
太古圣经,tai'gu'sheng'jing
饕餮,tao'tie
梼杌,tao'wu
天池红莲,tian'chi'hong'lian
天涯海角,tian'ya'hai'jiao
涂山女娇,tu'shan'nv'jiao
忘川河,wang'chuan'he
往生河,wang'sheng'he
往事如烟终浮云,wang'shi'ru'yan'zhong'fu'yun
无量界,wu'liang'jie
巫山神女,wu'shan'shen'nv
巫山神女精卫填海,wu'shan'shen'nv'jing'wei'tian'hai
勿为,wu'wei
羲和帝俊,xi'he'di'jun
夏草如茵,xia'cao'ru'yin
萧颜,xiao'yan
星云剑,xing'yun'jian
休说那风月之事,xiu'shuo'na'feng'yue'zhi'shi
羞月昙,xiu'yue'tan
轩辕玉磬,xuan'yuan'yu'qing
雪雾檀香,xue'wu'tan'xiang
晏龙,yan'long
晏龙之国,yan'long'zhi'guo
掩秀回眸,yan'xiu'hui'mou
妖姬,yao'ji
瑶姬,yao'ji
瑶姬司幽白民,yao'ji'si'you'bai'min
叶灵儿,ye'ling'er
一时造次,yi'shi'zao'ci
伊雪枫,yi'xue'feng
伊雪枫旪,yi'xue'feng'xie
伊雪枫叶,yi'xue'feng'ye
殷实人家,yin'shi'ren'jia
郢都,ying'dou
幽冥地宫,you'ming'di'gong
玉衡,yu'heng
雨时草,yu'shi'cao
元始天尊,yuan'shi'tian'zun
云桑,yun'sang
云雨扇,yun'yu'shan
昭奇,zhao'qi
着甚要紧,zhe'shen'yao'jin
枕边风月之事怎就娓娓道来,zhen'bian'feng'yue'zhi'shi'zen'jiu'wei'wei'dao'lai
枕上绸繆,zhen'shang'chou'mu
重明鸟,zhong'ming'niao
重明上仙,zhong'ming'shang'xian
诛仙台,zhu'xian'tai
子宫柯,zi'gong'ke
子修,zi'xiu
子幽,zi'you
子渊,zi'yuan
醉红莲,zui'hong'lian
