安澜街,an'lan'jie
八里湾,ba'li'wan
八一路口,ba'yi'lu'kou
百货楼,bai'huo'lou
白庄,bai'zhuang
搬口,ban'kou
邦杰集团,bang'jie'ji'tuan
北花园,bei'hua'yuan
北环路口,bei'huan'lu'kou
菠萝张,bo'luo'zhang
曹河路口,cao'he'lu'kou
常青路口,chang'qing'lu'kou
长途车站,chang'tu'che'zhan
长途汽车站,chang'tu'qi'che'zhan
陈村,chen'cun
陈庄,chen'zhuang
川汇区政府,chuan'hui'qu'zheng'fu
春晖学校,chun'hui'xue'xiao
大陈楼,da'chen'lou
大庆路口,da'qing'lu'kou
大兴路口,da'xing'lu'kou
大闸北头,da'zha'bei'tou
大闸路口,da'zha'lu'kou
党校,dang'xiao
第二人民医院,di'er'ren'min'yi'yuan
第一商场,di'yi'shang'chang
电厂,dian'chang
电厂北门,dian'chang'bei'men
电厂家属院,dian'chang'jia'shu'yuan
电厂南门,dian'chang'nan'men
东环路口,dong'huan'lu'kou
纺城影院,fang'cheng'ying'yuan
防疫站专科医院,fang'yi'zhan'zhuan'ke'yi'yuan
福利院,fu'li'yuan
芙蓉路口,fu'rong'lu'kou
妇幼保健院,fu'you'bao'jian'yuan
岗张,gang'zhang
高速路口,gao'su'lu'kou
高庄路口,gao'zhuang'lu'kou
供电公司,gong'dian'gong'si
供电局,gong'dian'ju
公交二公司,gong'jiao'er'gong'si
工农路口,gong'nong'lu'kou
公园路,gong'yuan'lu
关帝庙,guan'di'miao
官坡,guan'po
光明路口,guang'ming'lu'kou
光荣路口,guang'rong'lu'kou
规划局,gui'hua'ju
国家直属糖库,guo'jia'zhi'shu'tang'ku
锅炉厂,guo'lu'chang
果品市场,guo'pin'shi'chang
海萍职专,hai'ping'zhi'zhuan
海萍中专,hai'ping'zhong'zhuan
海燕职专,hai'yan'zhi'zhuan
海燕中专,hai'yan'zhong'zhuan
郝岗,hao'gang
荷花北门,he'hua'bei'men
荷花东门,he'hua'dong'men
荷花南门,he'hua'nan'men
荷花市场,he'hua'shi'chang
后石店,hou'shi'dian
华富购物广场,hua'fu'gou'wu'guang'chang
华康,hua'kang
