艾世菊,ai'shi'ju
八郎探母,ba'lang'tan'mu
霸王别姬,ba'wang'bie'ji
白帝城,bai'di'cheng
白门楼,bai'men'lou
毕英奇,bi'ying'qi
彩楼配,cai'lou'pei
草船借箭,cao'chuan'jie'jian
陈少云,chen'shao'yun
程砚秋,cheng'yan'qiu
川剧,chuan'ju
刺王僚,ci'wang'liao
大保国,da'bao'guo
大登殿,da'deng'dian
大鼓,da'gu
大探二,da'tan'er
打渔杀家,da'yu'sha'jia
单口相声,dan'kou'xiang'sheng
邓沐玮,deng'mu'wei
滇剧,dian'ju
定军山,ding'jun'shan
杜鹏,du'peng
对口相声,dui'kou'xiang'sheng
二进宫,er'jin'gong
法场换子,fa'chang'huan'zi
法门寺,fa'men'si
方荣翔,fang'rong'xiang
甘露寺,gan'lu'si
耿其昌,geng'qi'chang
管波,guan'bo
关栋天,guan'dong'tian
河北梆子,he'bei'bang'zi
河南梆子,he'nan'bang'zi
河南坠子,he'nan'zhui'zi
黑旋风李逵,hei'xuan'feng'li'kui
横槊赋诗,heng'shuo'fu'shi
洪羊洞,hong'yang'dong
红鬃烈马,hong'zong'lie'ma
沪剧,hu'ju
花灯,hua'deng
花鼓戏,hua'gu'xi
花木兰,hua'mu'lan
花枪缘,hua'qiang'yuan
淮河营,huai'he'ying
黄梅戏,huang'mei'xi
江其虎,jiang'qi'hu
借东风,jie'dong'feng
晋剧,jin'ju
金少山,jin'shao'shan
京剧,jing'ju
京韵大鼓,jing'yun'da'gu
康万生,kang'wan'sheng
空城计,kong'cheng'ji
昆曲,kun'qu
乐亭大鼓,lao'ting'da'gu
李长春,li'chang'chun
李逵探母,li'kui'tan'mu
李胜素,li'sheng'su
李维康,li'wei'kang
刘长荣,liu'chang'rong
刘巧儿,liu'qiao'er
泸水彝山,lu'shui'yi'shan
吕剧,lv'ju
马长礼,ma'chang'li
马连良,ma'lian'liang
马前泼水,ma'qian'po'shui
梅花大鼓,mei'hua'da'gu
梅兰芳,mei'lan'fang
孟广禄,meng'guang'lu
穆桂英挂帅,mu'gui'ying'gua'shuai
碰杯,peng'bei
平贵别窑,ping'gui'bie'yao
评剧,ping'ju
评书,ping'shu
七郎祧兆,qi'lang'tiao'zhao
秦腔,qin'qiang
秦琼卖马,qin'qiong'mai'ma
裘盛戎,qiu'sheng'rong
曲艺,qu'yi
群英会,qun'ying'hui
三家店,san'jia'dian
山东快书,shan'dong'kuai'shu
尚长荣,shang'chang'rong
尚小云,shang'xiao'yun
失街亭,shi'jie'ting
失空斩,shi'kong'zhan
双簧,shuang'huang
四大名旦,si'da'ming'dan
四大须生,si'da'xu'sheng
四郎探母,si'lang'tan'mu
孙毓敏,sun'yu'min
谭富英,tan'fu'ying
探皇陵,tan'huang'ling
谭孝增,tan'xiao'zeng
谭鑫培,tan'xin'pei
探阴山,tan'yin'shan
谭元寿,tan'yuan'shou
唐元才,tang'yuan'cai
铁片大鼓,tie'pian'da'gu
王罄林,wang'qing'lin
王蓉蓉,wang'rong'rong
王艳,wang'yan
文昭关,wen'zhao'guan
五家坡,wu'jia'po
乌盆记,wu'pen'ji
吴钰璋,wu'yu'zhang
西施,xi'shi
西厢记,xi'xiang'ji
奚啸伯,xi'xiao'bo
响马传,xiang'ma'chuan
相声,xiang'sheng
小二黑结婚,xiao'er'hei'jie'hun
徐策跑城,xu'ce'pao'cheng
荀慧生,xun'hui'sheng
言慧珠,yan'hui'zhu
言菊朋,yan'ju'peng
言少朋,yan'shao'peng
言兴朋,yan'xing'peng
杨宝森,yang'bao'sen
杨宝忠,yang'bao'zhong
杨赤,yang'chi
杨门女将,yang'men'nv'jiang
杨乃彭,yang'nai'peng
阳平关,yang'ping'guan
杨少彭,yang'shao'peng
杨燕毅,yang'yan'yi
叶少兰,ye'shao'lan
叶盛兰,ye'sheng'lan
银达子,yin'da'zi
鱼肠剑,yu'chang'jian
豫剧,yu'ju
于魁智,yu'kui'zhi
余叔岩,yu'shu'yan
宇宙锋,yu'zhou'feng
辕门斩子,yuan'men'zhan'zi
袁世海,yuan'shi'hai
越剧,yue'ju
铡美案,zha'mei'an
铡判官,zha'pan'guan
战北原,zhan'bei'yuan
战长沙,zhan'chang'sha
斩经堂,zhan'jing'tang
斩马谡,zhan'ma'su
战太平,zhan'tai'ping
张春华,zhang'chun'hua
张火丁,zhang'huo'ding
张建国,zhang'jian'guo
张克,zhang'ke
张学津,zhang'xue'jin
赵葆秀,zhao'bao'xiu
赵氏孤儿,zhao'shi'gu'er
赵秀君,zhao'xiu'jun
朝阳沟,zhao'yang'gou
捉放曹,zhuo'fang'cao
