爱睡,ai'shui
爱睡觉,ai'shui'jiao
爱睡了,ai'shui'le
暗摸摸,an'mo'mo
安砂,an'sha
安贞堡,an'zhen'bao
八字桥,ba'zi'qiao
摆水,bai'shui
白水洋,bai'shui'yang
般不是,ban'bu'shi
半期考,ban'qi'kao
榜头,bang'tou
本一,ben'yi
比哥,bi'ge
碧湖,bi'hu
闭学式,bi'xue'shi
标会,biao'hui
兵检,bing'jian
博学楼,bo'xue'lou
不爱打,bu'ai'da
不爱跟你,bu'ai'gen'ni
不爱理你,bu'ai'li'ni
不爱睡,bu'ai'shui
不爱说你,bu'ai'shuo'ni
不爱问,bu'ai'wen
不懂地,bu'dong'di
不懂诶,bu'dong'ei
不懂干嘛,bu'dong'gan'ma
不懂是不是,bu'dong'shi'bu'shi
不懂为什么,bu'dong'wei'shen'me
不懂也,bu'dong'ye
不懂怎么说,bu'dong'zen'me'shuo
不刚好,bu'gang'hao
不会读书,bu'hui'du'shu
不会对,bu'hui'dui
曹坊,cao'fang
曹溪,cao'xi
曹远,cao'yuan
长汀,chang'ting
长校,chang'xiao
吵死掉,chao'si'diao
陈大,chen'da
陈副,chen'fu
城关,cheng'guan
吃饱来,chi'bao'lai
吃点心,chi'dian'xin
吃饭下,chi'fan'xia
崇桂,chong'gui
抽成,chou'cheng
穿住,chuan'zhu
床铺上,chuang'pu'shang
吹住,chui'zhu
锤子剪刀布,chui'zi'jian'dao'bu
从福州,cong'fu'zhou
翠江,cui'jiang
村部,cun'bu
错掉,cuo'diao
大茶杯,da'cha'bei
大池,da'chi
大湖,da'hu
大儒名城,da'ru'ming'cheng
打死掉,da'si'diao
大田,da'tian
大田的,da'tian'de
大田了,da'tian'le
大田人,da'tian'ren
大田县,da'tian'xian
大条面,da'tiao'mian
大仙峰,da'xian'feng
大小街,da'xiao'jie
到福建,dao'fu'jian
到福州,dao'fu'zhou
到龙岩,dao'long'yan
到三明,dao'san'ming
到沙县,dao'sha'xian
到永安,dao'yong'an
邓家,deng'jia
等住,deng'zhu
地瓜叶,di'gua'ye
第一医院,di'yi'yi'yuan
颠掉,dian'diao
电风吹,dian'feng'chui
颠趴,dian'pa
店铺了,dian'pu'le
叼火,diao'huo
东街口,dong'jie'kou
东门桥,dong'men'qiao
东霞,dong'xia
东肖,dong'xiao
度尾,du'wei
杜浔,du'xun
躲住,duo'zhu
饿死掉,e'si'diao
二市场,er'shi'chang
烦死掉,fan'si'diao
粉干,fen'gan
枫亭,feng'ting
福鼎肉片,fu'ding'rou'pian
福建三明,fu'jian'san'ming
福建省,fu'jian'sheng
福利区,fu'li'qu
福师大,fu'shi'da
富兴堡,fu'xing'bao
福州吧,fu'zhou'ba
福州的,fu'zhou'de
福州啦,fu'zhou'la
