敖力巨,ao'li'ju
巴家围子,ba'jia'wei'zi
白音太来,bai'yin'tai'lai
半截店,ban'jie'dian
帮统窝堡,bang'tong'wo'bao
常家围子,chang'jia'wei'zi
程兴隆,cheng'xing'long
大草房,da'cao'fang
大德全,da'de'quan
大席棚,da'xi'peng
大香屯,da'xiang'tun
大兴屯,da'xing'tun
顶合兴,ding'he'xing
东包,dong'bao
东姜,dong'jiang
东台,dong'tai
杜家围子,du'jia'wei'zi
二号,er'hao
高家围子,gao'jia'wei'zi
高家窑,gao'jia'yao
哈拉乎,ha'la'hu
韩家围子,han'jia'wei'zi
河西镇,he'xi'zhen
后曹,hou'cao
后何,hou'he
胡家围子,hu'jia'wei'zi
胡家园子,hu'jia'yuan'zi
黄家,huang'jia
回民屯,hui'min'tun
霍家营子,huo'jia'ying'zi
孔家,kong'jia
孔家村,kong'jia'cun
坤都庙,kun'dou'miao
李家围子,li'jia'wei'zi
两棵树,liang'ke'shu
梅林营子,mei'lin'ying'zi
蒙药厂,meng'yao'chang
潘家窑,pan'jia'yao
批发城,pi'fa'cheng
前曹,qian'cao
前进,qian'jin
清河,qing'he
三合堂,san'he'tang
三合屯,san'he'tun
三义堂,san'yi'tang
三元,san'yuan
石家窑,shi'jia'yao
太平,tai'ping
铁路南站,tie'lu'nan'zhan
团结屯,tuan'jie'tun
王家,wang'jia
汪家窝堡,wang'jia'wo'bao
王家窝堡,wang'jia'wo'bao
魏家窝堡,wei'jia'wo'bao
温都花,wen'dou'hua
五道木,wu'dao'mu
五道木粮库,wu'dao'mu'liang'ku
五道木粮库东,wu'dao'mu'liang'ku'dong
五家子,wu'jia'zi
西艾力,xi'ai'li
西包,xi'bao
喜伯营子,xi'bo'ying'zi
西乃营子,xi'nai'ying'zi
溪水塘,xi'shui'tang
西台,xi'tai
硝锅,xiao'guo
新发屯,xin'fa'tun
新力屯,xin'li'tun
新立屯,xin'li'tun
邢家窝堡,xing'jia'wo'bao
兴隆,xing'long
兴隆屯,xing'long'tun
杨家,yang'jia
腰包,yao'bao
腰台,yao'tai
义和达,yi'he'da
永胜隆,yong'sheng'long
育新,yu'xin
曾家围子,zeng'jia'wei'zi
湛路村,zhan'lu'cun
哲里木站,zhe'li'mu'zhan
周家围子,zhou'jia'wei'zi
邹家街,zou'jia'jie
