白光珍,bai'guang'zhen
保文星,bao'wen'xing
北方民族大学,bei'fang'min'zu'da'xue
北方语言研究院,bei'fang'yu'yan'yan'jiu'yuan
蔡静之,cai'jing'zhi
材料科学与工程学院,cai'liao'ke'xue'yu'gong'cheng'xue'yuan
曹冲凌,cao'chong'ling
陈华,chen'hua
陈永平,chen'yong'ping
程少林,cheng'shao'lin
党委宣传部,dang'wei'xuan'chuan'bu
党委组织部,dang'wei'zu'zhi'bu
电气信息工程学院,dian'qi'xin'xi'gong'cheng'xue'yuan
丁明俊,ding'ming'jun
丁万录,ding'wan'lu
东华尔丹,dong'hua'er'dan
法学院,fa'xue'yuan
冯祖洪,feng'zu'hong
高桂莲,gao'gui'lian
高建国,gao'jian'guo
高岳林,gao'yue'lin
高宗池,gao'zong'chi
耿贵宏,geng'gui'hong
管理学院,guan'li'xue'yuan
国际合作交流处,guo'ji'he'zuo'jiao'liu'chu
国家民族事务委员会,guo'jia'min'zu'shi'wu'wei'yuan'hui
国有资产管理处,guo'you'zi'chan'guan'li'chu
海金宝,hai'jin'bao
韩叶盛,han'ye'sheng
何丰,he'feng
贺钧,he'jun
后勤处,hou'qin'chu
虎恩典,hu'en'dian
化学与化学工程学院,hua'xue'yu'hua'xue'gong'cheng'xue'yuan
黄立峰,huang'li'feng
黄永东,huang'yong'dong
基础教学部,ji'chu'jiao'xue'bu
计划财务处,ji'hua'cai'wu'chu
纪监审办公室,ji'jian'shen'ban'gong'shi
计算机科学与工程学院,ji'suan'ji'ke'xue'yu'gong'cheng'xue'yuan
纪振奇,ji'zhen'qi
教务处,jiao'wu'chu
教学科研工作评估处,jiao'xue'ke'yan'gong'zuo'ping'gu'chu
解皓,jie'hao
精品课程,jing'pin'ke'cheng
景兆玺,jing'zhao'xi
科研处,ke'yan'chu
雷崇民,lei'chong'min
李春光,li'chun'guang
李济民,li'ji'min
李丕祺,li'pi'qi
李强,li'qiang
李生信,li'sheng'xin
李伟,li'wei
李晓东,li'xiao'dong
李小宁,li'xiao'ning
李岩青,li'yan'qing
梁威,liang'wei
梁旭红,liang'xu'hong
刘斌,liu'bin
刘芬,liu'fen
刘宏,liu'hong
刘连根,liu'lian'gen
刘炜,liu'wei
刘小棣,liu'xiao'di
鲁慎,lu'shen
吕国安,lv'guo'an
马海平,ma'hai'ping
马泉山,ma'quan'shan
马少刚,ma'shao'gang
马腾,ma'teng
马晓刚,ma'xiao'gang
马小华,ma'xiao'hua
马玉龙,ma'yu'long
闵文义,min'wen'yi
民族院校,min'zu'yuan'xiao
潘义田,pan'yi'tian
潘自力,pan'zi'li
祁利民,qi'li'min
强金成,qiang'jin'cheng
人事处,ren'shi'chu
任维桢,ren'wei'zhen
任贤,ren'xian
任志军,ren'zhi'jun
商学院,shang'xue'yuan
佘成刚,she'cheng'gang
社会学与民族学研究所,she'hui'xue'yu'min'zu'xue'yan'jiu'suo
设计艺术学院,she'ji'yi'shu'xue'yuan
沈学军,shen'xue'jun
生命科学与工程学院,sheng'ming'ke'xue'yu'gong'cheng'xue'yuan
束锡红,shu'xi'hong
数值计算与工程应用研究所,shu'zhi'ji'suan'yu'gong'cheng'ying'yong'yan'jiu'suo
思想政治理论课教学部,si'xiang'zheng'zhi'li'lun'ke'jiao'xue'bu
孙力,sun'li
体育教学部,ti'yu'jiao'xue'bu
田宏印,tian'hong'yin
田俊忠,tian'jun'zhong
统战部,tong'zhan'bu
图书馆,tu'shu'guan
团委,tuan'wei
外国语学院,wai'guo'yu'xue'yuan
外语网络教学,wai'yu'wang'luo'jiao'xue
万自如,wan'zi'ru
王长义,wang'chang'yi
王村,wang'cun
王福平,wang'fu'ping
王刚,wang'gang
王海岩,wang'hai'yan
王建伟,wang'jian'wei
网络管理中心,wang'luo'guan'li'zhong'xin
网络教学平台,wang'luo'jiao'xue'ping'tai
王润虎,wang'run'hu
王晓娥,wang'xiao'e
王永和,wang'yong'he
文史学院,wen'shi'xue'yuan
吴澜尔,wu'lan'er
吴学忠,wu'xue'zhong
武宇林,wu'yu'lin
武兆辉,wu'zhao'hui
席宁山,xi'ning'shan
校办公室,xiao'ban'gong'shi
信息与计算科学学院,xin'xi'yu'ji'suan'ke'xue'xue'yuan
邢拴民,xing'shuan'min
许钟宁,xu'zhong'ning
学报编辑部,xue'bao'bian'ji'bu
学生处,xue'sheng'chu
学生工作部,xue'sheng'gong'zuo'bu
岩画与西夏文献中心,yan'hua'yu'xi'xia'wen'xian'zhong'xin
研究生处,yan'jiu'sheng'chu
闫丽君,yan'li'jun
杨敏,yang'min
杨占河,yang'zhan'he
音乐舞蹈学院,yin'yue'wu'dao'xue'yuan
预科教育学院,yu'ke'jiao'yu'xue'yuan
袁媛,yuan'yuan
张春梅,zhang'chun'mei
张春雨,zhang'chun'yu
张虎生,zhang'hu'sheng
张建人,zhang'jian'ren
张静,zhang'jing
张维民,zhang'wei'min
张学东,zhang'xue'dong
赵海燕,zhao'hai'yan
赵杰,zhao'jie
赵茜,zhao'qian
招生就业处,zhao'sheng'jiu'ye'chu
赵志军,zhao'zhi'jun
郑新宁,zheng'xin'ning
直属,zhi'shu
周爱兰,zhou'ai'lan
周立夏,zhou'li'xia
朱桂花,zhu'gui'hua
朱战涛,zhu'zhan'tao
左宏阁,zuo'hong'ge
左力光,zuo'li'guang
