阿爸,a'ba
阿崩叫狗越叫越走,a'beng'jiao'gou'yue'jiao'yue'zou
阿崩养貓转性,a'beng'yang'mao'zhuan'xing
阿伯,a'bo
啊曃,a'dai
阿哥,a'ge
阿公,a'gong
阿姑,a'gu
阿貴买布唔讲那笔,a'gui'mai'bu'wu'jiang'na'bi
阿淮,a'huai
阿妗,a'jin
阿舅,a'jiu
阿兰嫁阿瑞类斗类,a'lan'jia'a'rui'lei'dou'lei
阿兰嫁阿瑞累上加累,a'lan'jia'a'rui'lei'shang'jia'lei
阿妈,a'ma
阿媽,a'ma
阿嫲,a'ma
吖嘛,a'ma
阿姆,a'mu
吖嗱,a'na
阿婆,a'po
阿奇生阿奇奇上加奇,a'qi'sheng'a'qi'qi'shang'jia'qi
阿人,a'ren
阿嫂,a'sao
阿婶,a'shen
阿叔,a'shu
阿驼行路中中地,a'tuo'xing'lu'zhong'zhong'di
啊哑夺着死猫,a'ya'duo'zhe'si'mao
阿姨,a'yi
阿丈,a'zhang
吖吱吖咗,a'zhi'a'zuo
爱住来,ai'zhu'lai
爱做尼,ai'zuo'ni
安姐,an'jie
暗摸山猫,an'mo'shan'mao
澳门街,ao'men'jie
八八卦卦,ba'ba'gua'gua
跋杯,ba'bei
八公,ba'gong
八卦,ba'gua
八卦妹,ba'gua'mei
八卦婆,ba'gua'po
八妹,ba'mei
八婆,ba'po
拔桶,ba'tong
八仙过海各有千秋,ba'xian'guo'hai'ge'you'qian'qiu
八音,ba'yin
八月十五,ba'yue'shi'wu
八珍,ba'zhen
白白下,bai'bai'xia
拜佛,bai'fo
拜老公,bai'lao'gong
拜老爷,bai'lao'ye
钣彼,ban'bi
曝粟,bao'su
被单,bei'dan
奔你约,ben'ni'yue
泵风,beng'feng
笔盒,bi'he
比脚划手,bi'jiao'hua'shou
鼻空,bi'kong
毕婆,bi'po
扁豆,bian'dou
表盲仔,biao'mang'zai
饼药,bing'yao
病症仔,bing'zheng'zai
补泥,bu'ni
布田,bu'tian
菜脯,cai'pu
财气死,cai'qi'si
菜头粿,cai'tou'guo
菜栽,cai'zai
参叉路口,can'cha'lu'kou
草猴,cao'hou
草鱼粥,cao'yu'zhou
查啊你腊腊,cha'a'ni'la'la
茶米,cha'mi
柴浪,chai'lang
拆药,chai'yao
掺多,chan'duo
炒糕粿,chao'gao'guo
车白,che'bai
车大炮,che'da'pao
城内路,cheng'nei'lu
池个,chi'ge
痴哥,chi'ge
痴哥伯,chi'ge'bo
痴哥鬼,chi'ge'gui
池块,chi'kuai
齿漱,chi'shu
池涂,chi'tu
赤西北,chi'xi'bei
冲茶,chong'cha
铳子,chong'zi
臭际,chou'ji
抽歇未,chou'xie'wei
楚略,chu'lue
触牛肉,chu'niu'rou
出日,chu'ri
船头,chuan'tou
春天时,chun'tian'shi
刺毛风虫,ci'mao'feng'chong
刺噗老爷,ci'pu'lao'ye
刺仔,ci'zai
此在,ci'zai
粗堵,cu'du
厝顶,cuo'ding
厝下,cuo'xia
搭渡,da'du
大官,da'guan
大家,da'jia
大马路,da'ma'lu
大人,da'ren
大水,da'shui
达头,da'tou
大网鱼,da'wang'yu
大小姆,da'xiao'mu
大整,da'zheng
袋粪,dai'fen
歹膏拍做糜,dai'gao'pai'zuo'mi
歹看,dai'kan
带柳丝,dai'liu'si
耽眉仔,dan'mei'zai
担是做尼,dan'shi'zuo'ni
倒手边,dao'shou'bian
得道庵,de'dao'an
等下,deng'xia
底边,di'bian
嘀嗒,di'da
地豆,di'dou
睇风水,di'feng'shui
地缸,di'gang
睇你个型,di'ni'ge'xing
睇日,di'ri
睇死你住是唔敢,di'si'ni'zhu'shi'wu'gan
睇五行,di'wu'xing
地珍时,di'zhen'shi
地主爷,di'zhu'ye
点搭二,dian'da'er
电毛,dian'mao
店铺,dian'pu
吊瓜,diao'gua
订你腰龟,ding'ni'yao'gui
订衫,ding'shan
东海,dong'hai
东辉市场,dong'hui'shi'chang
动角,dong'jiao
冬节,dong'jie
东涌,dong'yong
东鱼市,dong'yu'shi
东洲,dong'zhou
豆干,dou'gan
豆油,dou'you
独目,du'mu
肚痛,du'tong
渡头,du'tou
堵唔兑,du'wu'dui
肚腰,du'yao
肚整,du'zheng
短目子,duan'mu'zi
对岁,dui'sui
剁鸡,duo'ji
多纳,duo'na
鹅埠,e'bu
恶性,e'xing
耳勾,er'gou
二马路,er'ma'lu
饭床,fan'chuang
番葱,fan'cong
番葛,fan'ge
番瓜,fan'gua
番梨,fan'li
