贝叶斯,bei'ye'si
单位根,dan'wei'gen
多重共线性,duo'chong'gong'xian'xing
二阶段最小二乘,er'jie'duan'zui'xiao'er'cheng
方差,fang'cha
方差分解,fang'cha'fen'jie
分位数,fen'wei'shu
工具变量,gong'ju'bian'liang
固定效应,gu'ding'xiao'ying
核密度,he'mi'du
回归,hui'gui
混合效应,hun'he'xiao'ying
检验,jian'yan
结构方程,jie'gou'fang'cheng
结构熵,jie'gou'shang
联立方程,lian'li'fang'cheng
脉冲响应分析,mai'chong'xiang'ying'fen'xi
面板数据,mian'ban'shu'ju
排序选择模型,pai'xu'xuan'ze'mo'xing
随机效应,sui'ji'xiao'ying
条件异方差,tiao'jian'yi'fang'cha
统计量,tong'ji'liang
误差修正模型,wu'cha'xiu'zheng'mo'xing
协整,xie'zheng
因果,yin'guo
因子分析,yin'zi'fen'xi
主成分分析,zhu'cheng'fen'fen'xi
状态空间,zhuang'tai'kong'jian
