阿个,a'ge
阿么,a'me
摆龙门阵,bai'long'men'zhen
背篼,bei'dou
崩皮皮,beng'pi'pi
抻抖,chen'dou
出杠头,chu'gang'tou
锄头把,chu'tou'ba
戳笨,chuo'ben
戳怪噜,chuo'guai'lu
单甩,dan'shuai
档货,dang'huo
倒二,dao'er
倒坎,dao'kan
得闲,de'xian
滴滴儿个,di'di'er'ge
滴滴个,di'di'ge
递点子,di'dian'zi
掉歪,diao'wai
丢嘴,diu'zui
东儿,dong'er
二回,er'hui
二昏二昏,er'hun'er'hun
二块巴,er'kuai'ba
发憨气,fa'han'qi
嘎嘎,ga'ga
搞到事哦,gao'dao'shi'o
哥皮,ge'pi
给隐,gei'yin
古倒,gu'dao
拐咯,guai'ge
鬼胡胡,gui'hu'hu
鬼火戳,gui'huo'chuo
鬼火撮,gui'huo'cuo
鬼头刀把,gui'tou'dao'ba
归一,gui'yi
憨吃雅胀,han'chi'ya'zhang
憨迷憨眼,han'mi'han'yan
黑妈咕咚,hei'ma'gu'dong
黑实,hei'shi
红翻翻,hong'fan'fan
厚皮十脸,hou'pi'shi'lian
花迷撂眼,hua'mi'liao'yan
花皮撩嘴,hua'pi'liao'zui
晃打服希,huang'da'fu'xi
火箭筒,huo'jian'tong
豁皮,huo'pi
豁飘,huo'piao
几姨妈,ji'yi'ma
鸡爪疯,ji'zhao'feng
脚丫巴,jiao'ya'ba
紧倒,jin'dao
金武馆,jin'wu'guan
喀喀郭郭,ka'ka'guo'guo
开始没得,kai'shi'mei'de
靠不住,kao'bu'zhu
瞌睡迷西,ke'shui'mi'xi
客西头,ke'xi'tou
哭西郎当,ku'xi'lang'dang
窟子,ku'zi
拉风,la'feng
拉们,la'men
老者,lao'zhe
肋巴骨,lei'ba'gu
冷迷秋眼,leng'mi'qiu'yan
莲花白,lian'hua'bai
绿映映,lv'ying'ying
麻打火勾,ma'da'huo'gou
马干吃尽,ma'gan'chi'jin
麻乌,ma'wu
妈哟,ma'yo
毛辣果,mao'la'guo
冒皮皮,mao'pi'pi
媒倒,mei'dao
棉毛裤,mian'mao'ku
默倒,mo'dao
拿翻,na'fan
拿抓,na'zhua
哦霍,o'huo
皮八唆,pi'ba'suo
皮蛋,pi'dan
皮妈嘴歪,pi'ma'zui'wai
皮皮翻翻,pi'pi'fan'fan
撇脱,pie'tuo
铺金花,pu'jin'hua
七欺七,qi'qi'qi
千翻,qian'fan
青格郎当,qing'ge'lang'dang
清一色,qing'yi'se
群挖,qun'wa
肉嘎嘎,rou'ga'ga
肉济济,rou'ji'ji
杀戈,sha'ge
刹一脚,sha'yi'jiao
瘦壳朗精,shou'ke'lang'jing
死鸡脑壳,si'ji'nao'ke
弹起,tan'qi
舔口舔嘴,tian'kou'tian'zui
蛙王,wa'wang
蛙抓,wa'zhua
崴哟,wai'yo
亡命,wang'ming
喔呵,wo'he
嘻耳不痴,xi'er'bu'chi
瞎迷失眼,xia'mi'shi'yan
嫌皮达脸,xian'pi'da'lian
虚火,xu'huo
鸦雀,ya'que
烟啪屁臭,yan'pa'pi'chou
邀不倒台,yao'bu'dao'tai
幺儿,yao'er
妖二合三,yao'er'he'san
一踹脚,yi'chuai'jiao
一耳屎,yi'er'shi
一法式,yi'fa'shi
一拐子,yi'guai'zi
一哈哈,yi'ha'ha
一火斗,yi'huo'dou
依教,yi'jiao
一奈波,yi'nai'bo
一皮驼,yi'pi'tuo
一扑爬,yi'pu'pa
一窝咯,yi'wo'ge
一窝脚,yi'wo'jiao
阴包谷,yin'bao'gu
阴到点,yin'dao'dian
咋个,za'ge
砸锅,za'guo
扎煤子,zha'mei'zi
折耳根,zhe'er'gen
正一着二,zheng'yi'zhao'er
之个,zhi'ge
抓拿骗吃,zhua'na'pian'chi
赘豁豁,zhui'huo'huo
