八步桥中学,ba'bu'qiao'zhong'xue
板杉,ban'shan
板杉镇中心学校,ban'shan'zhen'zhong'xin'xue'xiao
板杉中心幼儿园,ban'shan'zhong'xin'you'er'yuan
板杉中学,ban'shan'zhong'xue
红光小学,hong'guang'xiao'xue
胡家坪教学点,hu'jia'ping'jiao'xue'dian
黄泥坳中心小学,huang'ni'ao'zhong'xin'xiao'xue
简家冲教学点,jian'jia'chong'jiao'xue'dian
流碧桥小学,liu'bi'qiao'xiao'xue
唐家冲教学点,tang'jia'chong'jiao'xue'dian
竹花山小学,zhu'hua'shan'xiao'xue
