阿鲁特氏,a'lu'te'shi
八爷党,ba'ye'dang
宝亲王,bao'qin'wang
保庆,bao'qing
博尔济吉特氏,bo'er'ji'ji'te'shi
传膳,chuan'shan
纯悫皇贵妃,chun'que'huang'gui'fei
慈宁宫,ci'ning'gong
慈禧太后,ci'xi'tai'hou
道光,dao'guang
嫡福晋,di'fu'jin
董鄂氏,dong'e'shi
敦肃皇贵妃,dun'su'huang'gui'fei
多尔衮,duo'er'gun
富察氏,fu'cha'shi
福惠,fu'hui
福临,fu'lin
福沛,fu'pei
福宜,fu'yi
光绪,guang'xu
郭布罗,guo'bu'luo
赫舍里氏,he'she'li'shi
弘昐,hong'fen
弘晖,hong'hui
弘历,hong'li
弘时,hong'shi
弘曕,hong'yan
弘昀,hong'yun
弘昼,hong'zhou
皇帝,huang'di
皇太极,huang'tai'ji
嘉庆,jia'qing
康熙,kang'xi
旻宁,min'ning
钮祜禄氏,niu'hu'lu'shi
努尔哈赤,nu'er'ha'chi
溥仪,pu'yi
齐妃,qi'fei
谦妃,qian'fei
乾隆,qian'long
乾清宫,qian'qing'gong
萨克达氏,sa'ke'da'shi
寿康宫,shou'kang'gong
顺治,shun'zhi
四爷党,si'ye'dang
苏完瓜尔佳氏,su'wan'gua'er'jia'shi
太皇太后,tai'huang'tai'hou
太子党,tai'zi'dang
佟佳氏,tong'jia'shi
同治,tong'zhi
乌拉那拉氏,wu'la'na'la'shi
乌雅氏,wu'ya'shi
喜塔拉氏,xi'ta'la'shi
喜塔拉氏宣皇后,xi'ta'la'shi'xuan'huang'hou
咸丰,xian'feng
孝慈高皇后,xiao'ci'gao'huang'hou
孝恭仁皇后,xiao'gong'ren'huang'hou
孝敬宪皇后,xiao'jing'xian'huang'hou
孝康章皇后,xiao'kang'zhang'huang'hou
孝圣宪皇后,xiao'sheng'xian'huang'hou
孝仪纯皇后,xiao'yi'chun'huang'hou
孝庄太后,xiao'zhuang'tai'hou
宣统,xuan'tong
玄烨,xuan'ye
养心殿,yang'xin'dian
叶赫那拉元妃氏,ye'he'na'la'yuan'fei'shi
奕詝,yi'nuo
胤祜,yin'hu
胤礼,yin'li
胤禄,yin'lu
胤祕,yin'mi
胤祁,yin'qi
胤祺,yin'qi
胤礽,yin'reng
胤礻我,yin'shi'wo
胤禩,yin'si
胤禟,yin'tang
胤祹,yin'tao
胤禑,yin'wu
胤禧,yin'xi
胤祥,yin'xiang
胤祎,yin'yi
胤祐,yin'you
胤禛,yin'zhen
胤祉,yin'zhi
胤禔,yin'zhi
胤禵,yin'zhi
胤祚,yin'zuo
颙琰,yong'yan
雍正,yong'zheng
载淳,zai'chun
载恬,zai'tian
