阿里山,a'li'shan
安坑,an'keng
八通关,ba'tong'guan
草屯镇,cao'tun'zhen
车店子,che'dian'zi
赤嵌,chi'qian
初乡,chu'xiang
春阳,chun'yang
粗坑,cu'keng
翠峰,cui'feng
大坪,da'ping
大坪顶,da'ping'ding
大庄,da'zhuang
德化村,de'hua'cun
地母庙,di'mu'miao
店子前,dian'zi'qian
顶城,ding'cheng
东光,dong'guang
东埔,dong'pu
东埔村,dong'pu'cun
凤凰村,feng'huang'cun
凤鸣,feng'ming
丰丘,feng'qiu
枫树林,feng'shu'lin
福龟,fu'gui
福兴里,fu'xing'li
柑子林,gan'zi'lin
广兴村,guang'xing'cun
龟沟,gui'gou
国姓,guo'xing
果子林,guo'zi'lin
涵碧楼,han'bi'lou
合欢山,he'huan'shan
横山,heng'shan
红瓦厝,hong'wa'cuo
红香,hong'xiang
后埔,hou'pu
互助村,hu'zhu'cun
集集镇,ji'ji'zhen
咖啡园,ka'fei'yuan
昆阳,kun'yang
力行村,li'xing'cun
立鹰,li'ying
莲花池,lian'hua'chi
林区,lin'qu
鹿谷,lu'gu
卢山,lu'shan
茅埔,mao'pu
梅木,mei'mu
眉溪,mei'xi
民和村,min'he'cun
名间,ming'jian
南港,nan'gang
南平山,nan'ping'shan
南埔,nan'pu
南投县,nan'tou'xian
内城,nei'cheng
内湖,nei'hu
牛眠,niu'mian
埔里镇,pu'li'zhen
埔头,pu'tou
崎头,qi'tou
崎下,qi'xia
墘溪,qian'xi
清德,qing'de
清潭,qing'tan
曲冰,qu'bing
日月潭,ri'yue'tan
荣民医院,rong'min'yi'yuan
瑞岩,rui'yan
瑞竹,rui'zhu
山边,shan'bian
神木村,shen'mu'cun
石盘坑,shi'pan'keng
十一份,shi'yi'fen
十字路,shi'zi'lu
守城,shou'cheng
双冬,shuang'dong
水里,shui'li
水流东,shui'liu'dong
四角城,si'jiao'cheng
松林社,song'lin'she
潭南,tan'nan
桃米,tao'mi
桃子园,tao'zi'yuan
天池,tian'chi
田底,tian'di
同富村,tong'fu'cun
头股,tou'gu
头社,tou'she
土城,tu'cheng
万大,wan'da
弯坑,wan'keng
望洋,wang'yang
五城,wu'cheng
武界,wu'jie
乌来,wu'lai
五里程,wu'li'cheng
溪头,xi'tou
下梅林,xia'mei'lin
新街,xin'jie
新山,xin'shan
新生村,xin'sheng'cun
新兴里,xin'xing'li
信义村,xin'yi'cun
叶厝,ye'cuo
义和村,yi'he'cun
永福村,yong'fu'cun
永兴村,yong'xing'cun
幼狮,you'shi
鱼池,yu'chi
玉峰村,yu'feng'cun
中寮,zhong'liao
中山村,zhong'shan'cun
中兴新村,zhong'xing'xin'cun
中正村,zhong'zheng'cun
中庄,zhong'zhuang
竹山镇,zhu'shan'zhen
浊水溪,zhuo'shui'xi
