案卷,an'juan
案卷封面,an'juan'feng'mian
案卷目录,an'juan'mu'lu
案卷题名,an'juan'ti'ming
保管期限,bao'guan'qi'xian
备注,bei'zhu
编目,bian'mu
编纂,bian'zuan
标引,biao'yin
部门档案馆,bu'men'dang'an'guan
查阅室,cha'yue'shi
大事记,da'shi'ji
档案,dang'an
档案编研,dang'an'bian'yan
档案工作,dang'an'gong'zuo
档案馆,dang'an'guan
档案管理,dang'an'guan'li
档案馆指南,dang'an'guan'zhi'nan
档案价值,dang'an'jia'zhi
档案鉴定,dang'an'jian'ding
档案检索,dang'an'jian'suo
档案利用,dang'an'li'yong
档案室,dang'an'shi
档案收藏,dang'an'shou'cang
档案收集,dang'an'shou'ji
档案缩微品,dang'an'suo'wei'pin
档案学,dang'an'xue
档案展览,dang'an'zhan'lan
档案主题词表,dang'an'zhu'ti'ci'biao
档案装具,dang'an'zhuang'ju
档案资料目录中心,dang'an'zi'liao'mu'lu'zhong'xin
档号,dang'hao
档号章,dang'hao'zhang
地名索引,di'ming'suo'yin
底图,di'tu
底图柜,di'tu'gui
底图密集架,di'tu'mi'ji'jia
电子档案,dian'zi'dang'an
电子档案馆,dian'zi'dang'an'guan
电子公文,dian'zi'gong'wen
电子文件,dian'zi'wen'jian
定稿,ding'gao
防磁柜,fang'ci'gui
分类标引,fen'lei'biao'yin
分类目录,fen'lei'mu'lu
封面,feng'mian
副本,fu'ben
复制件,fu'zhi'jian
干部职工档案,gan'bu'zhi'gong'dang'an
高速扫描仪,gao'su'sao'miao'yi
公布,gong'bu
公共档案,gong'gong'dang'an
馆藏,guan'cang
关键词,guan'jian'ci
光盘机,guang'pan'ji
归档,gui'dang
归档文件,gui'dang'wen'jian
归档文件目录,gui'dang'wen'jian'mu'lu
国家档案,guo'jia'dang'an
互见号,hu'jian'hao
汇集全宗,hui'ji'quan'zong
寄存,ji'cun
机关档案室,ji'guan'dang'an'shi
加固,jia'gu
加湿,jia'shi
降密,jiang'mi
交换,jiao'huan
解密,jie'mi
接收,jie'shou
介质,jie'zhi
卷内备考表,juan'nei'bei'kao'biao
卷内文件目录,juan'nei'wen'jian'mu'lu
捐赠,juan'zeng
开放,kai'fang
科技档案,ke'ji'dang'an
科技卷皮,ke'ji'juan'pi
科学技术档案,ke'xue'ji'shu'dang'an
空气消毒机,kong'qi'xiao'du'ji
会计档案,kuai'ji'dang'an
联合全宗,lian'he'quan'zong
密级,mi'ji
密集架,mi'ji'jia
耐久性,nai'jiu'xing
企业档案馆,qi'ye'dang'an'guan
去污,qu'wu
全宗,quan'zong
全宗单,quan'zong'dan
全宗号,quan'zong'hao
全宗介绍,quan'zong'jie'shao
全宗卡片,quan'zong'ka'pian
全宗群,quan'zong'qun
全宗指南,quan'zong'zhi'nan
人名索引,ren'ming'suo'yin
日期,ri'qi
散存档案,san'cun'dang'an
散失档案,san'shi'dang'an
社区档案,she'qu'dang'an
声像档案,sheng'xiang'dang'an
手稿,shou'gao
数字化加工,shu'zi'hua'jia'gong
私人档案,si'ren'dang'an
缩微摄影,suo'wei'she'ying
条目,tiao'mu
褪变,tui'bian
退湿,tui'shi
脱酸,tuo'suan
文本,wen'ben
文号,wen'hao
文号索引,wen'hao'suo'yin
文件电子消毒柜,wen'jian'dian'zi'xiao'du'gui
文件题名,wen'jian'ti'ming
温湿度测控仪,wen'shi'du'ce'kong'yi
文书档案,wen'shu'dang'an
文书件皮,wen'shu'jian'pi
文书卷皮,wen'shu'juan'pi
文种,wen'zhong
无酸纸,wu'suan'zhi
无雾加湿器,wu'wu'jia'shi'qi
消毒室,xiao'du'shi
销毁,xiao'hui
销毁清册,xiao'hui'qing'ce
消蓝,xiao'lan
修裱,xiu'biao
修复,xiu'fu
熏蒸,xun'zheng
业务档案,ye'wu'dang'an
已公开现行文件,yi'gong'kai'xian'xing'wen'jian
移交,yi'jiao
医疗档案,yi'liao'dang'an
音像档案,yin'xiang'dang'an
原稿,yuan'gao
原件,yuan'jian
阅览室,yue'lan'shi
载体,zai'ti
责任者,ze'ren'zhe
照片档案,zhao'pian'dang'an
正本,zheng'ben
征集,zheng'ji
整理,zheng'li
整理室,zheng'li'shi
证明,zheng'ming
著录,zhu'lu
主题标引,zhu'ti'biao'yin
主题词,zhu'ti'ci
主题目录,zhu'ti'mu'lu
专题概要,zhuan'ti'gai'yao
专题介绍,zhuan'ti'jie'shao
专题目录,zhuan'ti'mu'lu
专题指南,zhuan'ti'zhi'nan
专业档案馆,zhuan'ye'dang'an'guan
字号,zi'hao
咨询服务,zi'xun'fu'wu
自由索引,zi'you'suo'yin
综合档案馆,zong'he'dang'an'guan
组织沿革,zu'zhi'yan'ge
