安世,an'shi
白兔,bai'tu
本初,ben'chu
宾伯,bin'bo
邠卿,bin'qing
伯安,bo'an
伯达,bo'da
伯符,bo'fu
伯恭,bo'gong
伯圭,bo'gui
伯海,bo'hai
伯和,bo'he
伯济,bo'ji
伯喈,bo'jie
伯苗,bo'miao
伯宁,bo'ning
伯歧,bo'qi
伯求,bo'qiu
伯仁,bo'ren
伯绪,bo'xu
伯言,bo'yan
伯业,bo'ye
伯奕,bo'yi
伯益,bo'yi
伯舆,bo'yu
伯玉,bo'yu
伯瑜,bo'yu
伯约,bo'yue
长倩,chang'qian
长文,chang'wen
承先,cheng'xian
承渊,cheng'yuan
处道,chu'dao
次曾,ci'ceng
慈明,ci'ming
次阳,ci'yang
大初,da'chu
大明,da'ming
大荣,da'rong
德昂,de'ang
德操,de'cao
德达,de'da
德度,de'du
德高,de'gao
德谋,de'mou
德容,de'rong
德枢,de'shu
德伟,de'wei
德信,de'xin
德艳,de'yan
德瑜,de'yu
德祖,de'zu
定公,ding'gong
奉先,feng'xian
奉孝,feng'xiao
根矩,gen'ju
公曾,gong'ceng
公达,gong'da
公覆,gong'fu
公衡,gong'heng
公祜,gong'hu
公纪,gong'ji
公绩,gong'ji
公节,gong'jie
公瑾,gong'jin
公礼,gong'li
公刘,gong'liu
公路,gong'lu
公闾,gong'lv
公明,gong'ming
公祺,gong'qi
公仁,gong'ren
公山,gong'shan
公寿,gong'shou
公嗣,gong'si
恭嗣,gong'si
公台,gong'tai
公悌,gong'ti
公伟,gong'wei
公威,gong'wei
恭武,gong'wu
龚袭,gong'xi
公孝,gong'xiao
公休,gong'xiu
公绪,gong'xu
公琰,gong'yan
公业,gong'ye
公奕,gong'yi
公昭,gong'zhao
公至,gong'zhi
公祖,gong'zu
恭祖,gong'zu
国辅,guo'fu
国让,guo'rang
国山,guo'shan
汉升,han'sheng
鸿豫,hong'yu
惠恕,hui'shu
季弼,ji'bi
机伯,ji'bo
季才,ji'cai
季常,ji'chang
季珪,ji'gui
季宁,ji'ning
季平,ji'ping
季权,ji'quan
季然,ji'ran
季行,ji'xing
季休,ji'xiu
季彦,ji'yan
季玉,ji'yu
季重,ji'zhong
季佐,ji'zuo
建公,jian'gong
建阳,jian'yang
敬才,jing'cai
景春,jing'chun
敬达,jing'da
敬风,jing'feng
敬礼,jing'li
景明,jing'ming
景倩,jing'qian
景升,jing'sheng
景兴,jing'xing
敬仲,jing'zhong
巨达,ju'da
巨高,ju'gao
巨先,ju'xian
巨源,ju'yuan
君郎,jun'lang
君荣,jun'rong
君嗣,jun'si
亢宗,kang'zong
孔才,kong'cai
孔明,kong'ming
孔硕,kong'shuo
孔休,kong'xiu
孔璋,kong'zhang
兰卿,lan'qing
兰石,lan'shi
梁道,liang'dao
林叔,lin'shu
令明,ling'ming
令先,ling'xian
令元,ling'yuan
曼才,man'cai
曼成,man'cheng
茂先,mao'xian
孟德,meng'de
孟溥,meng'pu
孟起,meng'qi
孟玉,meng'yu
孟卓,meng'zhuo
妙才,miao'cai
彭祖,peng'zu
平叔,ping'shu
钦仲,qin'zhong
仁笃,ren'du
睿冲,rui'chong
申甫,shen'fu
升济,sheng'ji
士季,shi'ji
世议,shi'yi
世元,shi'yuan
始宗,shi'zong
寿成,shou'cheng
叔弼,shu'bi
叔明,shu'ming
叔盘,shu'pan
叔嗣,shu'si
叔武,shu'wu
叔治,shu'zhi
叔子,shu'zi
思然,si'ran
思远,si'yuan
遂高,sui'gao
孙德,sun'de
泰雍,tai'yong
土元,tu'yuan
土载,tu'zai
土治,tu'zhi
土宗,tu'zong
伟度,wei'du
威公,wei'gong
威硕,wei'shuo
伟台,wei'tai
伟章,wei'zhang
文达,wen'da
文德,wen'de
文和,wen'he
文衡,wen'heng
文惠,wen'hui
文姬,wen'ji
文节,wen'jie
文进,wen'jin
文举,wen'ju
文礼,wen'li
文明,wen'ming
文谦,wen'qian
文然,wen'ran
文若,wen'ruo
文舒,wen'shu
文台,wen'tai
文蔚,wen'wei
文伟,wen'wei
文先,wen'xian
文向,wen'xiang
文休,wen'xiu
文选,wen'xuan
文仪,wen'yi
文约,wen'yue
文则,wen'ze
翁叔,weng'shu
显甫,xian'fu
宪和,xian'he
显思,xian'si
显奕,xian'yi
孝起,xiao'qi
孝先,xiao'xian
孝裕,xiao'yu
孝直,xiao'zhi
兴霸,xing'ba
休先,xiu'xian
休元,xiu'yuan
休渊,xiu'yuan
休昭,xiu'zhao
休徵,xiu'zheng
玄伯,xuan'bo
玄冲,xuan'chong
玄德,xuan'de
宣高,xuan'gao
玄茂,xuan'mao
玄威,xuan'wei
玄武,xuan'wu
彦材,yan'cai
演长,yan'chang
彦靖,yan'jing
彦林,yan'lin
彦龙,yan'long
彦士,yan'shi
彦英,yan'ying
阳土,yang'tu
义博,yi'bo
翼德,yi'de
异度,yi'du
义封,yi'feng
义公,yi'gong
义举,yi'ju
义权,yi'quan
义山,yi'shan
义真,yi'zhen
颖伯,ying'bo
颖老,ying'lao
永年,yong'nian
永先,yong'xian
幼常,you'chang
幼节,you'jie
幼平,you'ping
友若,you'ruo
幼台,you'tai
幼宰,you'zai
元伯,yuan'bo
元才,yuan'cai
元常,yuan'chang
元代,yuan'dai
元放,yuan'fang
元皓,yuan'hao
元化,yuan'hua
元机,yuan'ji
元将,yuan'jiang
元凯,yuan'kai
元龙,yuan'long
元明,yuan'ming
元让,yuan'rang
元升,yuan'sheng
元嗣,yuan'si
元泰,yuan'tai
元叹,yuan'tan
元休,yuan'xiu
元逊,yuan'xun
元异,yuan'yi
元颖,yuan'ying
元则,yuan'ze
元直,yuan'zhi
元仲,yuan'zhong
云长,yun'chang
昭伯,zhao'bo
昭先,zhao'xian
正方,zheng'fang
正礼,zheng'li
正明,zheng'ming
正南,zheng'nan
正平,zheng'ping
稚权,zhi'quan
稚叔,zhi'shu
仲达,zhong'da
仲德,zhong'de
仲恭,zhong'gong
仲简,zhong'jian
仲康,zhong'kang
仲麟,zhong'lin
仲谋,zhong'mou
仲权,zhong'quan
仲若,zhong'ruo
仲嗣,zhong'si
仲思,zhong'si
仲台,zhong'tai
仲翔,zhong'xiang
仲宣,zhong'xuan
仲业,zhong'ye
仲异,zhong'yi
仲颖,zhong'ying
仲远,zhong'yuan
仲真,zhong'zhen
仲直,zhong'zhi
仲子,zhong'zi
周扬,zhou'yang
子邦,zi'bang
子伯,zi'bo
子布,zi'bu
子产,zi'chan
子敕,zi'chi
子初,zi'chu
子丹,zi'dan
子度,zi'du
子干,zi'gan
子纲,zi'gang
子高,zi'gao
子贡,zi'gong
子和,zi'he
子衡,zi'heng
子桓,zi'huan
子璜,zi'huang
子建,zi'jian
子将,zi'jiang
子敬,zi'jing
子均,zi'jun
子恪,zi'ke
子廉,zi'lian
子烈,zi'lie
子林,zi'lin
子龙,zi'long
子明,zi'ming
子佩,zi'pei
子奇,zi'qi
子弃,zi'qi
子全,zi'quan
子柔,zi'rou
子山,zi'shan
子尚,zi'shang
子师,zi'shi
子叔,zi'shu
子台,zi'tai
子泰,zi'tai
子通,zi'tong
子文,zi'wen
子孝,zi'xiao
子修,zi'xiu
子绪,zi'xu
子扬,zi'yang
子义,zi'yi
子翼,zi'yi
子雍,zi'yong
子鱼,zi'yu
子瑜,zi'yu
子远,zi'yuan
子元,zi'yuan
子云,zi'yun
子仲,zi'zhong
祖荣,zu'rong
佐治,zuo'zhi
