安静点,an'jing'dian
安静一点,an'jing'yi'dian
拜拜,bai'bai
拜拜了,bai'bai'le
拜托,bai'tuo
半斤八两,ban'jin'ba'liang
搬弄是非,ban'nong'shi'fei
帮帮大家吧,bang'bang'da'jia'ba
帮帮忙吧,bang'bang'mang'ba
帮帮我,bang'bang'wo
帮个忙好吗,bang'ge'mang'hao'ma
帮我踩空间,bang'wo'cai'kong'jian
保持联络,bao'chi'lian'luo
悲哀啊,bei'ai'a
闭嘴,bi'zui
变态,bian'tai
表里不一,biao'li'bu'yi
别啊,bie'a
别摆架子,bie'bai'jia'zi
别逼我,bie'bi'wo
别痴心了,bie'chi'xin'le
别催我,bie'cui'wo
别担心,bie'dan'xin
别挡路,bie'dang'lu
别挡我路好不,bie'dang'wo'lu'hao'bu
别多嘴,bie'duo'zui
别发了,bie'fa'le
别烦我,bie'fan'wo
别放不下心了,bie'fang'bu'xia'xin'le
别管他,bie'guan'ta
别害羞了,bie'hai'xiu'le
别喝醉了,bie'he'zui'le
别回家了,bie'hui'jia'le
别看了,bie'kan'le
别客气,bie'ke'qi
别浪费我一番心意,bie'lang'fei'wo'yi'fan'xin'yi
别理他,bie'li'ta
别理我,bie'li'wo
别闹了,bie'nao'le
别谦虚了,bie'qian'xu'le
别让他失望,bie'rang'ta'shi'wang
别让我失望,bie'rang'wo'shi'wang
别惹麻烦,bie're'ma'fan
别惹我,bie're'wo
别傻了,bie'sha'le
别上当,bie'shang'dang
别生气啊,bie'sheng'qi'a
别生气了,bie'sheng'qi'le
别生我气,bie'sheng'wo'qi
别耍花样,bie'shua'hua'yang
别说了,bie'shuo'le
别说傻话了,bie'shuo'sha'hua'le
别太耽误了,bie'tai'dan'wu'le
别太多话,bie'tai'duo'hua
别太过份了,bie'tai'guo'fen'le
别提心,bie'ti'xin
别玩了,bie'wan'le
别妄想了,bie'wang'xiang'le
别问了,bie'wen'le
别误会我,bie'wu'hui'wo
别想离开,bie'xiang'li'kai
别想溜,bie'xiang'liu
别想骗我,bie'xiang'pian'wo
别想偷跑,bie'xiang'tou'pao
别呀,bie'ya
别有企图,bie'you'qi'tu
别再这样子了,bie'zai'zhe'yang'zi'le
别这么孩子气,bie'zhe'me'hai'zi'qi
别这么说,bie'zhe'me'shuo
别这样子好不好,bie'zhe'yang'zi'hao'bu'hao
别这样子行不行,bie'zhe'yang'zi'xing'bu'xing
别指望我,bie'zhi'wang'wo
别装蒜了,bie'zhuang'suan'le
别自相残杀,bie'zi'xiang'can'sha
并不想这样,bing'bu'xiang'zhe'yang
不啊,bu'a
不吃了,bu'chi'le
不错,bu'cuo
不错啊,bu'cuo'a
不错吧,bu'cuo'ba
不错了,bu'cuo'le
不错吗,bu'cuo'ma
不错哦,bu'cuo'o
不打了,bu'da'le
不打扰了,bu'da'rao'le
不打扰你了,bu'da'rao'ni'le
不打以后别找我啦,bu'da'yi'hou'bie'zhao'wo'la
不打以后不理你啦,bu'da'yi'hou'bu'li'ni'la
不懂啊,bu'dong'a
不读了,bu'du'le
不对啊,bu'dui'a
不对吗,bu'dui'ma
不多啊,bu'duo'a
不发了,bu'fa'le
不敢啊,bu'gan'a
不干吗,bu'gan'ma
不干什么,bu'gan'shen'me
不告诉你,bu'gao'su'ni
不给看,bu'gei'kan
不跟你聊了,bu'gen'ni'liao'le
不跟你说了,bu'gen'ni'shuo'le
不够意思,bu'gou'yi'si
不管了,bu'guan'le
不管呢,bu'guan'ne
不关我事,bu'guan'wo'shi
不管用,bu'guan'yong
不好啊,bu'hao'a
不好吧,bu'hao'ba
不好吃,bu'hao'chi
不好看啊,bu'hao'kan'a
不好了,bu'hao'le
不好哦,bu'hao'o
不好耍,bu'hao'shua
不好玩啊,bu'hao'wan'a
不好呀,bu'hao'ya
不好意思啊,bu'hao'yi'si'a
不好意思啦,bu'hao'yi'si'la
不好意思了,bu'hao'yi'si'le
不好意思哦,bu'hao'yi'si'o
不好意思呀,bu'hao'yi'si'ya
不和你聊了,bu'he'ni'liao'le
不和你说了,bu'he'ni'shuo'le
不会啊,bu'hui'a
不回啊,bu'hui'a
不会吧,bu'hui'ba
不回吧,bu'hui'ba
不会的啊,bu'hui'de'a
不会的啦,bu'hui'de'la
不会啦,bu'hui'la
不会了,bu'hui'le
