阿宝,a'bao
阿丑书堂弄师父,a'chou'shu'tang'nong'shi'fu
阿霞,a'xia
阿纤,a'xian
阿绣,a'xiu
阿英,a'ying
艾虎奔贼店救人,ai'hu'ben'zei'dian'jiu'ren
艾虎求狱神实有灵应,ai'hu'qiu'yu'shen'shi'you'ling'ying
爱交游雪斋留客,ai'jiao'you'xue'zhai'liu'ke
爱莲亭袁宝儿轻生,ai'lian'ting'yuan'bao'er'qing'sheng
爱奴,ai'nu
爱情郎金姐贴财物,ai'qing'lang'jin'jie'tie'cai'wu
爱少俊访友神乐观,ai'shao'jun'fang'you'shen'le'guan
爱中慕田状元求婚,ai'zhong'mu'tian'zhuang'yuan'qiu'hun
安定军山同归大道,an'ding'jun'shan'tong'gui'da'dao
暗访察路遇乾坤鼠,an'fang'cha'lu'yu'qian'kun'shu
安化县徐庆进兵,an'hua'xian'xu'qing'jin'bing
安金藏剖腹鸣冤,an'jin'zang'pou'fu'ming'yuan
安禄山范阳造反,an'lu'shan'fan'yang'zao'fan
安禄山请用番将士,an'lu'shan'qing'yong'fan'jiang'shi
安禄山入宫见妃子,an'lu'shan'ru'gong'jian'fei'zi
安禄山屠肠殒命,an'lu'shan'tu'chang'yun'ming
暗昧人偏遭暗昧害,an'mei'ren'pian'zao'an'mei'hai
庵内看恶鬼善神,an'nei'kan'e'gui'shan'shen
安平村苗二设谋,an'ping'cun'miao'er'she'mou
安平镇五鼠单行义,an'ping'zhen'wu'shu'dan'xing'yi
安期岛,an'qi'dao
按图治水父子加封,an'tu'zhi'shui'fu'zi'jia'feng
按艳拍鸳鸯不羡仙,an'yan'pai'yuan'yang'bu'xian'xian
安义山主仆重逢,an'yi'shan'zhu'pu'chong'feng
八大王,ba'da'wang
八殿下三关借兵,ba'dian'xia'san'guan'jie'bing
八卦炉佛法炼韩祺,ba'gua'lu'fo'fa'lian'han'qi
八卦炉中逃大圣,ba'gua'lu'zhong'tao'da'sheng
八卦山雷陈逢妖道,ba'gua'shan'lei'chen'feng'yao'dao
罢官职逢义士高僧,ba'guan'zhi'feng'yi'shi'gao'seng
拔胡须辱挫作恶儿,ba'hu'xu'ru'cuo'zuo'e'er
八戒大战流沙河,ba'jie'da'zhan'liu'sha'he
八景宫师徒参教主,ba'jing'gong'shi'tu'can'jiao'zhu
八蜡庙道士捉妖,ba'la'miao'dao'shi'zhuo'yao
八里铺侠客赶书生,ba'li'pu'xia'ke'gan'shu'sheng
罢龙,ba'long
八魔捉拿飞龙僧,ba'mo'zhuo'na'fei'long'seng
八娘子大战番兵,ba'niang'zi'da'zhan'fan'bing
八王赍诏求六使,ba'wang'ji'zhao'qiu'liu'shi
八王进献反间计,ba'wang'jin'xian'fan'jian'ji
八王智救杨郡马,ba'wang'zhi'jiu'yang'jun'ma
八仙东游过海,ba'xian'dong'you'guo'hai
八仙火烧东洋,ba'xian'huo'shao'dong'yang
八仙蟠桃大会,ba'xian'pan'tao'da'hui
八仙求文老子,ba'xian'qiu'wen'lao'zi
八仙天兵大战,ba'xian'tian'bing'da'zhan
八仙推山筑海,ba'xian'tui'shan'zhu'hai
败长平白起坑赵卒,bai'chang'ping'bai'qi'keng'zhao'zu
摆恶阵妖道逞能,bai'e'zhen'yao'dao'cheng'neng
白发翁傲慢谈文,bai'fa'weng'ao'man'tan'wen
白公子酒楼逢难女,bai'gong'zi'jiu'lou'feng'nan'nv
败管翼贼妇大交兵,bai'guan'yi'zei'fu'da'jiao'bing
白护卫乔妆逢侠客,bai'hu'wei'qiao'zhuang'feng'xia'ke
白护卫死尸斩张华,bai'hu'wei'si'shi'zhan'zhang'hua
