暗动,an'dong
安世应,an'shi'ying
八卦,ba'gua
白虎,bai'hu
白蚁金,bai'yi'jin
帮扶,bang'fu
北方水,bei'fang'shui
壁上土,bi'shang'tu
变卦,bian'gua
丙辰,bing'chen
丙申,bing'shen
丙午,bing'wu
丙戌,bing'xu
丙寅,bing'yin
丙子,bing'zi
不空,bu'kong
不破,bu'po
卜筮正宗,bu'shi'zheng'zong
钗钏金,chai'chuan'jin
长流水,chang'liu'shui
长生,chang'sheng
辰日,chen'ri
辰时,chen'shi
辰巳,chen'si
辰土,chen'tu
辰土父母,chen'tu'fu'mu
辰土父母持世,chen'tu'fu'mu'chi'shi
辰土官鬼,chen'tu'guan'gui
辰土官鬼持世,chen'tu'guan'gui'chi'shi
辰土妻财,chen'tu'qi'cai
辰土妻财持世,chen'tu'qi'cai'chi'shi
辰土兄弟,chen'tu'xiong'di
辰土兄弟持世,chen'tu'xiong'di'chi'shi
辰土子孙,chen'tu'zi'sun
辰土子孙持世,chen'tu'zi'sun'chi'shi
辰午酉亥,chen'wu'you'hai
辰戌,chen'xu
辰戌冲,chen'xu'chong
辰酉,chen'you
辰酉合,chen'you'he
辰月,chen'yue
城头土,cheng'tou'tu
持世,chi'shi
冲空填实,chong'kong'tian'shi
冲散,chong'san
丑日,chou'ri
仇神,chou'shen
丑时,chou'shi
丑土,chou'tu
丑土父母,chou'tu'fu'mu
丑土父母持世,chou'tu'fu'mu'chi'shi
丑土官鬼,chou'tu'guan'gui
丑土官鬼持世,chou'tu'guan'gui'chi'shi
丑土妻财,chou'tu'qi'cai
丑土妻财持世,chou'tu'qi'cai'chi'shi
丑土兄弟,chou'tu'xiong'di
丑土兄弟持世,chou'tu'xiong'di'chi'shi
丑土子孙,chou'tu'zi'sun
丑土子孙持世,chou'tu'zi'sun'chi'shi
丑未,chou'wei
丑未冲,chou'wei'chong
丑午,chou'wu
丑午害,chou'wu'hai
丑戌未,chou'xu'wei
丑月,chou'yue
初爻,chu'yao
大海水,da'hai'shui
大林木,da'lin'mu
大溪水,da'xi'shui
大鄢土,da'yan'tu
代占,dai'zhan
地风升,di'feng'sheng
地火明夷,di'huo'ming'yi
地雷复,di'lei'fu
地山谦,di'shan'qian
地水师,di'shui'shi
地天泰,di'tian'tai
帝旺,di'wang
地泽临,di'ze'lin
地支,di'zhi
丁丑,ding'chou
丁亥,ding'hai
丁卯,ding'mao
丁巳,ding'si
丁未,ding'wei
丁酉,ding'you
动绊,dong'ban
东方木,dong'fang'mu
动卦,dong'gua
动墓,dong'mu
动爻,dong'yao
断卦,duan'gua
兑二,dui'er
兑宫八卦,dui'gong'ba'gua
兑卦,dui'gua
兑上缺,dui'shang'que
兑为泽,dui'wei'ze
二五爻,er'wu'yao
二爻,er'yao
反吟,fan'yin
飞克伏,fei'ke'fu
风地观,feng'di'guan
风火家人,feng'huo'jia'ren
逢空,feng'kong
风雷益,feng'lei'yi
风山渐,feng'shan'jian
风水涣,feng'shui'huan
风天小畜,feng'tian'xiao'chu
风泽中孚,feng'ze'zhong'fu
逢值逢冲,feng'zhi'feng'chong
逢值逢合,feng'zhi'feng'he
覆灯火,fu'deng'huo
伏克飞,fu'ke'fei
父母,fu'mu
父母辰土,fu'mu'chen'tu
父母辰土持世,fu'mu'chen'tu'chi'shi
父母持世,fu'mu'chi'shi
父母丑土,fu'mu'chou'tu
父母丑土持世,fu'mu'chou'tu'chi'shi
父母亥水,fu'mu'hai'shui
父母亥水持世,fu'mu'hai'shui'chi'shi
父母卯木,fu'mu'mao'mu
父母卯木持世,fu'mu'mao'mu'chi'shi
父母申金,fu'mu'shen'jin
父母申金持世,fu'mu'shen'jin'chi'shi
父母巳火,fu'mu'si'huo
父母巳火持世,fu'mu'si'huo'chi'shi
父母未土,fu'mu'wei'tu
父母未土持世,fu'mu'wei'tu'chi'shi
父母午火,fu'mu'wu'huo
父母午火持世,fu'mu'wu'huo'chi'shi
父母戌土,fu'mu'xu'tu
父母戌土持世,fu'mu'xu'tu'chi'shi
父母寅木,fu'mu'yin'mu
父母寅木持世,fu'mu'yin'mu'chi'shi
父母酉金,fu'mu'you'jin
父母酉金持世,fu'mu'you'jin'chi'shi
父母子水,fu'mu'zi'shui
父母子水持世,fu'mu'zi'shui'chi'shi
伏神,fu'shen
伏吟,fu'yin
艮覆碗,gen'fu'wan
艮宫八卦,gen'gong'ba'gua
艮卦,gen'gua
艮七,gen'qi
艮为山,gen'wei'shan
庚辰,geng'chen
庚申,geng'shen
庚午,geng'wu
庚戌,geng'xu
庚寅,geng'yin
庚子,geng'zi
宫位,gong'wei
勾陈,gou'chen
古筮,gu'shi
卦理,gua'li
卦象,gua'xiang
卦意,gua'yi
冠带,guan'dai
官鬼,guan'gui
官鬼辰土,guan'gui'chen'tu
官鬼辰土持世,guan'gui'chen'tu'chi'shi
官鬼持世,guan'gui'chi'shi
官鬼丑土,guan'gui'chou'tu
官鬼丑土持世,guan'gui'chou'tu'chi'shi
官鬼亥水,guan'gui'hai'shui
官鬼亥水持世,guan'gui'hai'shui'chi'shi
官鬼卯木,guan'gui'mao'mu
官鬼卯木持世,guan'gui'mao'mu'chi'shi
官鬼申金,guan'gui'shen'jin
官鬼申金持世,guan'gui'shen'jin'chi'shi
官鬼巳火,guan'gui'si'huo
官鬼巳火持世,guan'gui'si'huo'chi'shi
官鬼未土,guan'gui'wei'tu
官鬼未土持世,guan'gui'wei'tu'chi'shi
官鬼午火,guan'gui'wu'huo
官鬼午火持世,guan'gui'wu'huo'chi'shi
官鬼戌土,guan'gui'xu'tu
官鬼戌土持世,guan'gui'xu'tu'chi'shi
官鬼寅木,guan'gui'yin'mu
官鬼寅木持世,guan'gui'yin'mu'chi'shi
官鬼酉金,guan'gui'you'jin
官鬼酉金持世,guan'gui'you'jin'chi'shi
官鬼子水,guan'gui'zi'shui
官鬼子水持世,guan'gui'zi'shui'chi'shi
癸丑,gui'chou
癸亥,gui'hai
归魂,gui'hun
癸卯,gui'mao
贵人,gui'ren
癸巳,gui'si
癸未,gui'wei
癸酉,gui'you
