八座,ba'zuo
白虎,bai'hu
白腊金,bai'la'jin
壁上土,bi'shang'tu
丙辰,bing'chen
丙年,bing'nian
丙申,bing'shen
丙午,bing'wu
丙戌,bing'xu
丙寅,bing'yin
丙子,bing'zi
财帛,cai'bo
钗钏金,chai'chuan'jin
拆马忌,chai'ma'ji
常流水,chang'liu'shui
长生,chang'sheng
城墙土,cheng'qiang'tu
大财,da'cai
大父,da'fu
大福,da'fu
大官,da'guan
大耗,da'hao
大疾,da'ji
大林木,da'lin'mu
大命,da'ming
大仆,da'pu
大妻,da'qi
大迁,da'qian
大田,da'tian
大溪水,da'xi'shui
大限,da'xian
大兄,da'xiong
大驿土,da'yi'tu
大易源,da'yi'yuan
大子,da'zi
戴九履一,dai'jiu'lv'yi
地劫,di'jie
地空,di'kong
地盘,di'pan
帝旺,di'wang
丁丑,ding'chou
丁亥,ding'hai
丁卯,ding'mao
丁年,ding'nian
丁巳,ding'si
丁未,ding'wei
丁酉,ding'you
洞下水,dong'xia'shui
斗君,dou'jun
恩光,en'guang
二七为火,er'qi'wei'huo
二四为肩,er'si'wei'jian
反弓忌,fan'gong'ji
飞化,fei'hua
蜚廉,fei'lian
凤阁,feng'ge
佛灯火,fo'deng'huo
福德,fu'de
父母,fu'mu
夫妻,fu'qi
庚辰,geng'chen
庚年,geng'nian
庚申,geng'shen
庚午,geng'wu
庚戌,geng'xu
庚寅,geng'yin
庚子,geng'zi
宫垣,gong'yuan
孤辰,gu'chen
寡宿,gua'su
冠带,guan'dai
官禄,guan'lu
癸丑,gui'chou
癸亥,gui'hai
癸卯,gui'mao
癸年,gui'nian
癸巳,gui'si
癸未,gui'wei
癸酉,gui'you
海中金,hai'zhong'jin
红鸾,hong'luan
化忌,hua'ji
化科,hua'ke
化禄,hua'lu
化权,hua'quan
火星,huo'xing
己丑,ji'chou
疾厄,ji'e
己亥,ji'hai
吉化,ji'hua
己卯,ji'mao
己年,ji'nian
忌入,ji'ru
己巳,ji'si
己未,ji'wei
吉耀,ji'yao
己酉,ji'you
甲辰,jia'chen
甲年,jia'nian
甲申,jia'shen
甲午,jia'wu
甲戌,jia'xu
甲寅,jia'yin
甲子,jia'zi
剑锋金,jian'feng'jin
截空,jie'kong
截路,jie'lu
