阿尔尼,a'er'ni
阿凡提妻,a'fan'ti'qi
阿济赤,a'ji'chi
阿泉,a'quan
哀牢山三十六剑,ai'lao'shan'san'shi'liu'jian
矮老者,ai'lao'zhe
安大娘,an'da'niang
安奉日,an'feng'ri
安健刚,an'jian'gang
安剑清,an'jian'qing
黯然销魂掌,an'ran'xiao'hun'zhang
暗噬菌,an'shi'jun
安提督,an'ti'du
安小慧,an'xiao'hui
敖彪,ao'biao
獒口夺杖,ao'kou'duo'zhang
八方归元,ba'fang'gui'yuan
八卦金刀,ba'gua'jin'dao
八卦门,ba'gua'men
八卦游龙掌,ba'gua'you'long'zhang
八卦游身掌,ba'gua'you'shen'zhang
八极门,ba'ji'men
八极拳,ba'ji'quan
八口山铭,ba'kou'shan'ming
巴郎星,ba'lang'xing
八十一路三节棍,ba'shi'yi'lu'san'jie'gun
八十一路五虎刀,ba'shi'yi'lu'wu'hu'dao
巴泰,ba'tai
八仙剑法,ba'xian'jian'fa
巴颜法师,ba'yan'fa'shi
八阵八卦掌,ba'zhen'ba'gua'zhang
白阿绣,bai'a'xiu
白二,bai'er
白龟寿,bai'gui'shou
白寒枫,bai'han'feng
白寒松,bai'han'song
白虎跳涧,bai'hu'tiao'jian
百花错拳,bai'hua'cuo'quan
白脸人,bai'lian'ren
白马啸西风,bai'ma'xiao'xi'feng
白蟒鞭,bai'mang'bian
白眉上人,bai'mei'shang'ren
百魔堂,bai'mo'tang
百年炼狱,bai'nian'lian'yu
白少堂,bai'shao'tang
百胜软鞭,bai'sheng'ruan'bian
白世镜,bai'shi'jing
白驼雪山掌,bai'tuo'xue'shan'zhang
白万剑,bai'wan'jian
白玉京,bai'yu'jing
白玉魔丐,bai'yu'mo'gai
白云出岫,bai'yun'chu'xiu
百丈飞瀑,bai'zhang'fei'pu
白振,bai'zhen
白自在,bai'zi'zai
班淑娴,ban'shu'xian
棒打狗头,bang'da'gou'tou
棒打双犬,bang'da'shuang'quan
傍花拂柳,bang'hua'fu'liu
抱残式,bao'can'shi
鲍承先,bao'cheng'xian
鲍大楚,bao'da'chu
宝灵拳,bao'ling'quan
鲍千灵,bao'qian'ling
宝树,bao'shu
暴退,bao'tui
豹尾脚,bao'wei'jiao
宝象和尚,bao'xiang'he'shang
暴战鸡,bao'zhan'ji
暴战野猪,bao'zhan'ye'zhu
北斗大阵,bei'dou'da'zhen
北斗封魔阵,bei'dou'feng'mo'zhen
贝海石,bei'hai'shi
贝锦仪,bei'jin'yi
贝人龙,bei'ren'long
北渔拓跋氏,bei'yu'tuo'ba'shi
敝帮,bi'bang
敝盟,bi'meng
敝派,bi'pai
笔贴式,bi'tie'shi
辟邪剑法,bi'xie'jian'fa
碧血剑,bi'xue'jian
碧渊腾蛟,bi'yuan'teng'jiao
碧针清掌,bi'zhen'qing'zhang
变异角鹰,bian'yi'jiao'ying
宾头卢尊者,bin'tou'lu'zun'zhe
冰河倒泻,bing'he'dao'xie
冰河开冻,bing'he'kai'dong
拨狗朝天,bo'gou'chao'tian
渤海派,bo'hai'pai
波罗密手,bo'luo'mi'shou
波罗星,bo'luo'xing
般若掌,bo're'zhang
拨速台,bo'su'tai
卜沉,bu'chen
捕风式,bu'feng'shi
补锅匠,bu'guo'jiang
不空和尚,bu'kong'he'shang
不平道人,bu'ping'dao'ren
卜泰,bu'tai
不相及,bu'xiang'ji
卜鹰,bu'ying
卜垣,bu'yuan
蔡德忠,cai'de'zhong
蔡威,cai'wei
采燕功,cai'yan'gong
蔡一潇,cai'yi'xiao
参合指,can'he'zhi
残血使,can'xue'shi
藏边大丑,cang'bian'da'chou
藏边二丑,cang'bian'er'chou
藏边三丑,cang'bian'san'chou
藏边四丑,cang'bian'si'chou
藏边五丑,cang'bian'wu'chou
藏刀式,cang'dao'shi
苍龙天君,cang'long'tian'jun
苍松迎客,cang'song'ying'ke
曹化淳,cao'hua'chun
曹令割鼻,cao'ling'ge'bi
曹猛,cao'meng
曹能,cao'neng
曹司朋,cao'si'peng
曹云奇,cao'yun'qi
岑其斯,cen'qi'si
曾柔,ceng'rou
曾铁鸥,ceng'tie'ou
察尔珠,cha'er'zhu
察罕特穆尔,cha'han'te'mu'er
查继左,cha'ji'zuo
柴刀十八路,chai'dao'shi'ba'lu
缠丝擒拿手,chan'si'qin'na'shou
长安一战,chang'an'yi'zhan
长臂罗汉,chang'bi'luo'han
常伯志,chang'bo'zhi
常长风,chang'chang'feng
常赫志,chang'he'zhi
常金鹏,chang'jin'peng
常敬之,chang'jing'zhi
常漫天,chang'man'tian
昌齐,chang'qi
长青子,chang'qing'zi
长拳十段锦,chang'quan'shi'duan'jin
常山蛇势,chang'shan'she'shi
常胜宝树王,chang'sheng'bao'shu'wang
长苇渡江,chang'wei'du'jiang
长啸雁落,chang'xiao'yan'luo
超级兲粉,chao'ji'tian'fen
朝天一棍,chao'tian'yi'gun
车尔库,che'er'ku
陈冲之,chen'chong'zhi
陈大方,chen'da'fang
陈达海,chen'da'hai
陈高波,chen'gao'bo
陈近南,chen'jin'nan
陈老丐,chen'lao'gai
陈七,chen'qi
陈歪嘴,chen'wai'zui
陈玄风,chen'xuan'feng
陈正德,chen'zheng'de
成不忧,cheng'bu'you
成高道人,cheng'gao'dao'ren
程管家,cheng'guan'jia
澄光,cheng'guang
成璜,cheng'huang
成昆,cheng'kun
程青竹,cheng'qing'zhu
澄识,cheng'shi
程坛主,cheng'tan'zhu
澄通,cheng'tong
程维藩,cheng'wei'fan
程遥迦,cheng'yao'jia
程瑶迦,cheng'yao'jia
程瑛,cheng'ying
城字十八破,cheng'zi'shi'ba'po
成自学,cheng'zi'xue
迟百诚,chi'bai'cheng
池边调鹤,chi'bian'tiao'he
赤尻连拳,chi'kao'lian'quan
迟玄,chi'xuan
炽翼千羽,chi'yi'qian'yu
赤月血祭,chi'yue'xue'ji
赤月血魔剑,chi'yue'xue'mo'jian
冲虚道长,chong'xu'dao'zhang
丑脸汉子,chou'lian'han'zi
仇松年,chou'song'nian
初固,chu'gu
楚江王,chu'jiang'wang
楚留香,chu'liu'xiang
楚惜刀,chu'xi'dao
出指,chu'zhi
川西高原,chuan'xi'gao'yuan
闯少林,chuang'shao'lin
春蚕掌法,chun'can'zhang'fa
纯武侠,chun'wu'xia
纯阳无极功,chun'yang'wu'ji'gong
春云乍展,chun'yun'zha'zhan
慈悲刀,ci'bei'dao
次生茶叶,ci'sheng'cha'ye
次生大蒜,ci'sheng'da'suan
丛不弃,cong'bu'qi
崔百胜,cui'bai'sheng
崔镖头,cui'biao'tou
催稿,cui'gao
崔秋山,cui'qiu'shan
崔希敏,cui'xi'min
崔瞎子,cui'xia'zi
崔志方,cui'zhi'fang
大半夜,da'ban'ye
大悲老人,da'bei'lao'ren
大乘期,da'cheng'qi
大痴,da'chi
大癫,da'dian
达尔巴,da'er'ba
大风堂主,da'feng'tang'zhu
大风云飞掌,da'feng'yun'fei'zhang
大伏魔拳法,da'fu'mo'quan'fa
打狗入洞,da'gou'ru'dong
大海沉沙,da'hai'chen'sha
大幻星宗宗主,da'huan'xing'zong'zong'zhu
大金刚拳,da'jin'gang'quan
大金刚掌,da'jin'gang'zhang
大力鹰爪功,da'li'ying'zhao'gong
大漠飞沙,da'mo'fei'sha
达魔剑,da'mo'jian
达摩剑法,da'mo'jian'fa
达摩剑术,da'mo'jian'shu
大漠平沙,da'mo'ping'sha
达摩掌,da'mo'zhang
大擒拿手,da'qin'na'shou
大摔碑手,da'shuai'bei'shou
大嵩阳神掌,da'song'yang'shen'zhang
大铁枪,da'tie'qiang
达娃卓玛,da'wa'zhuo'ma
大韦陀杵,da'wei'tuo'chu
大侠传奇,da'xia'chuan'qi
大新君,da'xin'jun
大洋同盟等,da'yang'tong'meng'deng
大夜叉棍,da'ye'cha'gun
大英雄,da'ying'xiong
大智无定指,da'zhi'wu'ding'zhi
戴独行,dai'du'xing
戴永明,dai'yong'ming
岱宗如何,dai'zong'ru'he
单鞭,dan'bian
单伯山,dan'bo'shan
单季山,dan'ji'shan
丹青生,dan'qing'sheng
丹丘子,dan'qiu'zi
丹术,dan'shu
单叔山,dan'shu'shan
单铁生,dan'tie'sheng
单小山,dan'xiao'shan
当代道宗,dang'dai'dao'zong
刀巴记,dao'ba'ji
刀丛里的诗,dao'cong'li'de'shi
刀帝传,dao'di'chuan
到江吴地尽,dao'jiang'wu'di'jin
道派,dao'pai
倒提金钟,dao'ti'jin'zhong
捣虚式,dao'xu'shi
德布,de'bu
德鄂,de'e
邓八公,deng'ba'gong
邓炳春,deng'bing'chun
登嵩望月,deng'song'wang'yue
狄镖头,di'biao'tou
地火功,di'huo'gong
地裂术,di'lie'shu
狄青降龙,di'qing'xiang'long
谛融,di'rong
地堂刀法,di'tang'dao'fa
狄修,di'xiu
羝羊触蕃,di'yang'chu'fan
地藏颂经,di'zang'song'jing
店伴,dian'ban
点苍剑法,dian'cang'jian'fa
点苍派,dian'cang'pai
点苍渔隐,dian'cang'yu'yin
电母照镜,dian'mu'zhao'jing
碘盐水,dian'yan'shui
吊客临门,diao'ke'lin'men
叠翠浮青,die'cui'fu'qing
蝶花盟,die'hua'meng
丁不三,ding'bu'san
丁不四,ding'bu'si
丁大全,ding'da'quan
丁珰,ding'dang
丁典,ding'dian
丁坚,ding'jian
定静师太,ding'jing'shi'tai
丁灵琳,ding'ling'lin
丁敏尹,ding'min'yin
定判生死,ding'pan'sheng'si
丁麒,ding'qi
丁青青,ding'qing'qing
丁铁干,ding'tie'gan
丁同,ding'tong
丁喜,ding'xi
定阳针,ding'yang'zhen
定逸,ding'yi
丁游,ding'you
东方玄穹,dong'fang'xuan'qiong
董开山,dong'kai'shan
洞虚,dong'xu
洞玄,dong'xuan
都大锦,dou'da'jin
都史,dou'shi
斗转星移,dou'zhuan'xing'yi
杜百当,du'bai'dang
独臂刀法,du'bi'dao'fa
渡厄,du'e
独孤九剑,du'gu'jiu'jian
渡劫,du'jie
杜立德,du'li'de
毒龙鞭法,du'long'bian'fa
渡难,du'nan
杜庆田,du'qing'tian
都市王,du'shi'wang
杜希孟,du'xi'meng
独阳子,du'yang'zi
杜长老,du'zhang'lao
端木氏赤焰洞,duan'mu'shi'chi'yan'dong
对喀纳,dui'ka'na
遁甲宗,dun'jia'zong
多隆,duo'long
多罗叶指,duo'luo'ye'zhi
夺命连环三仙剑,duo'ming'lian'huan'san'xian'jian
夺魄指,duo'po'zhi
鄂北鬼见愁锺家,e'bei'gui'jian'chou'zhong'jia
恶虎拦路,e'hu'lan'lu
峨嵋剑法,e'mei'jian'fa
峨嵋九阳功,e'mei'jiu'yang'gong
恶魔火神剑,e'mo'huo'shen'jian
恶犬拦路,e'quan'lan'lu
尔国临格,er'guo'lin'ge
范帮主,fan'bang'zhu
梵光初现,fan'guang'chu'xian
反截狗臀,fan'jie'gou'tun
饭来伸手,fan'lai'shen'shou
反两仪刀法,fan'liang'yi'dao'fa
范遥,fan'yao
范一飞,fan'yi'fei
樊一翁,fan'yi'weng
范禹,fan'yu
范中恩,fan'zhong'en
翻转乾坤,fan'zhuan'qian'kun
方宝玉,fang'bao'yu
方大洪,fang'da'hong
方东白,fang'dong'bai
方人智,fang'ren'zhi
方有德,fang'you'de
方玉飞,fang'yu'fei
方证,fang'zheng
飞凤手,fei'feng'shou
斐螋,fei'sou
飞天神行,fei'tian'shen'xing
飞絮劲,fei'xu'jin
飞燕穿柳,fei'yan'chuan'liu
飞燕回翔,fei'yan'hui'xiang
费要多罗,fei'yao'duo'luo
斐蜮族,fei'yu'zu
飞云真人,fei'yun'zhen'ren
风爆,feng'bao
冯不摧,feng'bu'cui
封不平,feng'bu'ping
冯不破,feng'bu'po
凤飞烟,feng'fei'yan
冯衡,feng'heng
风际中,feng'ji'zhong
风卷长草,feng'juan'zhang'cao
风良,feng'liang
冯默风,feng'mo'feng
疯魔杖法,feng'mo'zhang'fa
冯难敌,feng'nan'di
凤南天,feng'nan'tian
凤曲长鸣,feng'qu'chang'ming
风沙莽莽,feng'sha'mang'mang
风四娘,feng'si'niang
冯坦,feng'tan
封坛主,feng'tan'zhu
冯同知,feng'tong'zhi
封万里,feng'wan'li
风无羁,feng'wu'ji
风系道术,feng'xi'dao'shu
凤一鸣,feng'yi'ming
