安达驾校,an'da'jia'xiao
百货大楼,bai'huo'da'lou
财富广场,cai'fu'guang'chang
菜园新村,cai'yuan'xin'cun
财政小区,cai'zheng'xiao'qu
城市花园,cheng'shi'hua'yuan
大荒地,da'huang'di
大昆曼家具城,da'kun'man'jia'ju'cheng
倒生根公园,dao'sheng'gen'gong'yuan
电工厂,dian'gong'chang
都市品质小区,du'shi'pin'zhi'xiao'qu
二建司,er'jian'si
二水厂,er'shui'chang
翻胎厂,fan'tai'chang
高登酒店,gao'deng'jiu'dian
高家寨,gao'jia'zhai
公务员小区,gong'wu'yuan'xiao'qu
广电局,guang'dian'ju
豪城大酒店,hao'cheng'da'jiu'dian
鸿达汽车城,hong'da'qi'che'cheng
鸿丰集贸市场,hong'feng'ji'mao'shi'chang
红旗广场,hong'qi'guang'chang
红塔木业,hong'ta'mu'ye
机场路口,ji'chang'lu'kou
建材市场,jian'cai'shi'chang
检察院,jian'cha'yuan
建华园,jian'hua'yuan
交警大队,jiao'jing'da'dui
金岛花园,jin'dao'hua'yuan
金凤酒店,jin'feng'jiu'dian
金孔雀交运集团,jin'kong'que'jiao'yun'ji'tuan
客运南站,ke'yun'nan'zhan
兰花市场,lan'hua'shi'chang
林工商,lin'gong'shang
林源路,lin'yuan'lu
六十二医院,liu'shi'er'yi'yuan
龙山路,long'shan'lu
龙生大酒店,long'sheng'da'jiu'dian
龙旺井,long'wang'jing
路桥三公司住宿区,lu'qiao'san'gong'si'zhu'su'qu
绿岛公园,lv'dao'gong'yuan
麻鸡丫口,ma'ji'ya'kou
梅子湖公司,mei'zi'hu'gong'si
南阳高中,nan'yang'gao'zhong
炮团,pao'tuan
皮鞋厂,pi'xie'chang
普洱二中,pu'er'er'zhong
普洱师专,pu'er'shi'zhuan
普洱卫校,pu'er'wei'xiao
青松商场,qing'song'shang'chang
区疾控中心,qu'ji'kong'zhong'xin
区委党校,qu'wei'dang'xiao
区幼儿园,qu'you'er'yuan
区政府小区,qu'zheng'fu'xiao'qu
区职教中心,qu'zhi'jiao'zhong'xin
三家村,san'jia'cun
三木小区,san'mu'xiao'qu
森林公司,sen'lin'gong'si
圣安迪大酒店,sheng'an'di'da'jiu'dian
市便民服务中心,shi'bian'min'fu'wu'zhong'xin
市妇幼保健院,shi'fu'you'bao'jian'yuan
市国税局,shi'guo'shui'ju
世纪广场,shi'ji'guang'chang
市检验检疫局,shi'jian'yan'jian'yi'ju
市交通局,shi'jiao'tong'ju
石龙路,shi'long'lu
石龙路口,shi'long'lu'kou
市委党校路口,shi'wei'dang'xiao'lu'kou
市运政处,shi'yun'zheng'chu
市政府,shi'zheng'fu
市政协,shi'zheng'xie
市中医院,shi'zhong'yi'yuan
师专,shi'zhuan
师专老校区,shi'zhuan'lao'xiao'qu
曙光小区路口,shu'guang'xiao'qu'lu'kou
思江路口,si'jiang'lu'kou
思澜碑,si'lan'bei
思茅二小招呼站,si'mao'er'xiao'zhao'hu'zhan
思茅师专老校区,si'mao'shi'zhuan'lao'xiao'qu
思茅四小,si'mao'si'xiao
思茅四中,si'mao'si'zhong
思茅五小,si'mao'wu'xiao
思亭集贸市场,si'ting'ji'mao'shi'chang
思亭路,si'ting'lu
思小路口,si'xiao'lu'kou
松家龙,song'jia'long
天顺超市,tian'shun'chao'shi
污水处理厂,wu'shui'chu'li'chang
五一集贸市场,wu'yi'ji'mao'shi'chang
五一客运站,wu'yi'ke'yun'zhan
洗马河公园,xi'ma'he'gong'yuan
信房水库,xin'fang'shui'ku
畜牧场,xu'mu'chang
阳光新城,yang'guang'xin'cheng
野象雕塑环岛,ye'xiang'diao'su'huan'dao
义禾家具城,yi'he'jia'ju'cheng
一中实验中学,yi'zhong'shi'yan'zhong'xue
永信酒店,yong'xin'jiu'dian
园丁小区,yuan'ding'xiao'qu
云波幼儿园,yun'bo'you'er'yuan
职教中心,zhi'jiao'zhong'xin
种子站,zhong'zi'zhan
