霭霭桑柘墟,ai'ai'sang'zhe'xu
爱此宫商有真意,ai'ci'gong'shang'you'zhen'yi
爱公池馆得忘机,ai'gong'chi'guan'de'wang'ji
爱君古锦囊中句,ai'jun'gu'jin'nang'zhong'ju
爱其凌秋霜,ai'qi'ling'qiu'shuang
爱日,ai'ri
爱日负明义,ai'ri'fu'ming'yi
爱叹无时已,ai'tan'wu'shi'yi
爱闲能有几人来,ai'xian'neng'you'ji'ren'lai
哀贤亭,ai'xian'ting
爱云闲,ai'yun'xian
哀哉不能谋,ai'zai'bu'neng'mou
哀哉此无糗,ai'zai'ci'wu'qiu
爱子所守卓,ai'zi'suo'shou'zhuo
安得两黄鹄,an'de'liang'huang'hu
安得身如仓庾氏,an'de'shen'ru'cang'yu'shi
安得溪船问消息,an'de'xi'chuan'wen'xiao'xi
安得圆机者,an'de'yuan'ji'zhe
安丰张令修芍陂,an'feng'zhang'ling'xiu'shao'bei
安否常在耳,an'fou'chang'zai'er
安敢坐以秦为雌,an'gan'zuo'yi'qin'wei'ci
岸红归欲稠,an'hong'gui'yu'chou
鞍马东西鼓次休,an'ma'dong'xi'gu'ci'xiu
安能辨贤不,an'neng'bian'xian'bu
安能孤此意,an'neng'gu'ci'yi
安能久尘土,an'neng'jiu'chen'tu
安能问香积,an'neng'wen'xiang'ji
安能养志似曾参,an'neng'yang'zhi'si'zeng'shen
犴狱常纷纠,an'yu'chang'fen'jiu
岸帻诗成却叹嗟,an'ze'shi'cheng'que'tan'jie
安知汝为异,an'zhi'ru'wei'yi
傲兀至中昃,ao'wu'zhi'zhong'ze
坳中余宿润,ao'zhong'yu'su'run
罢病恐难瘳,ba'bing'kong'nan'chou
拔出飞鸟上,ba'chu'fei'niao'shang
八功德水,ba'gong'de'shui
八公山,ba'gong'shan
跋黄鲁直画,ba'huang'lu'zhi'hua
灞陵无高丘,ba'ling'wu'gao'qiu
霸气消磨不复存,ba'qi'xiao'mo'bu'fu'cun
拔取皆时髦,ba'qu'jie'shi'mao
罢弱安可生,ba'ruo'an'ke'sheng
把手湖上舟,ba'shou'hu'shang'zhou
把玩果心恻,ba'wan'guo'xin'ce
八月十九日试院梦冲卿,ba'yue'shi'jiu'ri'shi'yuan'meng'chong'qing
把盏祝公公莫拒,ba'zhan'zhu'gong'gong'mo'ju
败壁数峰连粉墨,bai'bi'shu'feng'lian'fen'mo
白发连苍髯,bai'fa'lian'cang'ran
白发望东南,bai'fa'wang'dong'nan
白发溪山如愿始,bai'fa'xi'shan'ru'yuan'shi
白发行藏空自感,bai'fa'xing'cang'kong'zi'gan
百工圣人为,bai'gong'sheng'ren'wei
白沟河边蕃塞地,bai'gou'he'bian'fan'sai'di
白沟行,bai'gou'xing
白鹤静无匹,bai'he'jing'wu'pi
白鹤声可怜,bai'he'sheng'ke'lian
白鹤吟示觉海元公,bai'he'yin'shi'jue'hai'yuan'gong
百鹤招不来,bai'he'zhao'bu'lai
百金聚一冶,bai'jin'ju'yi'ye
百马骄杂沓,bai'ma'jiao'za'ta
白马有悲送,bai'ma'you'bei'song
百亩中庭半是苔,bai'mu'zhong'ting'ban'shi'tai
百年颠倒如梦寐,bai'nian'dian'dao'ru'meng'mei
百年俯依随薪尽,bai'nian'fu'yi'sui'xin'jin
百年幅纸无所直,bai'nian'fu'zhi'wu'suo'zhi
百年夸夺终一丘,bai'nian'kua'duo'zhong'yi'qiu
百年文物士优游,bai'nian'wen'wu'shi'you'you
百年邂逅能多少,bai'nian'xie'hou'neng'duo'shao
百年心事不将迎,bai'nian'xin'shi'bu'jiang'ying
白鸥,bai'ou
白日不照物,bai'ri'bu'zhao'wu
白日帘垂坐寂寥,bai'ri'lian'chui'zuo'ji'liao
白日晒其昏,bai'ri'shai'qi'hun
白日未到扶桑间,bai'ri'wei'dao'fu'sang'jian
白日无履綦,bai'ri'wu'lv'qi
白日忆君聊远望,bai'ri'yi'jun'liao'yuan'wang
百舌枯头语更繁,bai'she'ku'tou'yu'geng'fan
白石冈头草木深,bai'shi'gang'tou'cao'mu'shen
百室无一盈,bai'shi'wu'yi'ying
百兽冬自暖,bai'shou'dong'zi'nuan
白首一山中,bai'shou'yi'shan'zhong
白头富贵何所用,bai'tou'fu'gui'he'suo'yong
白头富贵亦成空,bai'tou'fu'gui'yi'cheng'kong
白头想见江南,bai'tou'xiang'jian'jiang'nan
白头相就且欹眠,bai'tou'xiang'jiu'qie'qi'mian
白头追诵少年文,bai'tou'zhui'song'shao'nian'wen
白雾青烟入马蹄,bai'wu'qing'yan'ru'ma'ti
白下长干何可见,bai'xia'chang'gan'he'ke'jian
白下门东春水流,bai'xia'men'dong'chun'shui'liu
白小纷纷每散花,bai'xiao'fen'fen'mei'san'hua
百忧每多违,bai'you'mei'duo'wei
白玉菡萏吹高秋,bai'yu'han'dan'chui'gao'qiu
白月如日明房栊,bai'yue'ru'ri'ming'fang'long
白云,bai'yun
白云然师,bai'yun'ran'shi
白云御西风,bai'yun'yu'xi'feng
白云坐处龙池杳,bai'yun'zuo'chu'long'chi'yao
百谪难知亦我忧,bai'zhe'nan'zhi'yi'wo'you
白纻山,bai'zhu'shan
白纻众山顶,bai'zhu'zhong'shan'ding
颁布上所行,ban'bu'shang'suo'xing
班草数行衣上泪,ban'cao'shu'hang'yi'shang'lei
班春无助愧周任,ban'chun'wu'zhu'kui'zhou'ren
般尔相寻来,ban'er'xiang'xun'lai
半分残日带明霞,ban'fen'can'ri'dai'ming'xia
班行想望岁空多,ban'hang'xiang'wang'sui'kong'duo
半开半谢荆棘中,ban'kai'ban'xie'jing'ji'zhong
半山春晚即事,ban'shan'chun'wan'ji'shi
邦法难卤莽,bang'fa'nan'lu'mang
棒喝如今总不亲,bang'he'ru'jin'zong'bu'qin
褒拔元凯诛穷奇,bao'ba'yuan'kai'zhu'qiong'qi
宝车攒毂会东朝,bao'che'cuan'gu'hui'dong'chao
宝称中开移玉座,bao'cheng'zhong'kai'yi'yu'zuo
包畜万物兼,bao'chu'wan'wu'jian
雹大如拳死飞鸟,bao'da'ru'quan'si'fei'niao
鲍公水,bao'gong'shui
宝公塔,bao'gong'ta
抱金满箧人所寄,bao'jin'man'qie'ren'suo'ji
暴露神灵难寄托,bao'lu'shen'ling'nan'ji'tuo
宝势旁连大江起,bao'shi'pang'lian'da'jiang'qi
饱食穷年报礼虚,bao'shi'qiong'nian'bao'li'xu
鲍叔亦我知,bao'shu'yi'wo'zhi
