阿们颂,a'men'song
爱不弃我歌,ai'bu'qi'wo'ge
爱传福音歌,ai'chuan'fu'yin'ge
爱的诗歌,ai'de'shi'ge
爱何等大恩何等深,ai'he'deng'da'en'he'deng'shen
爱人歌,ai'ren'ge
爱筵我尝歌,ai'yan'wo'chang'ge
爱主更深歌,ai'zhu'geng'shen'ge
安静近主歌,an'jing'jin'zhu'ge
安居主怀歌,an'ju'zhu'huai'ge
安息圣日歌,an'xi'sheng'ri'ge
白超乎雪歌,bai'chao'hu'xue'ge
宝贵血泉歌,bao'gui'xue'quan'ge
宝架歌,bao'jia'ge
宝架清影歌,bao'jia'qing'ying'ge
宝血宏恩歌,bao'xue'hong'en'ge
本分歌,ben'fen'ge
必须重生歌,bi'xu'chong'sheng'ge
必须儆醒歌,bi'xu'jing'xing'ge
擘开生命饼歌,bo'kai'sheng'ming'bing'ge
播种比喻歌,bo'zhong'bi'yu'ge
不要作糊涂人,bu'yao'zuo'hu'tu'ren
不住祈祷歌,bu'zhu'qi'dao'ge
曾否就主歌,ceng'fou'jiu'zhu'ge
晨星歌,chen'xing'ge
成圣工夫歌,cheng'sheng'gong'fu'ge
诚实话歌,cheng'shi'hua'ge
称颂崇拜歌,cheng'song'chong'bai'ge
城外青山歌,cheng'wai'qing'shan'ge
称谢歌,cheng'xie'ge
创造奇功歌,chuang'zao'qi'gong'ge
吹气歌,chui'qi'ge
慈悲圣父歌,ci'bei'sheng'fu'ge
慈悲稳定歌,ci'bei'wen'ding'ge
赐福救主歌,ci'fu'jiu'zhu'ge
赐福如雨歌,ci'fu'ru'yu'ge
慈父上帝歌,ci'fu'shang'di'ge
慈光歌,ci'guang'ge
慈仁圣灵歌,ci'ren'sheng'ling'ge
慈声呼召歌,ci'sheng'hu'zhao'ge
赐我圣经歌,ci'wo'sheng'jing'ge
赐下真光,ci'xia'zhen'guang
大地风光歌,da'di'feng'guang'ge
大开城门歌,da'kai'cheng'men'ge
大启乐园歌,da'qi'le'yuan'ge
大秦景教三威度赞,da'qin'jing'jiao'san'wei'du'zan
大山可以挪开,da'shan'ke'yi'nuo'kai
大哉圣名歌,da'zai'sheng'ming'ge
当与蒙召的恩相称,dang'yu'meng'zhao'de'en'xiang'chen
祷告良辰歌,dao'gao'liang'chen'ge
道路真理生命歌,dao'lu'zhen'li'sheng'ming'ge
得胜君王歌,de'sheng'jun'wang'ge
等主回来歌,deng'zhu'hui'lai'ge
都归耶稣歌,dou'gui'ye'su'ge
都来颂,dou'lai'song
对主你如何,dui'zhu'ni'ru'he
恩光歌,en'guang'ge
恩如雨沛降,en'ru'yu'pei'jiang
恩友歌,en'you'ge
分别是非,fen'bie'shi'fei
奋起歌,fen'qi'ge
奉献全生歌,feng'xian'quan'sheng'ge
奉献身心歌,feng'xian'shen'xin'ge
复活良辰歌,fu'huo'liang'chen'ge
复活喜讯歌,fu'huo'xi'xun'ge
复兴主工歌,fu'xing'zhu'gong'ge
父在我们中间,fu'zai'wo'men'zhong'jian
父旨成全歌,fu'zhi'cheng'quan'ge
赶快工作歌,gan'kuai'gong'zuo'ge
橄榄山头歌,gan'lan'shan'tou'ge
感谢主恩歌,gan'xie'zhu'en'ge
高唱主名歌,gao'chang'zhu'ming'ge
各有十架歌,ge'you'shi'jia'ge
跟随我歌,gen'sui'wo'ge
恭敬赞美歌,gong'jing'zan'mei'ge
恭行敬礼歌,gong'xing'jing'li'ge
谷中百合花歌,gu'zhong'bai'he'hua'ge
广广似洋无边,guang'guang'si'yang'wu'bian
光明处所歌,guang'ming'chu'suo'ge
光照小地方歌,guang'zhao'xiao'di'fang'ge
归回父家歌,gui'hui'fu'jia'ge
归主蒙恩歌,gui'zhu'meng'en'ge
哈利路亚赞美耶稣,ha'li'lu'ya'zan'mei'ye'su
号筒吹响歌,hao'tong'chui'xiang'ge
贺他为王歌,he'ta'wei'wang'ge
虹霓雨点歌,hong'ni'yu'dian'ge
欢乐服务歌,huan'le'fu'wu'ge
欢乐婚姻歌,huan'le'hun'yin'ge
欢乐佳音歌,huan'le'jia'yin'ge
欢乐颂扬歌,huan'le'song'yang'ge
欢乐无穷尽歌,huan'le'wu'qiong'jin'ge
黄昏崇拜歌,huang'hun'chong'bai'ge
活出基督歌,huo'chu'ji'du'ge
活时他爱我,huo'shi'ta'ai'wo
基督复生歌,ji'du'fu'sheng'ge
基督教会歌,ji'du'jiao'hui'ge
基督永长久歌,ji'du'yong'chang'jiu'ge
坚固保障歌,jian'gu'bao'zhang'ge
降恩之主歌,jiang'en'zhi'zhu'ge
将见我王歌,jiang'jian'wo'wang'ge
教会根基歌,jiao'hui'gen'ji'ge
教会三自歌,jiao'hui'san'zi'ge
教会我所爱歌,jiao'hui'wo'suo'ai'ge
接受我心,jie'shou'wo'xin
今到主殿歌,jin'dao'zhu'dian'ge
近乎上帝之心歌,jin'hu'shang'di'zhi'xin'ge
紧靠上主歌,jin'kao'shang'zhu'ge
进我的心,jin'wo'de'xin
今我有快乐,jin'wo'you'kuai'le
尽心尽意爱众人歌,jin'xin'jin'yi'ai'zhong'ren'ge
今要主自己歌,jin'yao'zhu'zi'ji'ge
近主十架歌,jin'zhu'shi'jia'ge
敬老尊长歌,jing'lao'zun'zhang'ge
敬听恩言歌,jing'ting'en'yan'ge
救世天粮歌,jiu'shi'tian'liang'ge
旧约目录歌,jiu'yue'mu'lu'ge
救主升天歌,jiu'zhu'sheng'tian'ge
聚会归主名下歌,ju'hui'gui'zhu'ming'xia'ge
君王诞生歌,jun'wang'dan'sheng'ge
靠恩得救歌,kao'en'de'jiu'ge
靠主膀臂歌,kao'zhu'bang'bi'ge
靠主有福各歌,kao'zhu'you'fu'ge'ge
可爱美名,ke'ai'mei'ming
