阿初,a'chu
阿蛋,a'dan
阿伏兔,a'fu'tu
阿高,a'gao
阿国,a'guo
啊哈哈,a'ha'ha
啊哈哈君,a'ha'ha'jun
阿良,a'liang
阿鲁,a'lu
阿妙,a'miao
阿妙小姐,a'miao'xiao'jie
阿通,a'tong
阿通用语,a'tong'yong'yu
阿岩,a'yan
阿银,a'yin
爱就是胜利,ai'jiu'shi'sheng'li
艾利撒比斯,ai'li'sa'bi'si
矮杉,ai'shan
矮杉晋助,ai'shan'jin'zhu
暗夜的虫子爱光线,an'ye'de'chong'zi'ai'guang'xian
巴比伦塔,ba'bi'lun'ta
巴菲冷糕,ba'fei'leng'gao
八惠,ba'hui
八吉娜,ba'ji'na
八郎,ba'lang
白痴皇子,bai'chi'huang'zi
白痴王子,bai'chi'wang'zi
白丁字裤西乡,bai'ding'zi'ku'xi'xiang
白血球军,bai'xue'qiu'jun
白血球篇,bai'xue'qiu'pian
白血球王,bai'xue'qiu'wang
白夜叉,bai'ye'cha
白银,bai'yin
百音,bai'yin
白羽凌风,bai'yu'ling'feng
坂本,ban'ben
坂本辰马,ban'ben'chen'ma
坂本龙马,ban'ben'long'ma
坂本先生,ban'ben'xian'sheng
坂本真绫,ban'ben'zhen'ling
坂高,ban'gao
阪口,ban'kou
阪口大助,ban'kou'da'zhu
坂口候一,ban'kou'hou'yi
坂陆,ban'lu
坂田,ban'tian
坂田金时,ban'tian'jin'shi
坂田律师,ban'tian'lv'shi
坂田先生,ban'tian'xian'sheng
坂田银时,ban'tian'yin'shi
坂银,ban'yin
半遮面,ban'zhe'mian
北大路,bei'da'lu
北大路齐,bei'da'lu'qi
北大路斋,bei'da'lu'zhai
北斗心轩,bei'dou'xin'xuan
笔友篇,bi'you'pian
彪悍,biao'han
不要借酒势任意妄为,bu'yao'jie'jiu'shi'ren'yi'wang'wei
不要输给邪门歪道,bu'yao'shu'gei'xie'men'wai'dao
不准在铁路上玩,bu'zhun'zai'tie'lu'shang'wan
藏长,cang'chang
藏长当马,cang'chang'dang'ma
厕所大战,ce'suo'da'zhan
茶风林,cha'feng'lin
娼妇,chang'fu
娼妇君,chang'fu'jun
长谷川,chang'gu'chuan
长谷川初,chang'gu'chuan'chu
长谷川平藏,chang'gu'chuan'ping'cang
长谷川泰三,chang'gu'chuan'tai'san
晨间美酒别有风味,chen'jian'mei'jiu'bie'you'feng'wei
辰马,chen'ma
橙姬,cheng'ji
成田,cheng'tian
成田剑,cheng'tian'jian
成田纱矢香,cheng'tian'sha'shi'xiang
冲高,chong'gao
冲桂,chong'gui
冲山,chong'shan
冲神,chong'shen
冲田,chong'tian
冲田三叶,chong'tian'san'ye
冲田总司,chong'tian'zong'si
冲田总悟,chong'tian'zong'wu
沖田總悟,chong'tian'zong'wu
冲土,chong'tu
冲威,chong'wei
冲银,chong'yin
川澄绫子,chuan'cheng'ling'zi
串子,chuan'zi
春雨,chun'yu
春雨海贼,chun'yu'hai'zei
茨菇,ci'gu
次郎长,ci'lang'chang
茨木,ci'mu
聪明反被聪明误,cong'ming'fan'bei'cong'ming'wu
葱头,cong'tou
醋昆布,cu'kun'bu
醋昆布女孩,cu'kun'bu'nv'hai
醋昆布小鬼,cu'kun'bu'xiao'gui
村麻纱,cun'ma'sha
村田,cun'tian
村田铁矢,cun'tian'tie'shi
村田铁子,cun'tian'tie'zi
搓衣板平胸女,cuo'yi'ban'ping'xiong'nv
大西,da'xi
大西恒平,da'xi'heng'ping
大猩猩近藤,da'xing'xing'jin'teng
大冢,da'zhong
大冢芳忠,da'zhong'fang'zhong
大助,da'zhu
蛋黄酱,dan'huang'jiang
蛋黄酱控,dan'huang'jiang'kong
蛋黄酱十三,dan'huang'jiang'shi'san
蛋黄酱星人,dan'huang'jiang'xing'ren
当马,dang'ma
岛本须美,dao'ben'xu'mei
道满,dao'man
德川茂茂,de'chuan'mao'mao
的话真多,de'hua'zhen'duo
德莫妮翁同学,de'mo'ni'weng'tong'xue
登凯,deng'kai
登势,deng'shi
登势大婶,deng'shi'da'shen
登势老板娘,deng'shi'lao'ban'niang
登势老太婆,deng'shi'lao'tai'po
登势婆婆,deng'shi'po'po
地雷亚,di'lei'ya
地球防卫基地,di'qiu'fang'wei'ji'di
地球防卫军,di'qiu'fang'wei'jun
地球外生物,di'qiu'wai'sheng'wu
地愚藏,di'yu'cang
定春,ding'chun
定春殿,ding'chun'dian
钉宫,ding'gong
钉宫病,ding'gong'bing
钉宫病毒,ding'gong'bing'du
钉宫病患,ding'gong'bing'huan
钉宫理惠,ding'gong'li'hui
定伊,ding'yi
东城,dong'cheng
东城步,dong'cheng'bu
动乱篇,dong'luan'pian
东美,dong'mei
洞爷湖,dong'ye'hu
渡边,du'bian
渡边明乃,du'bian'ming'nai
独处空间也很重要,du'chu'kong'jian'ye'hen'zhong'yao
队士,dui'shi
队长,dui'zhang
多串,duo'chuan
多串君,duo'chuan'jun
颚美,e'mei
耳机君,er'ji'jun
耳机男,er'ji'nan
耳机万,er'ji'wan
耳机先生,er'ji'xian'sheng
耳机兄,er'ji'xiong
二木二郎,er'mu'er'lang
番茄酱控,fan'qie'jiang'kong
芳一,fang'yi
芳一殿,fang'yi'dian
废柴男,fei'chai'nan
废刀令,fei'dao'ling
绯色晴空,fei'se'qing'kong
服部全藏,fu'bu'quan'cang
副长,fu'chang
腹黑,fu'hei
芙蓉,fu'rong
芙蓉篇,fu'rong'pian
甘党,gan'dang
感电血,gan'dian'xue
干涉打架是很危险的,gan'she'da'jia'shi'hen'wei'xian'de
冈田,gang'tian
冈田似藏,gang'tian'si'cang
高冲,gao'chong
高桂,gao'gui
高桥,gao'qiao
高桥美佳子,gao'qiao'mei'jia'zi
高杉,gao'shan
高杉晋助,gao'shan'jin'zhu
高杉晋作,gao'shan'jin'zuo
高松蜀黍,gao'song'shu'shu
高松信司,gao'song'xin'si
高天原,gao'tian'yuan
高土,gao'tu
高屋八兵卫,gao'wu'ba'bing'wei
高小三,gao'xiao'san
高小杉,gao'xiao'shan
高银,gao'yin
高仔,gao'zai
歌舞伎,ge'wu'ji
歌舞伎町,ge'wu'ji'ding
歌舞伎町女王,ge'wu'ji'ding'nv'wang
歌舞伎町四天王,ge'wu'ji'ding'si'tian'wang
工场长,gong'chang'chang
狗粮星人,gou'liang'xing'ren
怪人谋略家,guai'ren'mou'lue'jia
关俊彦,guan'jun'yan
光光,guang'guang
鬼兵队,gui'bing'dui
桂几,gui'ji
桂姬,gui'ji
龟甲不如花甲,gui'jia'bu'ru'hua'jia
龟梨,gui'li
鬼面丸,gui'mian'wan
桂强化月,gui'qiang'hua'yue
桂神,gui'shen
桂先生,gui'xian'sheng
桂小太郎,gui'xiao'tai'lang
桂小五郎,gui'xiao'wu'lang
桂伊,gui'yi
桂银,gui'yin
鬼之副长,gui'zhi'fu'chang
哈打王子,ha'da'wang'zi
哈达王子,ha'da'wang'zi
哈哈君,ha'ha'jun
海盗船长,hai'dao'chuan'zhang
贺年卡要用墨笔写,he'nian'ka'yao'yong'mo'bi'xie
河上,he'shang
河上万齐,he'shang'wan'qi
河上万斋,he'shang'wan'zhai
河上彦斋,he'shang'yan'zhai
黑船沉没时也很壮观,hei'chuan'chen'mo'shi'ye'hen'zhuang'guan
红色子弹,hong'se'zi'dan
红樱,hong'ying
红樱篇,hong'ying'pian
猴子猎人篇,hou'zi'lie'ren'pian
狐犬,hu'quan
花野记者,hua'ye'ji'zhe
花野主播,hua'ye'zhu'bo
火锅即是人生之缩影,huo'guo'ji'shi'ren'sheng'zhi'suo'ying
火锅争夺战,huo'guo'zheng'duo'zhan
火腿子,huo'tui'zi
吉村,ji'cun
吉村折太郎,ji'cun'zhe'tai'lang
鸡蛋烧,ji'dan'shao
激辣仙贝,ji'la'xian'bei
激辣鲜贝,ji'la'xian'bei
机器女仆,ji'qi'nv'pu
几松,ji'song
几松殿,ji'song'dian
吉田松阳,ji'tian'song'yang
吉田松阴,ji'tian'song'yin
吉野裕行,ji'ye'yu'xing
吉原的太阳,ji'yuan'de'tai'yang
吉原篇,ji'yuan'pian
吉原炎上篇,ji'yuan'yan'shang'pian
假发君,jia'fa'jun
假发小太郎,jia'fa'xiao'tai'lang
假发子,jia'fa'zi
甲斐田裕子,jia'fei'tian'yu'zi
加农炮,jia'nong'pao
剑术名门,jian'shu'ming'men
监修,jian'xiu
坚硬如铁的街道,jian'ying'ru'tie'de'jie'dao
江川央生,jiang'chuan'yang'sheng
江户第一发明家,jiang'hu'di'yi'fa'ming'jia
江户第一吐槽,jiang'hu'di'yi'tu'cao
杰士塔威,jie'shi'ta'wei
结野,jie'ye
结野克莉丝特,jie'ye'ke'li'si'te
结野晴明,jie'ye'qing'ming
结野主播,jie'ye'zhu'bo
近妙,jin'miao
金时,jin'shi
金太郎,jin'tai'lang
近藤,jin'teng
近藤老大,jin'teng'lao'da
近藤猩猩,jin'teng'xing'xing
近藤勋,jin'teng'xun
近藤勲,jin'teng'xun
近藤勇,jin'teng'yong
近土,jin'tu
近猿,jin'yuan
晋助,jin'zhu
京次郎,jing'ci'lang
井上源二郎,jing'shang'yuan'er'lang
九兵卫,jiu'bing'wei
九妙,jiu'miao
酒与女人要一并注意,jiu'yu'nv'ren'yao'yi'bing'zhu'yi
卷子,juan'zi
俊彦叔,jun'yan'shu
卡古拉,ka'gu'la
卡古拉酱,ka'gu'la'jiang
卡莎莲,ka'sha'lian
凯登,kai'deng
凯屁,kai'pi
凯萨琳,kai'sa'lin
凯瑟琳,kai'se'lin
