安全系数,an'quan'xi'shu
半导体元件,ban'dao'ti'yuan'jian
板料冲压,ban'liao'chong'ya
变速器,bian'su'qi
变速箱,bian'su'xiang
变速箱体,bian'su'xiang'ti
变形,bian'xing
变形力,bian'xing'li
变压器,bian'ya'qi
标准件,biao'zhun'jian
不定积分,bu'ding'ji'fen
步进电机,bu'jin'dian'ji
残余应力,can'yu'ying'li
插齿,cha'chi
超声传感器,chao'sheng'chuan'gan'qi
车床,che'chuang
车刀,che'dao
车架,che'jia
车间,che'jian
车削,che'xiao
尺寸标注,chi'cun'biao'zhu
齿轮,chi'lun
齿轮齿条,chi'lun'chi'tiao
齿轮加工,chi'lun'jia'gong
触发器,chu'fa'qi
传动,chuan'dong
伺服电机,ci'fu'dian'ji
磁路,ci'lu
粗加工,cu'jia'gong
淬火,cui'huo
淬火冷却,cui'huo'leng'que
脆性材料,cui'xing'cai'liao
挡板,dang'ban
导轨,dao'gui
刀尖,dao'jian
倒角,dao'jiao
刀具,dao'ju
导数微分,dao'shu'wei'fen
电动机,dian'dong'ji
电化学腐蚀,dian'hua'xue'fu'shi
电火花加工,dian'huo'hua'jia'gong
电火花线切割加工,dian'huo'hua'xian'qie'ge'jia'gong
电路,dian'lu
垫片,dian'pian
垫圈,dian'quan
调质,diao'zhi
定积分,ding'ji'fen
定位,ding'wei
定义域,ding'yi'yu
动力学,dong'li'xue
动量,dong'liang
动能,dong'neng
断裂,duan'lie
二阶行列式,er'jie'hang'lie'shi
阀门,fa'men
发生器,fa'sheng'qi
范成法,fan'cheng'fa
反馈,fan'kui
分析力学,fen'xi'li'xue
腐蚀,fu'shi
概率,gai'lv
刚度,gang'du
刚度准则,gang'du'zhun'ze
工程技术人员,gong'cheng'ji'shu'ren'yuan
共轭曲线,gong'e'qu'xian
工件,gong'jian
功率,gong'lv
攻丝,gong'si
工业造型设计,gong'ye'zao'xing'she'ji
固态相变,gu'tai'xiang'bian
滚齿,gun'chi
滚动轴承,gun'dong'zhou'cheng
过盈配合,guo'ying'pei'he
合成进给运动,he'cheng'jin'ji'yun'dong
合成切削运动,he'cheng'qie'xiao'yun'dong
合成切削运动方向,he'cheng'qie'xiao'yun'dong'fang'xiang
合成纤维,he'cheng'xian'wei
桁架,heng'jia
后角,hou'jiao
滑动轴承,hua'dong'zhou'cheng
画法几何,hua'fa'ji'he
回火,hui'huo
集成电路,ji'cheng'dian'lu
机床,ji'chuang
机床夹具,ji'chuang'jia'ju
机电一体化,ji'dian'yi'ti'hua
几何形状,ji'he'xing'zhuang
技术要求,ji'shu'yao'qiu
机械加工余量,ji'xie'jia'gong'yu'liang
机械零件,ji'xie'ling'jian
机械能守恒,ji'xie'neng'shou'heng
机械制图,ji'xie'zhi'tu
基准,ji'zhun
加工,jia'gong
加工中心,jia'gong'zhong'xin
剪切,jian'qie
绞刀,jiao'dao
绞孔,jiao'kong
交流电路,jiao'liu'dian'lu
结合剂,jie'he'ji
截面,jie'mian
介质,jie'zhi
进给方向,jin'ji'fang'xiang
进给运动,jin'ji'yun'dong
金属工艺学,jin'shu'gong'yi'xue
金属切削,jin'shu'qie'xiao
精度,jing'du
精加工,jing'jia'gong
静力学,jing'li'xue
卡盘,ka'pan
可编程序逻辑控制器,ke'bian'cheng'xu'luo'ji'kong'zhi'qi
可靠性,ke'kao'xing
孔加工,kong'jia'gong
拉床,la'chuang
拉孔,la'kong
拉伸,la'shen
冷加工,leng'jia'gong
离合器,li'he'qi
离散信号,li'san'xin'hao
联结,lian'jie
联轴器,lian'zhou'qi
零件图,ling'jian'tu
流体动力学,liu'ti'dong'li'xue
流体力学,liu'ti'li'xue
龙门刨削,long'men'bao'xue
螺钉,luo'ding
逻辑代数,luo'ji'dai'shu
逻辑电路,luo'ji'dian'lu
螺纹,luo'wen
螺纹加工,luo'wen'jia'gong
螺旋,luo'xuan
脉冲波形,mai'chong'bo'xing
毛坯,mao'pi
门电路,men'dian'lu
摩擦,mo'ca
磨床,mo'chuang
磨粒,mo'li
磨损,mo'sun
耐用度,nai'yong'du
内力,nei'li
内圆磨削,nei'yuan'mo'xue
逆矩阵,ni'ju'zhen
扭力,niu'li
扭转,niu'zhuan
排列组合,pai'lie'zu'he
皮带,pi'dai
疲劳极限,pi'lao'ji'xian
偏微分,pian'wei'fen
频率特性,pin'lv'te'xing
平刀,ping'dao
平底刀,ping'di'dao
平面磨削,ping'mian'mo'xue
剖视图,pou'shi'tu
气动夹紧,qi'dong'jia'jin
汽缸,qi'gang
气体状态方程,qi'ti'zhuang'tai'fang'cheng
气压,qi'ya
前刀面,qian'dao'mian
千分尺,qian'fen'chi
钳工,qian'gong
前角,qian'jiao
强度,qiang'du
切线,qie'xian
切削深度,qie'xiao'shen'du
求导,qiu'dao
球刀,qiu'dao
曲柄,qu'bing
曲率,qu'lv
热处理,re'chu'li
热加工,re'jia'gong
三相交流电,san'xiang'jiao'liu'dian
砂轮,sha'lun
摄像头,she'xiang'tou
渗碳,shen'tan
势能,shi'neng
视图,shi'tu
失效,shi'xiao
十字结联轴节,shi'zi'jie'lian'zhou'jie
数模,shu'mo
数学模型,shu'xue'mo'xing
丝杠,si'gang
塑性变形,su'xing'bian'xing
随机变量,sui'ji'bian'liang
随机信号,sui'ji'xin'hao
弹簧,tan'huang
弹性,tan'xing
镗床,tang'chuang
陶瓷,tao'ci
套筒,tao'tong
投影,tou'ying
凸轮,tu'lun
退火,tui'huo
脱碳,tuo'tan
外圆磨削,wai'yuan'mo'xue
弯曲应力,wan'qu'ying'li
位移,wei'yi
稳定性,wen'ding'xing
蜗杆蜗轮,wo'gan'wo'lun
误差,wu'cha
铣床,xi'chuang
铣刀,xi'dao
铣削,xi'xiao
线性方程组,xian'xing'fang'cheng'zu
相图,xiang'tu
响应,xiang'ying
斜齿圆柱齿轮,xie'chi'yuan'zhu'chi'lun
虚约束,xu'yue'shu
悬架,xuan'jia
压模,ya'mo
压缩,ya'suo
氧化,yang'hua
摇杆,yao'gan
液压,ye'ya
液压泵,ye'ya'beng
液压传动机构,ye'ya'chuan'dong'ji'gou
液压驱动泵,ye'ya'qu'dong'beng
异步电动机,yi'bu'dian'dong'ji
硬度,ying'du
应力,ying'li
游标卡尺,you'biao'ka'chi
优化设计,you'hua'she'ji
有色金属,you'se'jin'shu
有限元,you'xian'yuan
余子式,yu'zi'shi
圆鼻刀,yuan'bi'dao
圆刀,yuan'dao
运动简图,yun'dong'jian'tu
运动学,yun'dong'xue
载荷,zai'he
正火,zheng'huo
正弦形的,zheng'xian'xing'de
直齿圆柱齿轮,zhi'chi'yuan'zhu'chi'lun
直齿锥齿轮,zhi'chi'zhui'chi'lun
制动器,zhi'dong'qi
直流电源,zhi'liu'dian'yuan
值域,zhi'yu
中心钻,zhong'xin'zuan
轴线,zhou'xian
主运动,zhu'yun'dong
主运动方向,zhu'yun'dong'fang'xiang
铸造,zhu'zao
主轴,zhu'zhou
主轴箱,zhu'zhou'xiang
转向器,zhuan'xiang'qi
装配,zhuang'pei
装配图,zhuang'pei'tu
组件,zu'jian
钻床,zuan'chuang
钻削镗削,zuan'xue'tang'xue
