阿道,a'dao
阿地瞿多译师,a'di'qu'duo'yi'shi
阿底峡,a'di'xia
阿底峡尊者,a'di'xia'zun'zhe
阿阇黎俱俱黎波,a'du'li'ju'ju'li'bo
阿阇黎龙树,a'du'li'long'shu
阿阇黎毗流波,a'du'li'pi'liu'bo
阿阇黎深意,a'du'li'shen'yi
阿阇黎行者,a'du'li'xing'zhe
阿格旺波尊者,a'ge'wang'bo'zun'zhe
阿果洛桑强巴饶杰,a'guo'luo'sang'qiang'ba'rao'jie
阿果南喀森格,a'guo'nan'ka'sen'ge
阿嘉罗桑嘉央嘉措,a'jia'luo'sang'jia'yang'jia'cuo
阿迦曼,a'jia'man
阿姜查,a'jiang'cha
阿姜达摩答罗,a'jiang'da'mo'da'luo
阿姜摩诃布瓦,a'jiang'mo'he'bu'wa
阿姜念,a'jiang'nian
阿姜朱连,a'jiang'zhu'lian
阿津达,a'jin'da
阿离耶跋摩,a'li'ye'ba'mo
阿莽班智达贡却坚赞,a'mang'ban'zhi'da'gong'que'jian'zan
阿秘特尊者,a'mi'te'zun'zhe
阿那摩低,a'na'mo'di
阿难,a'nan
阿南科,a'nan'ke
阿难尊者结集三藏,a'nan'zun'zhe'jie'ji'san'zang
阿曲尊者,a'qu'zun'zhe
阿柔仓洛桑隆多丹贝坚赞,a'rou'cang'luo'sang'long'duo'dan'bei'jian'zan
阿氏多尊者,a'shi'duo'zun'zhe
阿秃师,a'tu'shi
阿旺罗桑丹白坚赞,a'wang'luo'sang'dan'bai'jian'zan
阿旺洛桑丹贝坚赞,a'wang'luo'sang'dan'bei'jian'zan
阿旺云登桑布法王,a'wang'yun'deng'sang'bu'fa'wang
阿悉多伽那,a'xi'duo'ga'na
阿育王参礼优波鞠多,a'yu'wang'can'li'you'bo'ju'duo
阿育王造塔缘起,a'yu'wang'zao'ta'yuan'qi
阿渣雅移喜杨,a'zha'ya'yi'xi'yang
阿知活佛略传,a'zhi'huo'fo'lue'zhuan
阿专师,a'zhuan'shi
阿卓基,a'zhuo'ji
阿宗江嘎仁波切,a'zong'jiang'ga'ren'bo'qie
阿宗珠巴仁波切土丹白玛逞列,a'zong'zhu'ba'ren'bo'qie'tu'dan'bai'ma'cheng'lie
阿宗珠巴卓兑巴沃多杰,a'zong'zhu'ba'zhuo'dui'ba'wo'duo'jie
阿足师,a'zu'shi
爱同四,ai'tong'si
安柏克博士,an'bai'ke'bo'shi
安禅师,an'chan'shi
岸禅师,an'chan'shi
安国,an'guo
安含,an'han
安慧则,an'hui'ze
安静,an'jing
安廪,an'lin
安廪法师,an'lin'fa'shi
安令首,an'ling'shou
安民,an'min
安清,an'qing
案山吉道,an'shan'ji'dao
安生塑真容菩萨,an'sheng'su'zhen'rong'pu'sa
安世高,an'shi'gao
安世高大师,an'shi'gao'da'shi
安息沙门昙谛,an'xi'sha'men'tan'di
安阳沮渠侯,an'yang'ju'qu'hou
安永,an'yong
安元,an'yuan
庵元禅师,an'yuan'chan'shi
安岳了悟,an'yue'liao'wu
安章竹巴,an'zhang'zhu'ba
昂旺敦振,ang'wang'dun'zhen
昂旺朗吉堪布,ang'wang'lang'ji'kan'bu
