俺到,an'dao
安逸,an'yi
坝坝,ba'ba
粑粑,ba'ba
巴巴掌,ba'ba'zhang
巴到,ba'dao
霸道惨老,ba'dao'can'lao
霸道惨了,ba'dao'can'le
巴到起,ba'dao'qi
巴到烫,ba'dao'tang
耙和,ba'he
耙红苕,ba'hong'shao
耙唧唧,ba'ji'ji
巴适,ba'shi
巴适惨老,ba'shi'can'lao
巴适惨了,ba'shi'can'le
巴心不得,ba'xin'bu'de
半截幺爸,ban'jie'yao'ba
板旋儿,ban'xuan'er
板眼,ban'yan
板扎,ban'zha
半中拦腰,ban'zhong'lan'yao
棒棒儿,bang'bang'er
棒棒鸡,bang'bang'ji
帮硬,bang'ying
包包白,bao'bao'bai
宝戳戳的,bao'chuo'chuo'de
暴挫,bao'cuo
暴撮,bao'cuo
宝得有盐有味,bao'dei'you'yan'you'wei
苞谷,bao'gu
宝批戳戳,bao'pi'chuo'chuo
宝批龙,bao'pi'long
宝器,bao'qi
宝气,bao'qi
暴眼,bao'yan
杯话,bei'hua
背油,bei'you
不摆了,bu'bai'le
不存在,bu'cun'zai
不存在撒,bu'cun'zai'sa
不经事,bu'jing'shi
不落教,bu'luo'jiao
不拗,bu'niu
不球懂,bu'qiu'dong
不甩你,bu'shuai'ni
不要拗,bu'yao'niu
踩假水,cai'jia'shui
惨老,can'lao
螬虫,cao'chong
操哥,cao'ge
叉叉裤,cha'cha'ku
铲铲,chan'chan
铲耳屎,chan'er'shi
铲你两耳屎,chan'ni'liang'er'shi
铲叶子,chan'ye'zi
扯把子,che'ba'zi
车笔刀,che'bi'dao
扯得很,che'de'hen
扯个幌子,che'ge'huang'zi
扯拐,che'guai
扯谎撩白,che'huang'liao'bai
扯筋,che'jin
扯马股,che'ma'gu
扯仆汉,che'pu'han
琛过来,chen'guo'lai
琛过去,chen'guo'qu
撑花,cheng'hua
称唤,cheng'huan
城墙倒拐,cheng'qiang'dao'guai
逞下去,cheng'xia'qu
撑子,cheng'zi
吃多球了,chi'duo'qiu'le
吃嘎嘎,chi'ga'ga
痴过来,chi'guo'lai
痴过去,chi'guo'qu
吃胡汉山,chi'hu'han'shan
吃莽莽,chi'mang'mang
吃皮,chi'pi
冲壳子,chong'ke'zi
重庆言子,chong'qing'yan'zi
锄脱,chu'tuo
除脱,chu'tuo
闯你妈个鬼哟,chuang'ni'ma'ge'gui'yo
吹壳子,chui'ke'zi
吹垮垮,chui'kua'kua
搓甲甲,cuo'jia'jia
搭巴巴车,da'ba'ba'che
打巴壁,da'ba'bi
搭巴壁,da'ba'bi
打摆子,da'bai'zi
打饱嗝,da'bao'ge
打标枪,da'biao'qiang
打锤,da'chui
打得焦湿,da'de'jiao'shi
打飞白,da'fei'bai
搭飞白,da'fei'bai
打干帮,da'gan'bang
搭个巴壁,da'ge'ba'bi
打喝害,da'he'hai
打黑猫,da'hei'mao
打豁害,da'huo'hai
打架郭孽,da'jia'guo'nie
打平伙,da'ping'huo
搭扑爬,da'pu'pa
打手冲,da'shou'chong
打甩手,da'shuai'shou
打望,da'wang
打王逛,da'wang'guang
打牙祭,da'ya'ji
逮猫儿,dai'mao'er
逮猫猫,dai'mao'mao
凼凼,dang'dang
倒拐,dao'guai
到拐子,dao'guai'zi
到栽盅,dao'zai'zhong
登读,deng'du
灯二个麻汤,deng'er'ge'ma'tang
等哈哈儿,deng'ha'ha'er
灯晃,deng'huang
等一哈儿,deng'yi'ha'er
低低嘎嘎,di'di'ga'ga
低低噶噶儿,di'di'ga'ga'er
抵拢,di'long
点灯儿,dian'deng'er
丁丁猫儿,ding'ding'mao'er
定子,ding'zi
斗马股,dou'ma'gu
逗是,dou'shi
读脚,du'jiao
肚浪皮,du'lang'pi
短处处,duan'chu'chu
对老,dui'lao
对头,dui'tou
恶暴暴的,e'bao'bao'de
恶造造的,e'zao'zao'de
摁脚,en'jiao
翻羊角砖儿,fan'yang'jiao'zhuan'er
烦造造,fan'zao'zao
方老壳,fang'lao'ke
方脑壳,fang'nao'ke
飞叉叉的,fei'cha'cha'de
肥肠血旺,fei'chang'xue'wang
肥胴胴,fei'dong'dong
肥咚咚,fei'dong'dong
费沙皮了,fei'sha'pi'le
风车车,feng'che'che
疯批拾吊,feng'pi'shi'diao
拂开,fu'kai
旮旮角角,ga'ga'jiao'jiao
该背时,gai'bei'shi
改大手,gai'da'shou
改个手,gai'ge'shou
改手,gai'shou
该死鸡儿朝天,gai'si'ji'er'chao'tian
改小手,gai'xiao'shou
该遭,gai'zao
干帮忙,gan'bang'mang
赶场,gan'chang
干豇豆,gan'jiang'dou
干筋火旺,gan'jin'huo'wang
搞刨,gao'bao
搞刨老,gao'bao'lao
搞不醒或,gao'bu'xing'huo
告哈儿,gao'ha'er
搞豪,gao'hao
搞球,gao'qiu
搞球不懂,gao'qiu'bu'dong
搞球不醒或,gao'qiu'bu'xing'huo
搞球事,gao'qiu'shi
高耸耸,gao'song'song
搞醒或,gao'xing'huo
告一哈儿,gao'yi'ha'er
个批,ge'pi
虼蚤,ge'zao
给你两皮砣,gei'ni'liang'pi'tuo
跟头儿扑爬,gen'tou'er'pu'pa
供过来,gong'guo'lai
供过去,gong'guo'qu
弓起,gong'qi
沟子一脚,gou'zi'yi'jiao
鼓到,gu'dao
鼓捣,gu'dao
鼓捣起,gu'dao'qi
瓜迷日眼,gua'mi'ri'yan
瓜西西,gua'xi'xi
瓜兮兮,gua'xi'xi
乖得很,guai'de'hen
怪古日精,guai'gu'ri'jing
罐罐鸡,guan'guan'ji
关火,guan'huo
关钱,guan'qian
光膀膀,guang'bang'bang
光生生,guang'sheng'sheng
龟儿,gui'er
龟儿子,gui'er'zi
鬼火冒,gui'huo'mao
鬼冒火,gui'mao'huo
鬼迷日眼,gui'mi'ri'yan
郭孽,guo'nie
过切,guo'qie
哈戳戳,ha'chuo'chuo
哈儿,ha'er
哈哈儿,ha'ha'er
哈喉,ha'hou
哈既跟儿,ha'ji'gen'er
哈开,ha'kai
哈老壳,ha'lao'ke
哈迷日眼,ha'mi'ri'yan
哈脑壳,ha'nao'ke
哈批戳戳,ha'pi'chuo'chuo
哈千翻,ha'qian'fan
嗨得,hai'de
海椒,hai'jiao
好吃嘴,hao'chi'zui
好多钱,hao'duo'qian
好黑人,hao'hei'ren
好没得,hao'mei'de
好造孽,hao'zao'nie
喝开开,he'kai'kai
喝麻了,he'ma'le
嘿戳,hei'chuo
嘿哈,hei'ha
嘿假,hei'jia
黑起屁眼,hei'qi'pi'yan
黑曲马孔,hei'qu'ma'kong
后颈窝,hou'jing'wo
划不来,hua'bu'lai
划不着,hua'bu'zhao
划得着,hua'de'zhe
花古灵当,hua'gu'ling'dang
黄的,huang'de
黄脚黄手,huang'jiao'huang'shou
黄辣丁,huang'la'ding
黄师父,huang'shi'fu
黄司机,huang'si'ji
灰巴拢耸,hui'ba'long'song
回切,hui'qie
荤豆花,hun'dou'hua
豁别个,huo'bie'ge
豁二妹,huo'er'mei
豁你的,huo'ni'de
火瞟火辣,huo'piao'huo'la
火瞟瞟的,huo'piao'piao'de
火烧窑裤,huo'shao'yao'ku
