按级指挥,an'ji'zhi'hui
报告,bao'gao
报告文书,bao'gao'wen'shu
备考文书,bei'kao'wen'shu
变更部署,bian'geng'bu'shu
变换战术,bian'huan'zhan'shu
兵力对比,bing'li'dui'bi
兵力区分,bing'li'qu'fen
补充任务,bu'chong'ren'wu
布告,bu'gao
部署,bu'shu
捕捉战机,bu'zhuo'zhan'ji
采取主动,cai'qu'zhu'dong
参谋业务,can'mou'ye'wu
初步决心,chu'bu'jue'xin
创造战机,chuang'zao'zhan'ji
代字,dai'zi
登陆基地指挥所,deng'lu'ji'di'zhi'hui'suo
地图标注式战斗命令,di'tu'biao'zhu'shi'zhan'dou'ming'ling
敌我情况图,di'wo'qing'kuang'tu
电子计算机,dian'zi'ji'suan'ji
定下决心,ding'xia'jue'xin
对抗模拟技术,dui'kang'mo'ni'ji'shu
分割指挥,fen'ge'zhi'hui
分散指挥,fen'san'zhi'hui
个别命令,ge'bie'ming'ling
公函,gong'han
工事配置要图,gong'shi'pei'zhi'yao'tu
工作图,gong'zuo'tu
观察所,guan'cha'suo
规定任务,gui'ding'ren'wu
航渡指挥所,hang'du'zhi'hui'suo
号令,hao'ling
合同命令,he'tong'ming'ling
换班报告,huan'ban'bao'gao
换班命令,huan'ban'ming'ling
恢复主动,hui'fu'zhu'dong
火力对比,huo'li'dui'bi
火力密度,huo'li'mi'du
基本指挥所,ji'ben'zhi'hui'suo
既定决心,ji'ding'jue'xin
机断行事,ji'duan'hang'shi
计划,ji'hua
集中指挥,ji'zhong'zhi'hui
加强指挥,jia'qiang'zhi'hui
接替指挥,jie'ti'zhi'hui
决心,jue'xin
决心建议,jue'xin'jian'yi
军队标号,jun'dui'biao'hao
军队组织指挥,jun'dui'zu'zhi'zhi'hui
军事模拟,jun'shi'mo'ni
军事网络图,jun'shi'wang'luo'tu
军用文书,jun'yong'wen'shu
开进命令,kai'jin'ming'ling
开设指挥所,kai'she'zhi'hui'suo
靠前指挥,kao'qian'zhi'hui
口述战斗命令,kou'shu'zhan'dou'ming'ling
联络参谋,lian'luo'can'mou
了解任务,liao'jie'ren'wu
密码地图,mi'ma'de'tu
命令,ming'ling
批复,pi'fu
企图,qi'tu
前进指挥所,qian'jin'zhi'hui'suo
情况处置,qing'kuang'chu'zhi
情况判断,qing'kuang'pan'duan
请示,qing'shi
上船地域指挥所,shang'chuan'di'yu'zhi'hui'suo
上级指挥员,shang'ji'zhi'hui'yuan
审时度势,shen'shi'duo'shi
实现定义,shi'xian'ding'yi
受领任务,shou'ling'ren'wu
首长决心图,shou'zhang'jue'xin'tu
司令部,si'ling'bu
调整部署,tiao'zheng'bu'shu
通报,tong'bao
通令,tong'ling
统帅部,tong'shuai'bu
通知,tong'zhi
图解战斗文书,tu'jie'zhan'dou'wen'shu
下属部队,xia'shu'bu'dui
现场勘查计划,xian'chang'kan'cha'ji'hua
现地勘察,xian'di'kan'cha
协同动作计划,xie'tong'dong'zuo'ji'hua
协同动作计划图,xie'tong'dong'zuo'ji'hua'tu
协同动作指示,xie'tong'dong'zuo'zhi'shi
意图,yi'tu
贻误战机,yi'wu'zhan'ji
隐蔽指挥,yin'bi'zhi'hui
应急措置,ying'ji'cuo'zhi
预备指挥所,yu'bei'zhi'hui'suo
预先号令,yu'xian'hao'ling
预先决心,yu'xian'jue'xin
越级指挥,yue'ji'zhi'hui
战报,zhan'bao
战备计划,zhan'bei'ji'hua
战斗报告,zhan'dou'bao'gao
战斗保障计划,zhan'dou'bao'zhang'ji'hua
战斗保障指示,zhan'dou'bao'zhang'zhi'shi
战斗编成,zhan'dou'bian'cheng
战斗编组,zhan'dou'bian'zu
战斗经过图,zhan'dou'jing'guo'tu
战斗命令,zhan'dou'ming'ling
战斗文书,zhan'dou'wen'shu
战斗详报,zhan'dou'xiang'bao
战斗效率指标,zhan'dou'xiao'lv'zhi'biao
战斗要报,zhan'dou'yao'bao
战果,zhan'guo
战绩,zhan'ji
战况通报,zhan'kuang'tong'bao
战术密度,zhan'shu'mi'du
战术指示,zhan'shu'zhi'shi
战役保障计划,zhan'yi'bao'zhang'ji'hua
战役保障指示,zhan'yi'bao'zhang'zhi'shi
战役密度,zhan'yi'mi'du
掌握关节,zhang'wo'guan'jie
照顾全局,zhao'gu'quan'ju
阵中日记,zhen'zhong'ri'ji
值班日记,zhi'ban'ri'ji
知彼知己,zhi'bi'zhi'ji
指挥,zhi'hui
指挥关系,zhi'hui'guan'xi
指挥权,zhi'hui'quan
指挥所,zhi'hui'suo
指挥所开设,zhi'hui'suo'kai'she
指挥所转移,zhi'hui'suo'zhuan'yi
指挥位置,zhi'hui'wei'zhi
指挥文书,zhi'hui'wen'shu
指挥系统,zhi'hui'xi'tong
指挥员,zhi'hui'yuan
指挥原则,zhi'hui'yuan'ze
指挥组,zhi'hui'zu
指示,zhi'shi
重点部署,zhong'dian'bu'shu
主观能动性,zhu'guan'neng'dong'xing
准备资料,zhun'bei'zi'liao
组织火力,zu'zhi'huo'li
组织协同,zu'zhi'xie'tong
组织协同动作,zu'zhi'xie'tong'dong'zuo
组织战斗,zu'zhi'zhan'dou
作战方案,zuo'zhan'fang'an
作战计划图,zuo'zhan'ji'hua'tu
作战命令,zuo'zhan'ming'ling
作战模型,zuo'zhan'mo'xing
作战值班,zuo'zhan'zhi'ban
作战指挥小组,zuo'zhan'zhi'hui'xiao'zu
