啊啦啦,a'la'la
啊呀呀,a'ya'ya
拜丽德,bai'li'de
百脑汇数码广场,bai'nao'hui'shu'ma'guang'chang
材料与化学工程学院,cai'liao'yu'hua'xue'gong'cheng'xue'yuan
产品设计,chan'pin'she'ji
重庆一家亲,chong'qing'yi'jia'qin
春华路,chun'hua'lu
大铺,da'pu
大学生活动中心,da'xue'sheng'huo'dong'zhong'xin
大学生艺术团,da'xue'sheng'yi'shu'tuan
电气信息工程学院,dian'qi'xin'xi'gong'cheng'xue'yuan
东二楼,dong'er'lou
东风路,dong'feng'lu
东六楼,dong'liu'lou
东三楼,dong'san'lou
东四楼,dong'si'lou
东五楼,dong'wu'lou
东一楼,dong'yi'lou
二轻,er'qing
二区,er'qu
二区食堂,er'qu'shi'tang
二区团工委,er'qu'tuan'gong'wei
二区五号楼,er'qu'wu'hao'lou
法政系,fa'zheng'xi
丰庆路,feng'qing'lu
风味食堂,feng'wei'shi'tang
服表,fu'biao
辅导员,fu'dao'yuan
工程制图,gong'cheng'zhi'tu
工房,gong'fang
工美系,gong'mei'xi
工设,gong'she
工业设计,gong'ye'she'ji
工造,gong'zao
广播站,guang'bo'zhan
国教,guo'jiao
后勤中心,hou'qin'zhong'xin
花旗艺术蛋糕,hua'qi'yi'shu'dan'gao
华味多,hua'wei'duo
环艺,huan'yi
黄河食品城,huang'he'shi'pin'cheng
黄河游览区,huang'he'you'lan'qu
汇宝大厦,hui'bao'da'sha
汇捷画才,hui'jie'hua'cai
汇科数码超市,hui'ke'shu'ma'chao'shi
回民食堂,hui'min'shi'tang
火车票代售点,huo'che'piao'dai'shou'dian
机电工程学院,ji'dian'gong'cheng'xue'yuan
继教,ji'jiao
技术物理系,ji'shu'wu'li'xi
计算机与通信工程学院,ji'suan'ji'yu'tong'xin'gong'cheng'xue'yuan
计算机中心,ji'suan'ji'zhong'xin
继续教育学院,ji'xu'jiao'yu'xue'yuan
机制,ji'zhi
俭学街,jian'xue'jie
姜寨,jiang'zhai
教二楼,jiao'er'lou
教三楼,jiao'san'lou
教一楼,jiao'yi'lou
金水区,jin'shui'qu
金水区委,jin'shui'qu'wei
经管,jing'guan
经济与管理学院,jing'ji'yu'guan'li'xue'yuan
绝味鸭脖,jue'wei'ya'bo
卡奇诺,ka'qi'nuo
开封饺子王,kai'feng'jiao'zi'wang
科比专卖,ke'bi'zhuan'mai
口语角,kou'yu'jiao
蓝色天空,lan'se'tian'kong
驴肉火锅,lv'rou'huo'guo
脉动网吧,mai'dong'wang'ba
蜜雪冰城,mi'xue'bing'cheng
庙李,miao'li
民族职业学院,min'zu'zhi'ye'xue'yuan
南阳路,nan'yang'lu
农大,nong'da
欧派,ou'pai
七瀑,qi'pu
起越,qi'yue
轻大宾馆,qing'da'bin'guan
轻工职业学院,qing'gong'zhi'ye'xue'yuan
轻语飞扬,qing'yu'fei'yang
轻院,qing'yuan
轻院附小,qing'yuan'fu'xiao
轻院附幼,qing'yuan'fu'you
轻院附中,qing'yuan'fu'zhong
轻院礼堂,qing'yuan'li'tang
轻院青年,qing'yuan'qing'nian
秋实路,qiu'shi'lu
人和大酒店,ren'he'da'jiu'dian
软件学院,ruan'jian'xue'yuan
三千丝,san'qian'si
三区,san'qu
三食堂,san'shi'tang
森林公园,sen'lin'gong'yuan
沙基诺,sha'ji'nuo
山东煎饼,shan'dong'jian'bing
十八超市,shi'ba'chao'shi
食工系,shi'gong'xi
世纪欢乐园,shi'ji'huan'le'yuan
食品与生物工程学院,shi'pin'yu'sheng'wu'gong'cheng'xue'yuan
售电处,shou'dian'chu
思达超市,si'da'chao'shi
四区,si'qu
淘宝城,tao'bao'cheng
桃李园小吃城,tao'li'yuan'xiao'chi'cheng
体育教学部,ti'yu'jiao'xue'bu
图书馆,tu'shu'guan
外语系,wai'yu'xi
未来设计,wei'lai'she'ji
为之则易不为则难,wei'zhi'ze'yi'bu'wei'ze'nan
文化路,wen'hua'lu
五区,wu'qu
西二楼,xi'er'lou
西三楼,xi'san'lou
西四楼,xi'si'lou
西五楼,xi'wu'lou
西一楼,xi'yi'lou
香雪儿,xiang'xue'er
小铺,xiao'pu
校学生会,xiao'xue'sheng'hui
校医院,xiao'yi'yuan
信息学院路,xin'xi'xue'yuan'lu
信息与计算科学系,xin'xi'yu'ji'suan'ke'xue'xi
新校区,xin'xiao'qu
学生食堂,xue'sheng'shi'tang
学习书店,xue'xi'shu'dian
烟草,yan'cao
一二九大合唱,yi'er'jiu'da'he'chang
一区,yi'qu
艺设,yi'she
艺术设计学院,yi'shu'she'ji'xue'yuan
艺术团,yi'shu'tuan
易斯顿国际教育学院,yi'si'dun'guo'ji'jiao'yu'xue'yuan
易斯顿国际美术学院,yi'si'dun'guo'ji'mei'shu'xue'yuan
怡园,yi'yuan
英语沙龙,ying'yu'sha'long
园田路,yuan'tian'lu
郑轻,zheng'qing
郑州轻工业学院,zheng'zhou'qing'gong'ye'xue'yuan
郑州轻工业学院美术培训中心,zheng'zhou'qing'gong'ye'xue'yuan'mei'shu'pei'xun'zhong'xin
中加英语班,zhong'jia'ying'yu'ban
中医院,zhong'yi'yuan
珠峰互联时空,zhu'feng'hu'lian'shi'kong
主干道,zhu'gan'dao
主语,zhu'yu
卓越网吧,zhuo'yue'wang'ba
左右间,zuo'you'jian
