爱氏丽翁,ai'shi'li'weng
八千代,ba'qian'dai
白霜莲,bai'shuang'lian
白檀,bai'tan
白檀属,bai'tan'shu
白雪晃,bai'xue'huang
白云鸾凤玉,bai'yun'luan'feng'yu
棒叶不死鸟,bang'ye'bu'si'niao
奔龙,ben'long
碧彩柱,bi'cai'zhu
碧彩柱属,bi'cai'zhu'shu
碧方玉,bi'fang'yu
碧琉璃鸾凤玉,bi'liu'li'luan'feng'yu
扁园盘玉,bian'yuan'pan'yu
冰莓,bing'mei
冰蓉,bing'rong
菠萝球,bo'luo'qiu
菠萝球属,bo'luo'qiu'shu
般若,bo're
薄雪万年草,bo'xue'wan'nian'cao
超兜,chao'dou
赤化象牙球,chi'hua'xiang'ya'qiu
吹雪柱,chui'xue'zhu
刺萼柱,ci'e'zhu
刺萼柱属,ci'e'zhu'shu
大和锦,da'he'jin
大红卷绢,da'hong'juan'juan
帝玉露,di'yu'lu
顶花球,ding'hua'qiu
顶花球属,ding'hua'qiu'shu
恩塚鸾凤玉,en'zhong'luan'feng'yu
恩冢瑞凤皮,en'zhong'rui'feng'pi
飞龙柱,fei'long'zhu
飞龙柱属,fei'long'zhu'shu
绯筒球,fei'tong'qiu
绯筒球属,fei'tong'qiu'shu
粉红台阁,fen'hong'tai'ge
凤玉锦,feng'yu'jin
佛甲草,fo'jia'cao
佛甲草锦,fo'jia'cao'jin
复隆鸾凤玉,fu'long'luan'feng'yu
公子丸,gong'zi'wan
管花柱,guan'hua'zhu
管花柱属,guan'hua'zhu'shu
灌木柱,guan'mu'zhu
灌木柱属,guan'mu'zhu'shu
观音莲,guan'yin'lian
龟甲碧琉璃鸾凤玉,gui'jia'bi'liu'li'luan'feng'yu
龟甲牡丹,gui'jia'mu'dan
黑法师,hei'fa'shi
黑芒丸,hei'mang'wan
黑士冠,hei'shi'guan
黑兔耳,hei'tu'er
黑王球,hei'wang'qiu
黑王球属,hei'wang'qiu'shu
黑王丸,hei'wang'wan
黑王子,hei'wang'zi
黑象丸,hei'xiang'wan
红霜莲,hong'shuang'lian
红叶鸾,hong'ye'luan
红叶鸾凤玉,hong'ye'luan'feng'yu
虹之玉,hong'zhi'yu
虹之玉锦,hong'zhi'yu'jin
厚叶旭鹤,hou'ye'xu'he
花冠柱,hua'guan'zhu
花冠柱属,hua'guan'zhu'shu
花铠柱,hua'kai'zhu
花铠柱属,hua'kai'zhu'shu
花园兜,hua'yuan'dou
华妆翁,hua'zhuang'weng
华妆翁属,hua'zhuang'weng'shu
黄金纽,huang'jin'niu
黄金万年草,huang'jin'wan'nian'cao
黄丽,huang'li
火祭,huo'ji
姬胧月,ji'long'yue
姬秋丽,ji'qiu'li
姬星美人,ji'xing'mei'ren
姬玉露,ji'yu'lu
锦晃星,jin'huang'xing
金毛花冠柱,jin'mao'hua'guan'zhu
金钱木,jin'qian'mu
金狮子,jin'shi'zi
静夜,jing'ye
巨人柱,ju'ren'zhu
巨人柱属,ju'ren'zhu'shu
菊丸,ju'wan
恐龙角,kong'long'jiao
恐龙角属,kong'long'jiao'shu
宽叶不死鸟,kuan'ye'bu'si'niao
蓝豆,lan'dou
狼爪玉,lang'zhua'yu
狼爪玉属,lang'zhua'yu'shu
雷血丸,lei'xue'wan
连星,lian'xing
鳞花柱,lin'hua'zhu
鳞花柱属,lin'hua'zhu'shu
柳叶椒草,liu'ye'jiao'cao
柳叶莲华,liu'ye'lian'hua
龙角牡丹,long'jiao'mu'dan
龙角丸,long'jiao'wan
龙舌牡丹,long'she'mu'dan
龙爪球,long'zhua'qiu
龙爪球属,long'zhua'qiu'shu
龙爪玉,long'zhua'yu
鹿角海棠,lu'jiao'hai'tang
露娜莲,lu'na'lian
鲁氏石莲,lu'shi'shi'lian
鲁氏石莲花,lu'shi'shi'lian'hua
鸾凤玉,luan'feng'yu
萝藦,luo'mo
罗纱锦,luo'sha'jin
罗纱锦属,luo'sha'jin'shu
梦露玉,meng'lu'yu
米粒花,mi'li'hua
冥王丸,ming'wang'wan
铭月,ming'yue
墨法师,mo'fa'shi
牡丹,mu'dan
南美翁柱,nan'mei'weng'zhu
南美翁柱属,nan'mei'weng'zhu'shu
拟石莲花,ni'shi'lian'hua
凝脂莲,ning'zhi'lian
皮氏石莲,pi'shi'shi'lian
皮氏石莲花,pi'shi'shi'lian'hua
七宝树锦,qi'bao'shu'jin
奇特丸,qi'te'wan
钱串,qian'chuan
千佛手,qian'fo'shou
茜球,qian'qiu
茜球属,qian'qiu'shu
茜之塔,qian'zhi'ta
茜之塔锦,qian'zhi'ta'jin
情人泪,qing'ren'lei
庆松玉,qing'song'yu
青铜龙,qing'tong'long
青铜龙属,qing'tong'long'shu
秋丽,qiu'li
群凤玉,qun'feng'yu
群蛇柱,qun'she'zhu
群蛇柱属,qun'she'zhu'shu
绒针,rong'zhen
茸针,rong'zhen
瑞典魔南,rui'dian'mo'nan
三角鸾凤玉,san'jiao'luan'feng'yu
十字军锦,shi'zi'jun'jin
属花笼,shu'hua'long
鼠尾掌,shu'wei'zhang
鼠尾掌属,shu'wei'zhang'shu
水晶玉露,shui'jing'yu'lu
四海波,si'hai'bo
