半齿音,ban'chi'yin
半舌音,ban'she'yin
帮滂並明,bang'pang'bing'ming
曾摄,ceng'she
齿头,chi'tou
齿音,chi'yin
丑类,chou'lei
唇音,chun'yin
次清,ci'qing
次浊,ci'zhuo
宕摄,dang'she
等韵图,deng'yun'tu
等韵学,deng'yun'xue
调类,diao'lei
调值,diao'zhi
叠韵,die'yun
端透定泥,duan'tou'ding'ni
二等介音,er'deng'jie'yin
二等韵,er'deng'yun
二等字,er'deng'zi
反切,fan'qie
反切上字,fan'qie'shang'zi
反切下字,fan'qie'xia'zi
高本汉,gao'ben'han
梗摄,geng'she
顾野王,gu'ye'wang
广韵,guang'yun
果摄,guo'she
郭锡良,guo'xi'liang
合口,he'kou
合口呼,he'kou'hu
喉塞音,hou'se'yin
喉音,hou'yin
黄笑山,huang'xiao'shan
慧琳反切,hui'lin'fan'qie
集韵,ji'yun
假摄,jia'she
见溪群疑,jian'xi'qun'yi
江摄,jiang'she
介音,jie'yin
紧喉,jin'hou
精清从心邪,jing'qing'cong'xin'xie
开口呼,kai'kou'hu
李方桂,li'fang'gui
流摄,liu'she
陆法言,lu'fa'yan
麦耘,mai'yun
梅祖麟,mei'zu'lin
内转,nei'zhuan
潘悟云,pan'wu'yun
平水韵,ping'shui'yun
蒲立本,pu'li'ben
齐齿呼,qi'chi'hu
七音略,qi'yin'lue
前化,qian'hua
切韵,qie'yun
轻唇,qing'chun
轻唇音,qing'chun'yin
轻中轻,qing'zhong'qing
轻中重,qing'zhong'zhong
全清,quan'qing
全浊,quan'zhuo
入派四声,ru'pai'si'sheng
入声韵,ru'sheng'yun
三等介音,san'deng'jie'yin
三等韵,san'deng'yun
三等字,san'deng'zi
三十六字母,san'shi'liu'zi'mu
山摄,shan'she
邵荣芬,shao'rong'fen
邵雍,shao'yong
舌面音,she'mian'yin
舌上,she'shang
舌头,she'tou
舌头音,she'tou'yin
舌音,she'yin
深摄,shen'she
声调,sheng'diao
声母,sheng'mu
声纽,sheng'niu
十六摄,shi'liu'she
十三辙,shi'san'zhe
守温三十字母,shou'wen'san'shi'zi'mu
双声,shuang'sheng
四等介音,si'deng'jie'yin
四等韵,si'deng'yun
四等字,si'deng'zi
四呼,si'hu
四声,si'sheng
通摄,tong'she
通语,tong'yu
外转,wai'zhuan
系联,xi'lian
悉昙,xi'tan
咸攝,xian'she
效摄,xiao'she
小舌塞音,xiao'she'se'yin
晓匣影以,xiao'xia'ying'yi
晓匣影喻,xiao'xia'ying'yu
蟹摄,xie'she
牙音,ya'yin
颜之推,yan'zhi'tui
央化,yang'hua
阳声韵,yang'sheng'yun
一等韵,yi'deng'yun
一等字,yi'deng'zi
一切经音义,yi'qie'jing'yin'yi
寅类,yin'lei
阴声韵,yin'sheng'yun
玉篇,yu'pian
遇摄,yu'she
圆脣化,yuan'chun'hua
韵部,yun'bu
韵法直图,yun'fa'zhi'tu
韵腹,yun'fu
韵镜,yun'jing
韵类,yun'lei
韵母,yun'mu
韵目,yun'mu
韵摄,yun'she
韵头,yun'tou
韵图,yun'tu
韵尾,yun'wei
章昌常书船,zhang'chang'chang'shu'chuan
照穿床审禅,zhao'chuan'chuang'shen'chan
臻摄,zhen'she
正齿,zheng'chi
正齿音,zheng'chi'yin
郑张尚芳,zheng'zhang'shang'fang
知彻澄娘,zhi'che'cheng'niang
知彻澄日,zhi'che'cheng'ri
止摄,zhi'she
重唇,zhong'chun
重唇音,zhong'chun'yin
重纽,zhong'niu
重纽三等,zhong'niu'san'deng
重纽四等,zhong'niu'si'deng
中原音韵,zhong'yuan'yin'yun
重中轻,zhong'zhong'qing
重中重,zhong'zhong'zhong
周德清,zhou'de'qing
子类,zi'lei
嘬口呼,zuo'kou'hu
