艾伟,ai'wei
爱新泰,ai'xin'tai
安东贞美,an'dong'zhen'mei
安藤利吉,an'teng'li'ji
巴克礼,ba'ke'li
八田与一,ba'tian'yu'yi
白崇禧,bai'chong'xi
白云梯,bai'yun'ti
柏正才,bai'zheng'cai
包遵彭,bao'zun'peng
币原坦,bi'yuan'tan
伯格,bo'ge
蔡辰洲,cai'chen'zhou
蔡惠如,cai'hui'ru
蔡培火,cai'pei'huo
蔡牵,cai'qian
蔡清琳,cai'qing'lin
蔡清耀,cai'qing'yao
蔡智堪,cai'zhi'kan
蔡滋浬,cai'zi'li
曹谨,cao'jin
曹日晖,cao'ri'hui
曾宝荪,ceng'bao'sun
曾春华,ceng'chun'hua
曾宪揆,ceng'xian'kui
曾约农,ceng'yue'nong
曾宗,ceng'zong
柴大纪,chai'da'ji
常抚生,chang'fu'sheng
长谷川清,chang'gu'chuan'qing
常青,chang'qing
陈阿荣,chen'a'rong
陈瑸,chen'bin
陈博生,chen'bo'sheng
陈诚,chen'cheng
陈春树,chen'chun'shu
陈大齐,chen'da'qi
陈大庆,chen'da'qing
陈达元,chen'da'yuan
陈发,chen'fa
陈顾远,chen'gu'yuan
陈光甫,chen'guang'fu
陈果夫,chen'guo'fu
陈化成,chen'hua'cheng
陈济棠,chen'ji'tang
陈纳德,chen'na'de
陈启天,chen'qi'tian
陈秋菊,chen'qiu'ju
陈尚志,chen'shang'zhi
陈霆锐,chen'ting'rui
陈文彬,chen'wen'bin
陈虚谷,chen'xu'gu
陈训悆,chen'xun'shu
陈仪,chen'yi
陈永华,chen'yong'hua
陈源,chen'yuan
陈泽,chen'ze
陈兆瑞,chen'zhao'rui
陈震曜,chen'zhen'yao
陈质平,chen'zhi'ping
陈周全,chen'zhou'quan
陈子镛,chen'zi'yong
程发轫,cheng'fa'ren
川村竹治,chuan'cun'zhu'zhi
慈航,ci'hang
崔书琴,cui'shu'qin
达洪阿,da'hong'a
达穆林旺楚克,da'mu'lin'wang'chu'ke
大隈重信,da'wei'zhong'xin
戴潮春,dai'chao'chun
道安,dao'an
邓萃英,deng'cui'ying
邓家彦,deng'jia'yan
邓龙光,deng'long'guang
狄膺,di'ying
丁日昌,ding'ri'chang
丁惟汾,ding'wei'fen
董树藩,dong'shu'fan
董显光,dong'xian'guang
董作宾,dong'zuo'bin
杜衡,du'heng
杜元载,du'yuan'zai
段辅尧,duan'fu'yao
端木恺,duan'mu'kai
儿玉源太郎,er'yu'yuan'tai'lang
范寿康,fan'shou'kang
范馨香,fan'xin'xiang
方豪,fang'hao
费尔堡,fei'er'bao
冯简,feng'jian
冯锡范,feng'xi'fan
冯庸,feng'yong
冯治安,feng'zhi'an
冯自由,feng'zi'you
傅秉常,fu'bing'chang
傅京孙,fu'jing'sun
福康安,fu'kang'an
傅斯年,fu'si'nian
甘为霖,gan'wei'lin
冈村宁次,gang'cun'ning'ci
高吉人,gao'ji'ren
高平子,gao'ping'zi
龚浩,gong'hao
龚愚,gong'yu
孤拔,gu'ba
顾维钧,gu'wei'jun
辜显荣,gu'xian'rong
古泽胜之,gu'ze'sheng'zhi
谷正鼎,gu'zheng'ding
谷正伦,gu'zheng'lun
顾祝同,gu'zhu'tong
关吉玉,guan'ji'yu
桂太郎,gui'tai'lang
桂永清,gui'yong'qing
郭澄,guo'cheng
郭国荃,guo'guo'quan
郭怀一,guo'huai'yi
郭秋生,guo'qiu'sheng
郭庭以,guo'ting'yi
哈当阿,ha'dang'a
哈鹿那威,ha'lu'na'wei
海兰察,hai'lan'cha
何斌,he'bin
何成濬,he'cheng'jun
何健,he'jian
何孝元,he'xiao'yuan
何应钦,he'ying'qin
何祐,he'you
何振猷,he'zhen'you
贺衷寒,he'zhong'han
洪兰友,hong'lan'you
洪旭,hong'xu
洪逊欣,hong'xun'xin
洪炎秋,hong'yan'qiu
洪元煌,hong'yuan'huang
洪中,hong'zhong
后藤新平,hou'teng'xin'ping
胡阿锦,hu'a'jin
胡伯翰,hu'bo'han
胡家凤,hu'jia'feng
胡琏,hu'lian
胡庆育,hu'qing'yu
胡适,hu'shi
胡宗南,hu'zong'nan
花冈一郎,hua'gang'yi'lang
桦山资纪,hua'shan'zi'ji
华特,hua'te
黄阿烈,huang'a'lie
黄安,huang'an
黄朝,huang'chao
黄朝琴,huang'chao'qin
黄纯青,huang'chun'qing
黄国书,huang'guo'shu
黄国镇,huang'guo'zhen
黄季陆,huang'ji'lu
黄俊,huang'jun
黄荣邦,huang'rong'bang
黄叔璥,huang'shu'jing
黄天鹏,huang'tian'peng
黄土水,huang'tu'shui
黄玉阶,huang'yu'jie
黄遹霈,huang'yu'pei
黄镇球,huang'zhen'qiu
黄珍吾,huang'zhen'wu
纪秋水,ji'qiu'shui
吉星文,ji'xing'wen
季源溥,ji'yuan'pu
贾景德,jia'jing'de
简成功,jian'cheng'gong
简大狮,jian'da'shi
简精华,jian'jing'hua
江杓,jiang'biao
蒋锄欧,jiang'chu'ou
江定,jiang'ding
蒋鼎文,jiang'ding'wen
姜贵,jiang'gui
江国辉,jiang'guo'hui
蒋介石,jiang'jie'shi
蒋经国,jiang'jing'guo
蒋梦麟,jiang'meng'lin
姜绍祖,jiang'shao'zu
江胜,jiang'sheng
蒋廷黻,jiang'ting'fu
蒋渭水,jiang'wei'shui
江文也,jiang'wen'ye
蒋毓英,jiang'yu'ying
金维,jin'wei
居正,ju'zheng
卡郎,ka'lang
卡萨,ka'sa
康第纽斯,kang'di'niu'si
柯平,ke'ping
科士达,ke'shi'da
柯铁,ke'tie
揆一,kui'yi
赖和,lai'he
赖来,lai'lai
赖名汤,lai'ming'tang
蓝鼎元,lan'ding'yuan
蓝廷珍,lan'ting'zhen
蓝荫鼎,lan'yin'ding
雷保华,lei'bao'hua
雷震,lei'zhen
冷欣,leng'xin
李阿隆,li'a'long
李阿齐,li'a'qi
李长庚,li'chang'geng
李崇礼,li'chong'li
李春生,li'chun'sheng
李符桐,li'fu'tong
李鸿章,li'hong'zhang
李济,li'ji
李经方,li'jing'fang
黎烈文,li'lie'wen
李曼瑰,li'man'gui
