白辣椒炒腊黄牛肉,bai'la'jiao'chao'la'huang'niu'rou
石窝烧原条茄子,shi'wo'shao'yuan'tiao'qie'zi
手撕火焙鱼,shou'si'huo'bei'yu
顺德老姜狗仔鸭,shun'de'lao'jiang'gou'zi'ya
四季金钩小炒皇,si'ji'jin'gou'xiao'chao'huang
四季鱼头王,si'ji'yu'tou'wang
酸包菜炒粉皮,suan'bao'cai'chao'fen'pi
酸菜炒苦瓜,suan'cai'chao'ku'gua
酸辣蕨根粉,suan'la'jue'gen'fen
蒜泥白肉,suan'ni'bai'rou
蒜蓉开边蒸娃娃菜,suan'rong'kai'bian'zheng'wa'wa'cai
随炒猪脚皮,sui'chao'zhu'jiao'pi
泰式榴莲酥,tai'shi'liu'lian'su
泰式千层糕,tai'shi'qian'ceng'gao
泰式酸辣凤爪,tai'shi'suan'la'feng'zhao
堂煎牛仔骨,tang'jian'niu'zai'gu
特色炒饭,te'se'chao'fan
甜酒汤圆,tian'jiu'tang'yuan
甜梅菜酱肉生炒凉瓜,tian'mei'cai'jiang'rou'sheng'chao'liang'gua
田园金屋,tian'yuan'jin'wu
铁板特制粉丝,tie'ban'te'zhi'fen'si
铁板攸县香干,tie'ban'you'xian'xiang'gan
五香腊鱼,wu'xiang'la'yu
鲜鲍烩竹花,xian'bao'hui'zhu'hua
鲜果布丁,xian'guo'bu'ding
鲜淮山云耳炒唐芹,xian'huai'shan'yun'er'chao'tang'qin
鲜沙姜干煸墨鱼仔,xian'sha'jiang'gan'bian'mo'yu'zi
鲜沙姜干迫墨鱼仔,xian'sha'jiang'gan'po'mo'yu'zi
咸甜薄餐,xian'tian'bao'can
鲜虾南瓜烙,xian'xia'nan'gua'lao
鲜虾蟹肉蒸乳酪,xian'xia'xie'rou'zheng'ru'lao
咸竹蜂五叶神炖肉汁,xian'zhu'feng'wu'ye'shen'dun'rou'zhi
香草焗田鸡,xiang'cao'ju'tian'ji
香脆咸甜薄餐,xiang'cui'xian'tian'bao'can
香辣霸王鸭,xiang'la'ba'wang'ya
香辣手撕牛肉,xiang'la'shou'si'niu'rou
香茅酱焗大虾,xiang'mao'jiang'ju'da'xia
香茅焗猪颈肉,xiang'mao'ju'zhu'jing'rou
湘味拆骨肉,xiang'wei'chai'gu'rou
湘味秘制乳鸽,xiang'wei'mi'zhi'ru'ge
湘西坛子菜,xiang'xi'tan'zi'cai
小炒黄牛肉,xiao'chao'huang'niu'rou
小炒酸荞头,xiao'chao'suan'qiao'tou
小炒新鲜鸡杂,xiao'chao'xin'xian'ji'za
小炒猪脆骨,xiao'chao'zhu'cui'gu
雪蛤南瓜蛋挞,xue'ha'nan'gua'dan'ta
盐煎金鲳鱼,yan'jian'jin'chang'yu
野山菌炖土鸡汤,ye'shan'jun'dun'tu'ji'tang
椰汁西米糕,ye'zhi'xi'mi'gao
银耳百合蒸南瓜,yin'er'bai'he'zheng'nan'gua
银锅黄骨鱼,yin'guo'huang'gu'yu
银杏百合炒西芹,yin'xing'bai'he'chao'xi'qin
永州血酱鸭,yong'zhou'xue'jiang'ya
芋香红松肉,yu'xiang'hong'song'rou
原味蒸腊肠,yuan'wei'zheng'la'chang
原味蒸腊黄牛肉,yuan'wei'zheng'la'huang'niu'rou
原味蒸腊猪肚,yuan'wei'zheng'la'zhu'du
原味蒸卤豆腐,yuan'wei'zheng'lu'dou'fu
原味蒸卤香干,yuan'wei'zheng'lu'xiang'gan
原只木瓜炖雪蛤,yuan'zhi'mu'gua'dun'xue'ha
粥水胜瓜浸牛肉丸,zhou'shui'sheng'gua'jin'niu'rou'wan
猪肝滑鸡蒸鱼头,zhu'gan'hua'ji'zheng'yu'tou
竹花捞肚尖海蜇,zhu'hua'lao'du'jian'hai'zhe
猪颈肉百合炒甜豆,zhu'jing'rou'bai'he'chao'tian'dou
竹笙鲜人参炖老鸡,zhu'sheng'xian'ren'shen'dun'lao'ji
竹笙鲜人参炖乌鸡,zhu'sheng'xian'ren'shen'dun'wu'ji
主席红烧肉,zhu'xi'hong'shao'rou
竹宴天下,zhu'yan'tian'xia
滋润双皮奶,zi'run'shuang'pi'nai
