安得广厦千万间,an'de'guang'sha'qian'wan'jian
八百里分麾下炙,ba'bai'li'fen'hui'xia'zhi
拔剑击柱心茫然,ba'jian'ji'zhu'xin'mang'ran
把酒问青天,ba'jiu'wen'qing'tian
巴山楚水凄凉地,ba'shan'chu'shui'qi'liang'de
巴山夜雨涨秋池,ba'shan'ye'yu'zhang'qiu'chi
八月秋高风怒号,ba'yue'qiu'gao'feng'nu'hao
百步九折萦岩峦,bai'bu'jiu'zhe'ying'yan'luan
百草丰茂,bai'cao'feng'mao
百舸争流,bai'ge'zheng'liu
白露为霜,bai'lu'wei'shuang
白露未晞,bai'lu'wei'xi
白露未已,bai'lu'wei'yi
百年多病独登台,bai'nian'duo'bing'du'deng'tai
白头搔更短,bai'tou'sao'geng'duan
半卷红旗临易水,ban'juan'hong'qi'lin'yi'shui
抱布贸丝,bao'bu'mao'si
报君黄金台上意,bao'jun'huang'jin'tai'shang'yi
抱子在背傍,bao'zi'zai'bei'bang
北风卷地白草折,bei'feng'juan'di'bai'cao'zhe
背灼炎天光,bei'zhuo'yan'tian'guang
必有我师焉,bi'you'wo'shi'yan
别时茫茫江浸月,bie'shi'mang'mang'jiang'jin'yue
别是一般滋味在心头,bie'shi'yi'ban'zi'wei'zai'xin'tou
别有幽愁暗恨生,bie'you'you'chou'an'hen'sheng
鬓微霜,bin'wei'shuang
冰泉冷涩弦凝绝,bing'quan'leng'se'xian'ning'jue
病树前头万木春,bing'shu'qian'tou'wan'mu'chun
波涛如怒,bo'tao'ru'nu
不耻下问,bu'chi'xia'wen
不见复关,bu'jian'fu'guan
不尽长江滚滚来,bu'jin'chang'jiang'gun'gun'lai
不可说也,bu'ke'shuo'ye
布衾多年冷似铁,bu'qin'duo'nian'leng'si'tie
不如早还家,bu'ru'zao'huan'jia
不舍昼夜,bu'she'zhou'ye
不思其反,bu'si'qi'fan
不畏浮云遮望眼,bu'wei'fu'yun'zhe'wang'yan
不亦君子乎,bu'yi'jun'zi'hu
不亦乐乎,bu'yi'le'hu
