阿月浑子,a'yue'hun'zi
安息香,an'xi'xiang
巴豆霜,ba'dou'shuang
巴戟天,ba'ji'tian
八角枫,ba'jiao'feng
八角茴香,ba'jiao'hui'xiang
八角莲,ba'jiao'lian
八厘麻,ba'li'ma
八月札,ba'yue'zha
白贝齿,bai'bei'chi
白背叶,bai'bei'ye
白扁豆,bai'bian'dou
百草霜,bai'cao'shuang
白豆蔻,bai'dou'kou
白茯苓,bai'fu'ling
白附子,bai'fu'zi
白河车,bai'he'che
白胡椒,bai'hu'jiao
白花菜子,bai'hua'cai'zi
白花曼陀罗,bai'hua'man'tuo'luo
白花前胡,bai'hua'qian'hu
白花蛇,bai'hua'she
白花蛇舌草,bai'hua'she'she'cao
白蒺藜,bai'ji'li
白僵蚕,bai'jiang'can
败酱草,bai'jiang'cao
白胶木,bai'jiao'mu
白胶香,bai'jiao'xiang
白芥子,bai'jie'zi
白菊花,bai'ju'hua
白菊菊干,bai'ju'ju'gan
白巨胜子,bai'ju'sheng'zi
白蔻仁,bai'kou'ren
白雷丸,bai'lei'wan
百里霜,bai'li'shuang
百两金,bai'liang'jin
白马骨,bai'ma'gu
白茅根,bai'mao'gen
白茅花,bai'mao'hua
白茅花草,bai'mao'hua'cao
白毛夏松草,bai'mao'xia'song'cao
白木耳,bai'mu'er
白平子,bai'ping'zi
白茄根,bai'qie'gen
白屈菜,bai'qu'cai
白商陆,bai'shang'lu
白石英,bai'shi'ying
白首乌,bai'shou'wu
白头翁,bai'tou'weng
白头须,bai'tou'xu
白兔根,bai'tu'gen
白鲜皮,bai'xian'pi
百芯草,bai'xin'cao
百药煎,bai'yao'jian
白药子,bai'yao'zi
白云花根,bai'yun'hua'gen
柏子仁,bai'zi'ren
半边莲,ban'bian'lian
半边旗,ban'bian'qi
半枫荷,ban'feng'he
板兰根,ban'lan'gen
板栗壳,ban'li'ke
半天雷,ban'tian'lei
半夏曲,ban'xia'qu
半枝莲,ban'zhi'lian
暴马子皮,bao'ma'zi'pi
北柴胡,bei'chai'hu
北豆根,bei'dou'gen
贝母花,bei'mu'hua
北沙参,bei'sha'shen
北玄参,bei'xuan'shen
北野菊,bei'ye'ju
蓖麻子,bi'ma'zi
毕日阳古,bi'ri'yang'gu
薄荷油,bo'he'you
波棱瓜子,bo'leng'gua'zi
薄叶碎米蕨,bo'ye'sui'mi'jue
补骨脂,bu'gu'zhi
布渣叶,bu'zha'ye
苍耳子,cang'er'zi
侧柏叶炭,ce'bai'ye'tan
长春花,chang'chun'hua
车前草,che'qian'cao
车前子,che'qian'zi
赤石脂,chi'shi'zhi
赤小豆,chi'xiao'dou
虫百腊,chong'bai'la
茺蔚子,chong'wei'zi
臭灵丹草,chou'ling'dan'cao
臭梧桐叶,chou'wu'tong'ye
樗根白皮,chu'gen'bai'pi
川白芷,chuan'bai'zhi
川贝母,chuan'bei'mu
川栋子,chuan'dong'zi
川槿皮,chuan'jin'pi
川木通,chuan'mu'tong
川木香,chuan'mu'xiang
川牛膝,chuan'niu'xi
穿破石,chuan'po'shi
川山甲,chuan'shan'jia
穿山甲,chuan'shan'jia
川桐皮,chuan'tong'pi
穿心莲,chuan'xin'lian
川郁金,chuan'yu'jin
垂盆草,chui'pen'cao
刺果苏木,ci'guo'su'mu
刺五加,ci'wu'jia
大白毛蛇,da'bai'mao'she
大贝母,da'bei'mu
大茶药,da'cha'yao
大洞果,da'dong'guo
大豆黄卷,da'dou'huang'juan
大豆卷,da'dou'juan
大飞扬,da'fei'yang
大风子,da'feng'zi
大腹皮,da'fu'pi
打官司草,da'guan'si'cao
大红袍,da'hong'pao
大黄炭,da'huang'tan
大茴香,da'hui'xiang
大蓟炭,da'ji'tan
大金钱草,da'jin'qian'cao
大力参,da'li'can
大力子,da'li'zi
大马勃,da'ma'bo
大麻仁,da'ma'ren
打破碗碗花,da'po'wan'wan'hua
大青盐,da'qing'yan
大青叶,da'qing'ye
大头陈,da'tou'chen
大血藤,da'xue'teng
大叶龙胆,da'ye'long'dan
大紫草,da'zi'cao
代代花,dai'dai'hua
代赭石,dai'zhe'shi
淡豆豉,dan'dou'chi
丹皮酚,dan'pi'fen
丹皮炭,dan'pi'tan
当归身,dang'gui'shen
当归尾,dang'gui'wei
当门子,dang'men'zi
倒扣草,dao'kou'cao
刀伤木,dao'shang'mu
灯芯草,deng'xin'cao
灯盏细辛,deng'zhan'xi'xin
地鳖虫,di'bie'chong
地胆草,di'dan'cao
地耳草,di'er'cao
地枫皮,di'feng'pi
地肤子,di'fu'zi
地骨皮,di'gu'pi
地锦草,di'jin'cao
地栗粉,di'li'fen
地龙炭,di'long'tan
颠茄草,dian'qie'cao
丁公藤,ding'gong'teng
丁香罗勒油,ding'xiang'luo'le'you
丁子香,ding'zi'xiang
丢了棒,diu'le'bang
冬虫草,dong'chong'cao
冬虫夏草,dong'chong'xia'cao
冬瓜皮,dong'gua'pi
冬瓜仁,dong'gua'ren
冬葵果,dong'kui'guo
冬葵子,dong'kui'zi
冬凌草,dong'ling'cao
杜青木香,du'qing'mu'xiang
对座草,dui'zuo'cao
多叶棘豆,duo'ye'ji'dou
鹅不食草,e'bu'shi'cao
二色补血草,er'se'bu'xue'cao
二叶律,er'ye'lv
番泻叶,fan'xie'ye
飞刀剑,fei'dao'jian
飞滑石,fei'hua'shi
飞扬草,fei'yang'cao
粉条儿菜,fen'tiao'er'cai
风化硝,feng'hua'xiao
凤凰衣,feng'huang'yi
风茄花,feng'qie'hua
凤尾草,feng'wei'cao
风仙花,feng'xian'hua
风仙透骨草,feng'xian'tou'gu'cao
茯苓皮,fu'ling'pi
复盆子,fu'pen'zi
甘草节,gan'cao'jie
甘草稍,gan'cao'shao
甘露子,gan'lu'zi
甘青青蓝,gan'qing'qing'lan
干石斛,gan'shi'hu
甘松香,gan'song'xiang
高良姜,gao'liang'jiang
高山辣根菜,gao'shan'la'gen'cai
葛上亭长,ge'shang'ting'zhang
公丁香,gong'ding'xiang
功劳木,gong'lao'mu
狗肝菜,gou'gan'cai
狗爪半夏,gou'zhao'ban'xia
谷精草,gu'jing'cao
古山龙,gu'shan'long
骨碎补,gu'sui'bu
瓜菜仁,gua'cai'ren
瓜姜皮,gua'jiang'pi
瓜萎根,gua'wei'gen
瓜萎仁,gua'wei'ren
瓜萎子,gua'wei'zi
瓜子金,gua'zi'jin
光慈姑,guang'ci'gu
广地丁,guang'di'ding
广地龙,guang'di'long
广防己,guang'fang'ji
广藿香,guang'huo'xiang
广金钱草,guang'jin'qian'cao
广木香,guang'mu'xiang
广郁金,guang'yu'jin
光枝勾儿茶,guang'zhi'gou'er'cha
龟板胶,gui'ban'jiao
过路黄,guo'lu'huang
孩儿参,hai'er'can
海风藤,hai'feng'teng
海金沙,hai'jin'sha
海螵蛸,hai'piao'xiao
汉宫秋,han'gong'qiu
汉肌松,han'ji'song
旱莲草,han'lian'cao
寒水石,han'shui'shi
汉桃叶,han'tao'ye
荷包牡丹,he'bao'mu'dan
合欢皮,he'huan'pi
何首乌,he'shou'wu
核桃仁,he'tao'ren
黑草乌叶,hei'cao'wu'ye
黑老虎根,hei'lao'hu'gen
黑种草子,hei'zhong'cao'zi
红蓖麻根,hong'bi'ma'gen
红花龙胆,hong'hua'long'dan
葫芦茶,hu'lu'cha
胡颓子叶,hu'tui'zi'ye
胡燕窠土,hu'yan'ke'tu
花蕊石,hua'rui'shi
淮山药,huai'shan'yao
黄花菜根,huang'hua'cai'gen
黄花地丁,huang'hua'di'ding
黄花龙芽,huang'hua'long'ya
回回来,hui'hui'lai
火麻仁,huo'ma'ren
火炭母,huo'tan'mu
鸡骨草,ji'gu'cao
鸡冠花,ji'guan'hua
鸡脚前胡,ji'jiao'qian'hu
鸡内金,ji'nei'jin
吉祥草,ji'xiang'cao
急性子,ji'xing'zi
鸡血藤,ji'xue'teng
甲鱼骨,jia'yu'gu
剑叶凤尾草,jian'ye'feng'wei'cao
金钗石斛,jin'chai'shi'hu
金合欢皮,jin'he'huan'pi
金龙胆草,jin'long'dan'cao
金毛狗脊,jin'mao'gou'ji
金钱白花蛇,jin'qian'bai'hua'she
金钱薄荷,jin'qian'bo'he
金钱草,jin'qian'cao
金钱吊芙蓉,jin'qian'diao'fu'rong
金沙藤,jin'sha'teng
金丝荷叶,jin'si'he'ye
金银花,jin'yin'hua
金樱子,jin'ying'zi
救必应,jiu'bi'ying
九节茶,jiu'jie'cha
九里明,jiu'li'ming
九里香,jiu'li'xiang
九龙根,jiu'long'gen
九头狮子草,jiu'tou'shi'zi'cao
九香虫,jiu'xiang'chong
九眼独活,jiu'yan'du'huo
苣英菜,ju'ying'cai
决明子,jue'ming'zi
开金锁,kai'jin'suo
空心莲子草,kong'xin'lian'zi'cao
苦瓜干,ku'gua'gan
苦楝皮,ku'lian'pi
苦叶细辛,ku'ye'xi'xin
块根糙苏,kuai'gen'cao'su
块根木蓝,kuai'gen'mu'lan
款冬花,kuan'dong'hua
宽筋藤,kuan'jin'teng
腊梅花,la'mei'hua
莱菔子,lai'fu'zi
老鹳草,lao'guan'cao
老鹳嘴,lao'guan'zui
老虎脚爪草,lao'hu'jiao'zhao'cao
老少年,lao'shao'nian
老勿大,lao'wu'da
老鸦瓣,lao'ya'ban
了哥王,le'ge'wang
荔枝核,li'zhi'he
连钱草,lian'qian'cao
莲生娃子花,lian'sheng'wa'zi'hua
莲子心,lian'zi'xin
两面针,liang'mian'zhen
蓼大青叶,liao'da'qing'ye
烈香杜鹃,lie'xiang'du'juan
凌霄花,ling'xiao'hua
羚羊角,ling'yang'jiao
羚羊角粉,ling'yang'jiao'fen
六和曲,liu'he'qu
六月雪,liu'yue'xue
龙胆草,long'dan'cao
龙丹花根,long'dan'hua'gen
龙利叶,long'li'ye
龙脑香,long'nao'xiang
龙牙草,long'ya'cao
龙眼肉,long'yan'rou
炉甘石,lu'gan'shi
鹿角胶,lu'jiao'jiao
鹿角霜,lu'jiao'shuang
路路通,lu'lu'tong
鹿衔草,lu'xian'cao
罗布麻叶,luo'bu'ma'ye
罗汉果,luo'han'guo
络石藤,luo'shi'teng
裸衣紫珠,luo'yi'zi'zhu
驴打滚儿草,lv'da'gun'er'cao
吕宋果,lv'song'guo
马鞭草,ma'bian'cao
马槟榔,ma'bing'lang
马齿苋,ma'chi'xian
马兜铃,ma'dou'ling
马兜铃藤,ma'dou'ling'teng
马兰草,ma'lan'cao
马兰头,ma'lan'tou
马利筋,ma'li'jin
马前子,ma'qian'zi
马尿泡,ma'sui'pao
马蹄金,ma'ti'jin
马蹄细辛,ma'ti'xi'xin
马尾莲,ma'wei'lian
马牙硝,ma'ya'xiao
马缨花,ma'ying'hua
麦门冬,mai'men'dong
蔓荆子,man'jing'zi
曼陀罗花,man'tuo'luo'hua
毛巴豆根,mao'ba'dou'gen
毛冬青,mao'dong'qing
毛诃子,mao'he'zi
牦牛儿苗,mao'niu'er'miao
猫爪草,mao'zhao'cao
莓叶委陵菜,mei'ye'wei'ling'cai
密蒙花,mi'meng'hua
绵马贯众,mian'ma'guan'zhong
木笔花,mu'bi'hua
木鳖子,mu'bie'zi
木菠萝,mu'bo'luo
牡丹皮,mu'dan'pi
母丁香,mu'ding'xiang
木防己,mu'fang'ji
木芙蓉,mu'fu'rong
木蝴蝶,mu'hu'die
木患子,mu'huan'zi
木姜子,mu'jiang'zi
木槿花,mu'jin'hua
木灵芝,mu'ling'zhi
木棉花,mu'mian'hua
木藤蓼,mu'teng'liao
木腰子,mu'yao'zi
木贼花,mu'zei'hua
南岭茺花,nan'ling'chong'hua
南五味子根,nan'wu'wei'zi'gen
闹羊花,nao'yang'hua
鸟不宿,niao'bu'su
牛蒡子,niu'bang'zi
牛大力,niu'da'li
牛西西,niu'xi'xi
农吉利,nong'ji'li
糯稻根,nuo'dao'gen
女儿香,nv'er'xiang
女贞子,nv'zhen'zi
蟛蜞菊,peng'qi'ju
枇杷叶,pi'pa'ye
平贝母,ping'bei'mu
平地木,ping'di'mu
蒲公英,pu'gong'ying
七星草,qi'xing'cao
七叶莲,qi'ye'lian
七叶一枝花,qi'ye'yi'zhi'hua
千层塔,qian'ceng'ta
千斤拨,qian'jin'bo
千金正,qian'jin'zheng
千里光,qian'li'guang
千里及,qian'li'ji
千里明,qian'li'ming
千年健,qian'nian'jian
牵牛子,qian'niu'zi
扦扦活,qian'qian'huo
千屈荣,qian'qu'rong
千日红,qian'ri'hong
千张纸,qian'zhang'zhi
蜣螂转丸,qiang'lang'zhuan'wan
青箱子,qing'xiang'zi
全须人参,quan'xu'ren'shen
全叶青兰,quan'ye'qing'lan
忍冬藤,ren'dong'teng
人中白,ren'zhong'bai
肉苁蓉,rou'cong'rong
肉豆蔻,rou'dou'kou
肉豆末,rou'dou'mo
如意花根,ru'yi'hua'gen
三白草,san'bai'cao
三叉苦,san'cha'ku
三分三,san'fen'san
三角草,san'jiao'cao
三颗针,san'ke'zhen
三七草,san'qi'cao
三叶刺针草,san'ye'ci'zhen'cao
三枝九叶草,san'zhi'jiu'ye'cao
三枝枪,san'zhi'qiang
桑上寄生,sang'shang'ji'sheng
沙苑蒺藜,sha'yuan'ji'li
沙苑子,sha'yuan'zi
山崩子,shan'beng'zi
山苍子,shan'cang'zi
山沉香,shan'chen'xiang
山慈姑,shan'ci'gu
山道年,shan'dao'nian
山豆根,shan'dou'gen
山梗菜,shan'geng'cai
山海螺,shan'hai'luo
山鸡椒,shan'ji'jiao
山腊梅茶,shan'la'mei'cha
山腊梅叶,shan'la'mei'ye
山龙眼,shan'long'yan
山羊角,shan'yang'jiao
山萸肉,shan'yu'rou
山栀茶,shan'zhi'cha
山指甲,shan'zhi'jia
山芝麻,shan'zhi'ma
山栀皮,shan'zhi'pi
山茱萸,shan'zhu'yu
蛇床子,she'chuang'zi
蛇胆汁,she'dan'zhi
生地黄,sheng'di'huang
生谷芽,sheng'gu'ya
生姜皮,sheng'jiang'pi
生卷柏,sheng'juan'bai
生晒参,sheng'shai'shen
生石膏,sheng'shi'gao
石菖蒲,shi'chang'pu
十大功劳,shi'da'gong'lao
石吊兰,shi'diao'lan
石荷叶,shi'he'ye
石胡莩,shi'hu'piao
石花菜,shi'hua'cai
石灰华,shi'hui'hua
石见穿,shi'jian'chuan
石椒草,shi'jiao'cao
石决明,shi'jue'ming
使君子,shi'jun'zi
石莲子,shi'lian'zi
石硫磺,shi'liu'huang
石榴皮,shi'liu'pi
石榴子,shi'liu'zi
石龙芮,shi'long'rui
石楠叶,shi'nan'ye
石钟乳,shi'zhong'ru
石钻子,shi'zuan'zi
书带草,shu'dai'cao
鼠曲草,shu'qu'cao
鼠牙半技莲,shu'ya'ban'ji'lian
双蝴蝶,shuang'hu'die
水安息,shui'an'xi
水半夏,shui'ban'xia
水车前,shui'che'qian
水花生,shui'hua'sheng
水龙骨,shui'long'gu
水蔓菁,shui'man'jing
水牛角,shui'niu'jiao
水蜈蚣,shui'wu'gong
水扬梅,shui'yang'mei
四川大黄,si'chuan'da'huang
四方草,si'fang'cao
四方藤,si'fang'teng
丝瓜络,si'gua'luo
丝瓜藤,si'gua'teng
四季青,si'ji'qing
四叶参,si'ye'can
四叶细辛,si'ye'xi'xin
松节油,song'jie'you
松叶牡丹,song'ye'mu'dan
苏合香,su'he'xiang
素馨花,su'xin'hua
酸枣仁,suan'zao'ren
酸枣树皮,suan'zao'shu'pi
狲猴桃根,sun'hou'tao'gen
莎草香附子,suo'cao'xiang'fu'zi
索骨丹根,suo'gu'dan'gen
台乌药,tai'wu'yao
太阳花,tai'yang'hua
太子参,tai'zi'shen
螳螂桑螵蛸,tang'lang'sang'piao'xiao
桃金粮根,tao'jin'liang'gen
天冬草,tian'dong'cao
天花粉,tian'hua'fen
田基黄,tian'ji'huang
天浆壳,tian'jiang'ke
天葵子,tian'kui'zi
天门冬,tian'men'dong
天南星,tian'nan'xing
田三七,tian'san'qi
天竹根,tian'zhu'gen
天竺黄,tian'zhu'huang
天竹子,tian'zhu'zi
田字草,tian'zi'cao
葶苈子,ting'li'zi
头顶一颗珠,tou'ding'yi'ke'zhu
土贝母,tu'bei'mu
土鳖虫,tu'bie'chong
土大黄,tu'dai'huang
土当归,tu'dang'gui
土党参,tu'dang'shen
土茯苓,tu'fu'ling
土槿皮,tu'jin'pi
土荆皮,tu'jing'pi
土木鳖,tu'mu'bie
土木香,tu'mu'xiang
土牛膝,tu'niu'xi
土人参,tu'ren'shen
土三七,tu'san'qi
菟丝子,tu'si'zi
托盘根,tuo'pan'gen
脱皮马勃,tuo'pi'ma'bo
瓦楞子,wa'leng'zi
瓦垄子,wa'long'zi
瓦挖草,wa'wa'cao
万年青,wan'nian'qing
万年青根,wan'nian'qing'gen
王不留行,wang'bu'liu'xing
威灵仙,wei'ling'xian
文旦皮,wen'dan'pi
文冠木,wen'guan'mu
五倍子,wu'bei'zi
无患子,wu'huan'zi
五加皮,wu'jia'pi
乌蔹莓,wu'lian'mei
五敛子,wu'lian'zi
五灵脂,wu'ling'zhi
无漏子,wu'lou'zi
无名异,wu'ming'yi
无名子,wu'ming'zi
五色石脂,wu'se'shi'zhi
乌梢蛇,wu'shao'she
乌头碱,wu'tou'jian
五味子,wu'wei'zi
五眼果,wu'yan'guo
乌贼骨,wu'zei'gu
五爪金龙,wu'zhao'jin'long
五指柑,wu'zhi'gan
五指毛桃,wu'zhi'mao'tao
吴茱萸,wu'zhu'yu
西瓜翠衣,xi'gua'cui'yi
西瓜皮,xi'gua'pi
西河柳,xi'he'liu
喜树根皮,xi'shu'gen'pi
西洋参,xi'yang'shen
细叶目前子,xi'ye'mu'qian'zi
细叶碎米蕨,xi'ye'sui'mi'jue
夏枯草,xia'ku'cao
夏天无,xia'tian'wu
狭叶韩信草,xia'ye'han'xin'cao
仙半夏,xian'ban'xia
仙鹤草,xian'he'cao
仙鹤草根,xian'he'cao'gen
仙灵脾,xian'ling'pi
仙人掌,xian'ren'zhang
仙桃草,xian'tao'cao
仙遗粮,xian'yi'liang
小百科,xiao'bai'ke
小驳骨,xiao'bo'gu
小飞扬,xiao'fei'yang
小红莲,xiao'hong'lian
小红参,xiao'hong'shen
小胡麻,xiao'hu'ma
小花排草,xiao'hua'pai'cao
小黄药,xiao'huang'yao
小茴香,xiao'hui'xiang
小蓟炭,xiao'ji'tan
小兰花,xiao'lan'hua
小青皮,xiao'qing'pi
小石韦,xiao'shi'wei
小通草,xiao'tong'cao
小野鸡尾,xiao'ye'ji'wei
小叶朴,xiao'ye'pu
新疆紫草,xin'jiang'zi'cao
辛夷花,xin'yi'hua
杏叶沙参,xing'ye'sha'shen
徐长卿,xu'chang'qing
旋复花,xuan'fu'hua
悬钩子茎,xuan'gou'zi'jing
玄胡索,xuan'hu'suo
玄明粉,xuan'ming'fen
血余炭,xue'yu'tan
鸦胆子,ya'dan'zi
亚乎奴,ya'hu'nu
亚吉玛,ya'ji'ma
亚麻子,ya'ma'zi
鸭跖草,ya'zhi'cao
延胡索,yan'hu'suo
阳春砂仁,yang'chun'sha'ren
洋地黄叶,yang'di'huang'ye
阳起石,yang'qi'shi
也白头,ye'bai'tou
叶底珠,ye'di'zhu
野菊花,ye'ju'hua
叶茅对钩,ye'mao'dui'gou
叶上珠,ye'shang'zhu
野西瓜苗,ye'xi'gua'miao
一点红,yi'dian'hong
一见喜,yi'jian'xi
一见消,yi'jian'xiao
益母草,yi'mu'cao
一条鞭,yi'tiao'bian
异叶青兰,yi'ye'qing'lan
一叶萩,yi'ye'qiu
异叶天南星,yi'ye'tian'nan'xing
薏苡仁,yi'yi'ren
一枝黄花,yi'zhi'huang'hua
益智仁,yi'zhi'ren
一枝香,yi'zhi'xiang
淫羊藿,yin'yang'huo
鹰不泊,ying'bu'bo
营实墙蘼,ying'shi'qiang'mi
罂粟壳,ying'su'ke
余甘子,yu'gan'zi
郁李仁,yu'li'ren
玉米须,yu'mi'xu
玉葡萄根,yu'pu'tao'gen
鱼腥草,yu'xing'cao
禹余粮,yu'yu'liang
元宝草,yuan'bao'cao
元明粉,yuan'ming'fen
月季花,yue'ji'hua
月月花,yue'yue'hua
云母石,yun'mu'shi
云木香,yun'mu'xiang
云实皮,yun'shi'pi
芸香草,yun'xiang'cao
皂角刺,zao'jiao'ci
灶心土,zao'xin'tu
扎蓬果,zha'peng'guo
掌叶覆盆子,zhang'ye'fu'pen'zi
兆五味子,zhao'wu'wei'zi
直立紫董,zhi'li'zi'dong
支柱蓼,zhi'zhu'liao
钟乳石,zhong'ru'shi
皱皮酸模,zhou'pi'suan'mo
竹节香附,zhu'jie'xiang'fu
紫背浮萍,zi'bei'fu'ping
紫背天葵,zi'bei'tian'kui
紫河车,zi'he'che
紫花地丁,zi'hua'di'ding
紫花地丁草,zi'hua'di'ding'cao
紫花杜鹃,zi'hua'du'juan
紫萁贯众,zi'qi'guan'zhong
自然铜,zi'ran'tong
昨叶何草,zuo'ye'he'cao
