阿宅,a'zhai
唉唉,ai'ai
八卦版,ba'gua'ban
版标,ban'biao
北七,bei'qi
被水桶,bei'shui'tong
被酸,bei'suan
被嘘,bei'xu
笨版,ben'ban
笨点,ben'dian
婊很大,biao'hen'da
表特,biao'te
表特板,biao'te'ban
补个,bu'ge
超爽,chao'shuang
超正,chao'zheng
承认你就是,cheng'ren'ni'jiu'shi
纯推,chun'tui
大哭,da'ku
大雷,da'lei
打枪,da'qiang
大推,da'tui
大嘘,da'xu
发卡,fa'ka
发文不附图,fa'wen'bu'fu'tu
附图,fu'tu
豪洨,hao'xiao
黑特,hei'te
很雷,hen'lei
红姨,hong'yi
吼吼,hou'hou
虎烂,hu'lan
机歪,ji'wai
捡肥皂,jian'fei'zao
金排球,jin'pai'qiu
金胎哥,jin'tai'ge
禁语,jin'yu
就可,jiu'ke
就可板,jiu'ke'ban
揪咪,jiu'mi
科科,ke'ke
可以唷,ke'yi'yo
哭哭,ku'ku
狂推,kuang'tui
蓝蛆,lan'qu
老梗,lao'geng
楼不推不行,lou'bu'tui'bu'xing
楼救援成功,lou'jiu'yuan'cheng'gong
楼正解,lou'zheng'jie
楼中肯,lou'zhong'ken
楼专业,lou'zhuan'ye
马囧,ma'jiong
没图没真相,mei'tu'mei'zhen'xiang
脑残,nao'can
逆推,ni'tui
娘炮,niang'pao
拍拍,pai'pai
泣台,qi'tai
牵拖,qian'tuo
敲碗,qiao'wan
蛆蛆,qu'qu
让专业的来,rang'zhuan'ye'de'lai
如果是原,ru'guo'shi'yuan
茹丝葵,ru'si'kui
傻眼,sha'yan
闪光,shan'guang
山湿,shan'shi
耍笨,shua'ben
水啦,shui'la
水唷,shui'yo
俗辣,su'la
台肯,tai'ken
躺着也,tang'zhe'ye
跳针,tiao'zhen
头嘘,tou'xu
图勒,tu'le
图咧,tu'lie
推爆,tui'bao
推签名档,tui'qian'ming'dang
推推,tui'tui
推文,tui'wen
推一下,tui'yi'xia
挖靠,wa'kao
五楼专业,wu'lou'zhuan'ye
西斯,xi'si
笑点,xiao'dian
醒醒吧,xing'xing'ba
嘘文,xu'wen
嘘一个,xu'yi'ge
以下开放,yi'xia'kai'fang
有腐,you'fu
有股淡淡,you'gu'dan'dan
有股淡淡的哀伤,you'gu'dan'dan'de'ai'shang
有笑有推,you'xiao'you'tui
啧啧,ze'ze
宅宅,zhai'zhai
张爸,zhang'ba
长知识,zhang'zhi'shi
郑公,zheng'gong
政黑,zheng'hei
正妹,zheng'mei
吱吱,zhi'zhi
中枪,zhong'qiang
自婊,zi'biao
嘴炮,zui'pao
