爱课程,ai'ke'cheng
安春元,an'chun'yuan
安全风险评估实验室,an'quan'feng'xian'ping'gu'shi'yan'shi
保卫处,bao'wei'chu
北区图书馆,bei'qu'tu'shu'guan
本科生教育,ben'ke'sheng'jiao'yu
标识文化,biao'zhi'wen'hua
部级工程研究中心,bu'ji'gong'cheng'yan'jiu'zhong'xin
部级重点实验室,bu'ji'zhong'dian'shi'yan'shi
采购与招投标管理中心,cai'gou'yu'zhao'tou'biao'guan'li'zhong'xin
材料与能源学部,cai'liao'yu'neng'yuan'xue'bu
财务处,cai'wu'chu
蚕桑功能基因组与生物技术,can'sang'gong'neng'ji'yin'zu'yu'sheng'wu'ji'shu
蚕桑基因组与生物技术,can'sang'ji'yin'zu'yu'sheng'wu'ji'shu
蚕桑学,can'sang'xue
蚕桑资源及分子改良,can'sang'zi'yuan'ji'fen'zi'gai'liang
蚕丝纤维新材料,can'si'xian'wei'xin'cai'liao
蚕学与系统生物学研究所,can'xue'yu'xi'tong'sheng'wu'xue'yan'jiu'suo
草食动物资源保护与利用,cao'shi'dong'wu'zi'yuan'bao'hu'yu'li'yong
曾波,ceng'bo
超星名师讲坛,chao'xing'ming'shi'jiang'tan
超星慕课,chao'xing'mu'ke
陈洪,chen'hong
陈红,chen'hong
陈时见,chen'shi'jian
陈重穆,chen'zhong'mu
城乡社区市民学校,cheng'xiang'she'qu'shi'min'xue'xiao
重庆国学院,chong'qing'guo'xue'yuan
重庆市视频公开课程,chong'qing'shi'shi'pin'gong'kai'ke'cheng
重庆市重点实验室,chong'qing'shi'zhong'dian'shi'yan'shi
重庆市资源共享课程,chong'qing'shi'zi'yuan'gong'xiang'ke'cheng
重庆烟草科学研究所,chong'qing'yan'cao'ke'xue'yan'jiu'suo
出版社,chu'ban'she
创道讲堂,chuang'dao'jiang'tang
创新引智基地,chuang'xin'yin'zhi'ji'di
崔延强,cui'yan'qiang
大学精神,da'xue'jing'shen
大学科技园,da'xue'ke'ji'yuan
大学章程,da'xue'zhang'cheng
戴思锐,dai'si'rui
淡水鱼类新品种繁育,dan'shui'yu'lei'xin'pin'zhong'fan'yu
档案馆,dang'an'guan
党建与思想政治教育研究基地,dang'jian'yu'si'xiang'zheng'zhi'jiao'yu'yan'jiu'ji'di
党群部门,dang'qun'bu'men
党委,dang'wei
党委办公室,dang'wei'ban'gong'shi
党委保卫部,dang'wei'bao'wei'bu
党委统战部,dang'wei'tong'zhan'bu
党委网络工作部,dang'wei'wang'luo'gong'zuo'bu
党委宣传部,dang'wei'xuan'chuan'bu
党委学生工作部,dang'wei'xue'sheng'gong'zuo'bu
党委研究生工作部,dang'wei'yan'jiu'sheng'gong'zuo'bu
党委组织部,dang'wei'zu'zhi'bu
地理科学学院,di'li'ke'xue'xue'yuan
电子信息工程学院,dian'zi'xin'xi'gong'cheng'xue'yuan
丁忠民,ding'zhong'min
冬季越野赛,dong'ji'yue'ye'sai
动物科技学院,dong'wu'ke'ji'xue'yuan
董小玉,dong'xiao'yu
对外联络部,dui'wai'lian'luo'bu
发光与实时分析化学,fa'guang'yu'shi'shi'fen'xi'hua'xue
法学院,fa'xue'yuan
发展规划处,fa'zhan'gui'hua'chu
纺织服装学院,fang'zhi'fu'zhuang'xue'yuan
非线性电路与智能信息处理,fei'xian'xing'dian'lu'yu'zhi'neng'xin'xi'chu'li
附属小学,fu'shu'xiao'xue
附属中学,fu'shu'zhong'xue
柑桔产品质量,gan'ju'chan'pin'zhi'liang
柑桔工程技术研究中心,gan'ju'gong'cheng'ji'shu'yan'jiu'zhong'xin
柑桔教育部工程研究中心,gan'ju'jiao'yu'bu'gong'cheng'yan'jiu'zhong'xin
柑桔学重庆市重点实验室,gan'ju'xue'chong'qing'shi'zhong'dian'shi'yan'shi
柑桔研究所,gan'ju'yan'jiu'suo
甘薯工程技术研究中心,gan'shu'gong'cheng'ji'shu'yan'jiu'zhong'xin
港澳台办公室,gang'ao'tai'ban'gong'shi
高雅艺术进校园,gao'ya'yi'shu'jin'xiao'yuan
工程技术学院,gong'cheng'ji'shu'xue'yuan
工程技术研究中心,gong'cheng'ji'shu'yan'jiu'zhong'xin
工程技术中心,gong'cheng'ji'shu'zhong'xin
工程研究中心,gong'cheng'yan'jiu'zhong'xin
公共文化研究基地,gong'gong'wen'hua'yan'jiu'ji'di
工会,gong'hui
共建科研机构,gong'jian'ke'yan'ji'gou
共建平台,gong'jian'ping'tai
国防生选拔培养办公室,guo'fang'sheng'xuan'ba'pei'yang'ban'gong'shi
国际合作与交流处,guo'ji'he'zuo'yu'jiao'liu'chu
国际教育系列全文专题数据库,guo'ji'jiao'yu'xi'lie'quan'wen'zhuan'ti'shu'ju'ku
国际生教育,guo'ji'sheng'jiao'yu
国际学院,guo'ji'xue'yuan
国家蚕桑产业技术研发中心,guo'jia'can'sang'chan'ye'ji'shu'yan'fa'zhong'xin
国家柑桔工程技术研究中心,guo'jia'gan'ju'gong'cheng'ji'shu'yan'jiu'zhong'xin
国家柑桔苗木脱毒中心,guo'jia'gan'ju'miao'mu'tuo'du'zhong'xin
国家柑桔品种改良中心,guo'jia'gan'ju'pin'zhong'gai'liang'zhong'xin
国家柑桔资源圃,guo'jia'gan'ju'zi'yuan'pu
国家视频公开课程,guo'jia'shi'pin'gong'kai'ke'cheng
