暗盒,an'he
按钮,an'niu
半程,ban'cheng
半幅,ban'fu
曝光,bao'guang
曝光补偿,bao'guang'bu'chang
曝光不足,bao'guang'bu'zu
曝光方式,bao'guang'fang'shi
曝光过度,bao'guang'guo'du
曝光记忆,bao'guang'ji'yi
曝光调整,bao'guang'tiao'zheng
曝光值,bao'guang'zhi
被动的无源的,bei'dong'de'wu'yuan'de
背景,bei'jing
闭锁锁定,bi'suo'suo'ding
变程序,bian'cheng'xu
变焦,bian'jiao
变焦剪裁,bian'jiao'jian'cai
变焦镜头,bian'jiao'jing'tou
变焦效果,bian'jiao'xiao'guo
编码,bian'ma
变色,bian'se
变速,bian'su
标准,biao'zhun
标准镜头,biao'zhun'jing'tou
彩虹滤光镜,cai'hong'lv'guang'jing
测光,ce'guang
测光手动,ce'guang'shou'dong
测距取景器,ce'ju'qu'jing'qi
长焦距镜头,chang'jiao'ju'jing'tou
超程序,chao'cheng'xu
超低色散,chao'di'se'san
超广角镜头,chao'guang'jiao'jing'tou
超级多层镀膜,chao'ji'duo'ceng'du'mo
超级性能,chao'ji'xing'neng
超焦距,chao'jiao'ju
超阔超广,chao'kuo'chao'guang
超声波,chao'sheng'bo
超手动,chao'shou'dong
橙色滤光镜,cheng'se'lv'guang'jing
程序,cheng'xu
程序复位,cheng'xu'fu'wei
程序化影像控制,cheng'xu'hua'ying'xiang'kong'zhi
程序机背,cheng'xu'ji'bei
程序偏移,cheng'xu'pian'yi
程序闪光,cheng'xu'shan'guang
重新构图,chong'xin'gou'tu
触点,chu'dian
传感器,chuan'gan'qi
垂直,chui'zhi
大规模集成,da'gui'mo'ji'cheng
单次自动聚焦,dan'ci'zi'dong'ju'jiao
单环式,dan'huan'shi
单环式变焦镜头,dan'huan'shi'bian'jiao'jing'tou
单镜头反光照相机,dan'jing'tou'fan'guang'zhao'xiang'ji
单张进片,dan'zhang'jin'pian
倒易律,dao'yi'lv
倒易律失效,dao'yi'lv'shi'xiao
倒影镜,dao'ying'jing
德国工业标准,de'guo'gong'ye'biao'zhun
低调,di'diao
低亮度低光,di'liang'du'di'guang
点测光,dian'ce'guang
电池检测,dian'chi'jian'ce
电池手柄,dian'chi'shou'bing
电动变焦,dian'dong'bian'jiao
电动机马达,dian'dong'ji'ma'da
电动聚焦,dian'dong'ju'jiao
电荷耦合器件,dian'he'ou'he'qi'jian
电源功率电动,dian'yuan'gong'lv'dian'dong
电子光学系统,dian'zi'guang'xue'xi'tong
电子选择模式,dian'zi'xuan'ze'mo'shi
冻结凝固,dong'jie'ning'gu
独脚架,du'jiao'jia
镀膜,du'mo
段区,duan'qu
多程序,duo'cheng'xu
多重曝光,duo'chong'bao'guang
多重控制,duo'chong'kong'zhi
多重影,duo'chong'ying
多传感器多感光元件,duo'chuan'gan'qi'duo'gan'guang'yuan'jian
多点测光,duo'dian'ce'guang
多模式,duo'mo'shi
多区多分区多模式,duo'qu'duo'fen'qu'duo'mo'shi
多任务,duo'ren'wu
多束,duo'shu
多维,duo'wei
发光二极管,fa'guang'er'ji'guan
反差对比,fan'cha'dui'bi
反差平衡,fan'cha'ping'heng
反光,fan'guang
反光镜,fan'guang'jing
反光镜箱,fan'guang'jing'xiang
反射器反光板,fan'she'qi'fan'guang'ban
反转胶片,fan'zhuan'jiao'pian
放大倍率,fang'da'bei'lv
防红眼,fang'hong'yan
菲涅尔透镜环状透镜,fei'nie'er'tou'jing'huan'zhuang'tou'jing
分辨率,fen'bian'lv
分离镜片,fen'li'jing'pian
蜂巢式测光,feng'chao'shi'ce'guang
风景,feng'jing
覆盖范围,fu'gai'fan'wei
复合透镜,fu'he'tou'jing
附件,fu'jian
附件插座热靴,fu'jian'cha'zuo're'xue
负片,fu'pian
复消色差,fu'xiao'se'cha
辅助的,fu'zhu'de
辅助影像重合,fu'zhu'ying'xiang'chong'he
盖子,gai'zi
高调,gao'diao
高光高亮,gao'guang'gao'liang
高光控制,gao'guang'kong'zhi
高级程序变焦,gao'ji'cheng'xu'bian'jiao
高速,gao'su
构图,gou'tu
广角镜头,guang'jiao'jing'tou
广角预视宽区预视,guang'jiao'yu'shi'kuan'qu'yu'shi
光阑,guang'lan
光圈,guang'quan
光圈优先,guang'quan'you'xian
硅光电池,gui'guang'dian'chi
硅光电二极管,gui'guang'dian'er'ji'guan
国际标准化组织,guo'ji'biao'zhun'hua'zu'zhi
贺辞祝辞字幕,he'ci'zhu'ci'zi'mu
褐色滤光镜,he'se'lv'guang'jing
红外线,hong'wai'xian
红眼,hong'yan
红眼减少,hong'yan'jian'shao
后帘,hou'lian
后帘第二帘幕,hou'lian'di'er'lian'mu
后帘同步,hou'lian'tong'bu
弧形,hu'xing
幻灯胶片,huan'deng'jiao'pian
环境光,huan'jing'guang
环形闪光灯,huan'xing'shan'guang'deng
混合相机,hun'he'xiang'ji
机背,ji'bei
畸变,ji'bian
集成,ji'cheng
集成电路,ji'cheng'dian'lu
基存储影像传感器,ji'cun'chu'ying'xiang'chuan'gan'qi
机身一体化,ji'shen'yi'ti'hua
计算机,ji'suan'ji
机套,ji'tao
稼光电二极管,jia'guang'dian'er'ji'guan
渐变,jian'bian
检测,jian'ce
间隔拍摄,jian'ge'pai'she
监视监视器,jian'shi'jian'shi'qi
碱性,jian'xing
剪影,jian'ying
交叉,jiao'cha
焦点,jiao'dian
焦点跟踪,jiao'dian'gen'zong
焦点平面,jiao'dian'ping'mian
焦点锁定,jiao'dian'suo'ding
焦点优先,jiao'dian'you'xian
焦点预测,jiao'dian'yu'ce
交互式功能,jiao'hu'shi'gong'neng
焦距,jiao'ju
胶卷感光度,jiao'juan'gan'guang'du
胶卷片,jiao'juan'pian
校正,jiao'zheng
近摄,jin'she
近摄接圈,jin'she'jie'quan
景深,jing'shen
景深预测,jing'shen'yu'ce
镜头盖,jing'tou'gai
镜头释放钮,jing'tou'shi'fang'niu
镜头透镜,jing'tou'tou'jing
镜头遮光罩,jing'tou'zhe'guang'zhao
局部测光,ju'bu'ce'guang
聚焦对焦调焦,ju'jiao'dui'jiao'tiao'jiao
聚焦级数,ju'jiao'ji'shu
聚焦屏,ju'jiao'ping
聚焦区域,ju'jiao'qu'yu
矩阵式测光,ju'zhen'shi'ce'guang
卡口,ka'kou
可更换,ke'geng'huan
可收缩闪光灯,ke'shou'suo'shan'guang'deng
快门,kuai'men
快门帘幕,kuai'men'lian'mu
快门释放,kuai'men'shi'fang
快门速度,kuai'men'su'du
快门速度优先,kuai'men'su'du'you'xian
快门线,kuai'men'xian
快门线插孔,kuai'men'xian'cha'kong
快门优先,kuai'men'you'xian
宽容度,kuan'rong'du
蓝色滤光镜,lan'se'lv'guang'jing
锂电池,li'dian'chi
离机,li'ji
帘幕,lian'mu
连续进片,lian'xu'jin'pian
连续自动聚焦,lian'xu'zi'dong'ju'jiao
亮度控制,liang'du'kong'zhi
裂像,lie'xiang
灵敏度,ling'min'du
灵敏度范围,ling'min'du'fan'wei
硫化镉元件,liu'hua'ge'yuan'jian
滤光镜,lv'guang'jing
慢速同步,man'su'tong'bu
美国标准协会,mei'guo'biao'zhun'xie'hui
梦幻滤光镜,meng'huan'lv'guang'jing
弥散圆,mi'san'yuan
模糊逻辑,mo'hu'luo'ji
模块,mo'kuai
磨砂毛玻璃,mo'sha'mao'bo'li
目镜,mu'jing
内调焦,nei'tiao'jiao
内置,nei'zhi
逆光背光,ni'guang'bei'guang
逆光补偿,ni'guang'bu'chang
镍铬可充电电池,nie'ge'ke'chong'dian'dian'chi
暖色调,nuan'se'diao
耦合器,ou'he'qi
皮腔,pi'qiang
偏离胶卷平面,pian'li'jiao'juan'ping'mian
偏离中心,pian'li'zhong'xin
偏移移动,pian'yi'yi'dong
偏振镜,pian'zhen'jing
偏振偏光,pian'zhen'pian'guang
平行,ping'xing
平行视差,ping'xing'shi'cha
前景,qian'jing
前帘第一帘幕,qian'lian'di'yi'lian'mu
桥梁相机,qiao'liang'xiang'ji
清晰度,qing'xi'du
倾斜及偏移,qing'xie'ji'pian'yi
驱动方式,qu'dong'fang'shi
屈光度,qu'guang'du
取景器,qu'jing'qi
全景,quan'jing
热靴附件插座,re'xue'fu'jian'cha'zuo
人体工程学,ren'ti'gong'cheng'xue
人像肖像,ren'xiang'xiao'xiang
日本工业标准,ri'ben'gong'ye'biao'zhun
柔光,rou'guang
柔光镜,rou'guang'jing
柔焦柔光,rou'jiao'rou'guang
柔性程序,rou'xing'cheng'xu
锐度,rui'du
三脚架,san'jiao'jia
色差,se'cha
色散,se'san
闪光,shan'guang
闪光测光,shan'guang'ce'guang
闪光持续时间,shan'guang'chi'xu'shi'jian
闪光灯充电完毕,shan'guang'deng'chong'dian'wan'bi
闪光灯闪光,shan'guang'deng'shan'guang
闪光灯闪光管,shan'guang'deng'shan'guang'guan
闪光范围,shan'guang'fan'wei
闪光指数,shan'guang'zhi'shu
摄影,she'ying
设置,she'zhi
视点,shi'dian
释放优先,shi'fang'you'xian
视角,shi'jiao
世界时间,shi'jie'shi'jian
视力校正镜,shi'li'jiao'zheng'jing
适配器,shi'pei'qi
石英数据机背,shi'ying'shu'ju'ji'bei
手柄,shou'bing
手动,shou'dong
手动曝光,shou'dong'bao'guang
手动聚焦,shou'dong'ju'jiao
数据机背,shu'ju'ji'bei
数据面板,shu'ju'mian'ban
输片过片,shu'pian'guo'pian
输片系统,shu'pian'xi'tong
双重曝光,shuang'chong'bao'guang
双环,shuang'huan
双环式变焦镜头,shuang'huan'shi'bian'jiao'jing'tou
水粉滤光镜,shui'fen'lv'guang'jing
水平,shui'ping
瞬回式,shun'hui'shi
