按敷法,an'fu'fa
按摩法,an'mo'fa
按摩油,an'mo'you
安息香,an'xi'xiang
八角茴香,ba'jiao'hui'xiang
白豆蔻,bai'dou'kou
百里香,bai'li'xiang
白千层,bai'qian'ceng
白松香,bai'song'xiang
北美香柏,bei'mei'xiang'bai
北美圆柏,bei'mei'yuan'bai
鼻腔吸收,bi'qiang'xi'shou
薄荷,bo'he
茶树,cha'shu
超临界流体萃取法,chao'lin'jie'liu'ti'cui'qu'fa
橙花,cheng'hua
宠物芳疗,chong'wu'fang'liao
大西洋雪松,da'xi'yang'xue'song
代代花,dai'dai'hua
当归,dang'gui
德国洋甘菊,de'guo'yang'gan'ju
丁香,ding'xiang
丁香罗勒,ding'xiang'luo'le
杜松子,du'song'zi
多香果,duo'xiang'guo
二氧化碳,er'yang'hua'tan
防虫驱虫,fang'chong'qu'chong
芳疗庭院,fang'liao'ting'yuan
芳疗植物,fang'liao'zhi'wu
芳香笔记本,fang'xiang'bi'ji'ben
芳香玻璃彩体,fang'xiang'bo'li'cai'ti
芳香抽屉衬垫,fang'xiang'chou'ti'chen'dian
芳香灯泡,fang'xiang'deng'pao
芳香地毯,fang'xiang'di'tan
芳香家居,fang'xiang'jia'ju
芳香佳叶樟,fang'xiang'jia'ye'zhang
芳香蜡烛,fang'xiang'la'zhu
芳香疗法,fang'xiang'liao'fa
芳香美容,fang'xiang'mei'rong
芳香名片,fang'xiang'ming'pian
芳香墨水,fang'xiang'mo'shui
芳香木球,fang'xiang'mu'qiu
芳香生活,fang'xiang'sheng'huo
芳香松果,fang'xiang'song'guo
芳香文具,fang'xiang'wen'ju
芳香信纸,fang'xiang'xin'zhi
芳香治疗,fang'xiang'zhi'liao
芳香制品,fang'xiang'zhi'pin
芳香桌子,fang'xiang'zhuo'zi
芳香族化合物,fang'xiang'zu'hua'he'wu
肺部吸收,fei'bu'xi'shou
芬芳发香体,fen'fang'fa'xiang'ti
佛手钳,fo'shou'qian
复方精油,fu'fang'jing'you
甘松,gan'song
葛缕子,ge'lv'zi
古埃及芳香疗法,gu'ai'ji'fang'xiang'liao'fa
贯叶金丝桃,guan'ye'jin'si'tao
广藿香,guang'huo'xiang
黑胡椒,hei'hu'jiao
护肤养颜,hu'fu'yang'yan
胡萝卜,hu'luo'bo
桦木,hua'mu
化学变型,hua'xue'bian'xing
基础油,ji'chu'you
激情芳疗庭院,ji'qing'fang'liao'ting'yuan
胶香树,jiao'xiang'shu
洁净平衡美肤疗程,jie'jing'ping'heng'mei'fu'liao'cheng
金盞花,jin'zhan'hua
精油,jing'you
聚合草,ju'he'cao
康乃馨,kang'nai'xin
枯茗,ku'ming
快乐鼠尾草,kuai'le'shu'wei'cao
蜡菊,la'ju
蓝桉,lan'an
榄香脂,lan'xiang'zhi
留兰香,liu'lan'xiang
龙蒿,long'hao
罗马洋甘菊,luo'ma'yang'gan'ju
绿化白千层,lv'hua'bai'qian'ceng
马郁兰,ma'yu'lan
玫瑰,mei'gui
玫瑰草,mei'gui'cao
玫瑰蔷薇木,mei'gui'qiang'wei'mu
美体香身,mei'ti'xiang'shen
没药,mei'yao
迷迭香,mi'die'xiang
茉莉,mo'li
南非钩麻,nan'fei'gou'ma
宁静芳疗庭院,ning'jing'fang'liao'ting'yuan
柠檬,ning'meng
柠檬桉,ning'meng'an
柠檬马鞭草,ning'meng'ma'bian'cao
柠檬香茅,ning'meng'xiang'mao
牛至,niu'zhi
欧白芷,ou'bai'zhi
欧薄荷,ou'bo'he
欧芹,ou'qin
欧蓍草,ou'shi'cao
欧洲赤松,ou'zhou'chi'song
皮肤吸收,pi'fu'xi'shou
啤酒花,pi'jiu'hua
葡萄柚,pu'tao'you
菩提花,pu'ti'hua
芹菜,qin'cai
清除异臭,qing'chu'yi'chou
溶剂浸提法,rong'ji'jin'ti'fa
肉豆蔻,rou'dou'kou
肉桂,rou'gui
乳香,ru'xiang
三叉神经梳理法,san'cha'shen'jing'shu'li'fa
山鸡椒,shan'ji'jiao
山金车,shan'jin'che
神香草,shen'xiang'cao
莳萝,shi'luo
室内香薰,shi'nei'xiang'xun
瘦身,shou'shen
鼠尾草,shu'wei'cao
水汽扩散法,shui'qi'kuo'san'fa
丝柏,si'bai
松红梅,song'hong'mei
穗薰衣草,sui'xun'yi'cao
檀香,tan'xiang
甜橙,tian'cheng
甜罗勒,tian'luo'le
调理内分泌,tiao'li'nei'fen'mi
调配,tiao'pei
萜类化合物,tie'lei'hua'he'wu
土木香,tu'mu'xiang
万寿菊,wan'shou'ju
吸附法,xi'fu'fa
希腊芳香疗法,xi'la'fang'xiang'liao'fa
锡兰肉桂,xi'lan'rou'gui
洗浴法,xi'yu'fa
香蜂草,xiang'feng'cao
香荚兰,xiang'jia'lan
香茅,xiang'mao
香气特征,xiang'qi'te'zheng
香身,xiang'shen
橡树苔,xiang'shu'tai
香桃木,xiang'tao'mu
香薰灯,xiang'xun'deng
香薰淋巴引流排毒法,xiang'xun'lin'ba'yin'liu'pai'du'fa
香薰美容疗程,xiang'xun'mei'rong'liao'cheng
香薰衣物,xiang'xun'yi'wu
香叶天竺葵,xiang'ye'tian'zhu'kui
香樟,xiang'zhang
香脂冷杉,xiang'zhi'leng'shan
小豆蔻,xiao'dou'kou
小茴香,xiao'hui'xiang
辛香辛香,xin'xiang'xin'xiang
醒目薰衣草,xing'mu'xun'yi'cao
嗅觉吸收法,xiu'jue'xi'shou'fa
旋果蚊子草,xuan'guo'wen'zi'cao
熏香,xun'xiang
薰衣草,xun'yi'cao
薰衣草棉,xun'yi'cao'mian
