艾尔莎,ai'er'sha
爱林莎,ai'lin'sha
昂达,ang'da
板型,ban'xing
插槽,cha'cao
超频开关,chao'pin'kai'guan
处理器,chu'li'qi
丹丁,dan'ding
挡板,dang'ban
电脑,dian'nao
电源插口,dian'yuan'cha'kou
电源接口,dian'yuan'jie'kou
顶星,ding'xing
二级缓存,er'ji'huan'cun
富士康,fu'shi'kang
供电模式,gong'dian'mo'shi
冠盟,guan'meng
宏基,hong'ji
华擎,hua'qing
华硕,hua'shuo
集成芯片,ji'cheng'xin'pian
技嘉,ji'jia
技翔,ji'xiang
键盘接口,jian'pan'jie'kou
捷波,jie'bo
接口,jie'kou
接软驱,jie'ruan'qu
杰微,jie'wei
精威,jing'wei
精英,jing'ying
科迪亚,ke'di'ya
科脑,ke'nao
扩展插槽,kuo'zhan'cha'cao
联强,lian'qiang
梅捷,mei'jie
描述,miao'shu
明基,ming'ji
铭瑄,ming'xuan
内存,nei'cun
内存规格,nei'cun'gui'ge
内存类型,nei'cun'lei'xing
内存描述,nei'cun'miao'shu
磐英,pan'ying
磐正,pan'zheng
七彩虹,qi'cai'hong
其他接口,qi'ta'jie'kou
千兆网卡,qian'zhao'wang'ka
驱动光盘,qu'dong'guang'pan
声道,sheng'dao
升技,sheng'ji
声卡,sheng'ka
适用平台,shi'yong'ping'tai
鼠标接口,shu'biao'jie'kou
数据线,shu'ju'xian
双敏,shuang'min
双通道,shuang'tong'dao
斯巴达克,si'ba'da'ke
四相供电,si'xiang'gong'dian
随机附件,sui'ji'fu'jian
索泰,suo'tai
天机,tian'ji
同冠,tong'guan
图形芯片,tu'xing'xin'pian
外接端口,wai'jie'duan'kou
外形尺寸,wai'xing'chi'cun
网卡,wang'ka
网卡芯片,wang'ka'xin'pian
维博特,wei'bo'te
威盛,wei'sheng
微星,wei'xing
显卡,xian'ka
显卡插槽,xian'ka'cha'cao
显示核心,xian'shi'he'xin
翔升,xiang'sheng
信步,xin'bu
芯片厂商,xin'pian'chang'shang
芯片组,xin'pian'zu
芯片组描述,xin'pian'zu'miao'shu
亚帝伦,ya'di'lun
一级缓存,yi'ji'huan'cun
音频芯片,yin'pin'xin'pian
影驰,ying'chi
映泰,ying'tai
盈通,ying'tong
映众,ying'zhong
支持数,zhi'chi'shu
致铭,zhi'ming
种类,zhong'lei
中央处理器,zhong'yang'chu'li'qi
主板板型,zhu'ban'ban'xing
主芯片组,zhu'xin'pian'zu
自动变相节能,zi'dong'bian'xiang'jie'neng
总线频率,zong'xian'pin'lv
钻石,zuan'shi
最大支持,zui'da'zhi'chi
