阿多,a'duo
艾德,ai'de
艾德公爵,ai'de'gong'jue
艾德穆,ai'de'mu
艾德史塔克,ai'de'shi'ta'ke
艾德史塔克家族,ai'de'shi'ta'ke'jia'zu
艾拉莉亚,ai'la'li'ya
艾莉亚,ai'li'ya
艾林家族,ai'lin'jia'zu
艾米莉亚,ai'mi'li'ya
艾萨克,ai'sa'ke
奥伯伦,ao'bo'lun
奥伦娜,ao'lun'na
巴利斯坦,ba'li'si'tan
巴隆,ba'long
巴隆葛雷乔伊,ba'long'ge'lei'qiao'yi
拜拉席恩,bai'la'xi'en
拜拉席恩家族,bai'la'xi'en'jia'zu
班扬,ban'yang
北境,bei'jing
北境不忘,bei'jing'bu'wang
北境守卫,bei'jing'shou'wei
北境之王,bei'jing'zhi'wang
贝勒圣堂,bei'le'sheng'tang
奔狼的血液,ben'lang'de'xue'ye
奔流城,ben'liu'cheng
冰雨的风暴,bing'yu'de'feng'bao
冰与火之歌,bing'yu'huo'zhi'ge
冰原狼名,bing'yuan'lang'ming
波顿,bo'dun
波顿家族,bo'dun'jia'zu
不焚者,bu'fen'zhe
布兰,bu'lan
布兰登,bu'lan'deng
布林登,bu'lin'deng
不胜则亡,bu'sheng'ze'wang
查里斯,cha'li'si
长城守卫,chang'cheng'shou'wei
惩罚之路,cheng'fa'zhi'lu
大琼恩,da'qiong'en
打碎镣铐之人,da'sui'liao'kao'zhi'ren
戴佛斯,dai'fo'si
丹妮,dan'ni
丹妮莉丝,dan'ni'li'si
丹尼莉丝,dan'ni'li'si
丹斯,dan'si
德瑞克,de'rui'ke
多恩,duo'en
多恩的红毒蛇,duo'en'de'hong'du'she
多莉亚,duo'li'ya
多斯拉克人,duo'si'la'ke'ren
凡人皆需侍奉,fan'ren'jie'xu'shi'feng
凡人皆有一死,fan'ren'jie'you'yi'si
菲尔利,fei'er'li
风暴降生,feng'bao'jiang'sheng
风暴之地,feng'bao'zhi'di
疯王,feng'wang
佛雷家族,fo'lei'jia'zu
佛罗伦家族,fo'luo'lun'jia'zu
格雷果,ge'lei'guo
葛雷乔伊,ge'lei'qiao'yi
葛雷乔伊大王,ge'lei'qiao'yi'da'wang
葛雷乔伊家族,ge'lei'qiao'yi'jia'zu
格里森,ge'li'sen
狗熊与美少女,gou'xiong'yu'mei'shao'nv
谷地,gu'di
国王大道,guo'wang'da'dao
哈灵顿,ha'ling'dun
骸骨花园,hai'gu'hua'yuan
赫加尔,he'jia'er
河间地,he'jian'di
赫伦堡幽灵,he'lun'bao'you'ling
河湾地,he'wan'di
黑白之院,hei'bai'zhi'yuan
黑色翅膀,hei'se'chi'bang
黑色消息,hei'se'xiao'xi
黑水之战,hei'shui'zhi'zhan
红毒蛇,hong'du'she
红色婚礼,hong'se'hun'li
化为双剑,hua'wei'shuang'jian
皇家婚礼,huang'jia'hun'li
黄金团,huang'jin'tuan
黄金王冠,huang'jin'wang'guan
灰风,hui'feng
毁誉之人,hui'yu'zhi'ren
霍斯特,huo'si'te
火吻而生,huo'wen'er'sheng
继他之名,ji'ta'zhi'ming
基特,ji'te
贾昆,jia'kun
艰难堡,jian'nan'bao
剑之尖端,jian'zhi'jian'duan
杰奥莫尔蒙,jie'ao'mo'er'meng
杰克,jie'ke
杰诺斯史林特,jie'nuo'si'shi'lin'te
境外蛮族,jing'wai'man'zu
玖健,jiu'jian
绝境攀登,jue'jing'pan'deng
君临,jun'lin
君临城,jun'lin'cheng
卡奥,ka'ao
卡拉萨,ka'la'sa
卡丽熙,ka'li'xi
卡斯特梅的雨季,ka'si'te'mei'de'yu'ji
凯冯,kai'feng
凯特琳,kai'te'lin
凯岩城,kai'yan'cheng
凯岩城公爵,kai'yan'cheng'gong'jue
克拉克,ke'la'ke
魁尔斯城,kui'er'si'cheng
拉姆斯,la'mu'si
莱莎,lai'sha
莱莎艾林,lai'sha'ai'lin
蓝礼,lan'li
兰尼斯港之盾,lan'ni'si'gang'zhi'dun
兰尼斯特,lan'ni'si'te
兰尼斯特家族,lan'ni'si'te'jia'zu
蓝尼斯特家族,lan'ni'si'te'jia'zu
蓝塞尔,lan'sai'er
狼狮之争,lang'shi'zhi'zheng
劳勃,lao'bo
理查德,li'cha'de
列王的纷争,lie'wang'de'fen'zheng
临冬城公爵,lin'dong'cheng'gong'jue
临冬城王子,lin'dong'cheng'wang'zi
凛冬将至,lin'dong'jiang'zhi
琳娜海蒂,lin'na'hai'di
龙母,long'mu
龙女,long'nv
龙石岛,long'shi'dao
龙之母,long'zhi'mu
卢斯波顿,lu'si'bo'dun
鲁温学士,lu'wen'xue'shi
罗柏,luo'bai
罗德里克爵士,luo'de'li'ke'jue'shi
洛拉斯,luo'la'si
玛格丽,ma'ge'li
马格丽,ma'ge'li
玛格丽特,ma'ge'li'te
马林,ma'lin
马泰尔,ma'tai'er
马泰尔家族,ma'tai'er'jia'zu
麦登,mai'deng
麦茜,mai'qian
梅拉,mei'la
梅丽珊卓,mei'li'shan'zhuo
弥林,mi'lin
弥林女王,mi'lin'nv'wang
弥塞拉,mi'sai'la
弥赛拉,mi'sai'la
米歇尔,mi'xie'er
迷之势力,mi'zhi'shi'li
泯灭童稚,min'mie'tong'zhi
茉丹修女,mo'dan'xiu'nv
魔龙的狂舞,mo'long'de'kuang'wu
魔龙狂舞,mo'long'kuang'wu
摩帕提斯,mo'pa'ti'si
魔山战毒蛇,mo'shan'zhan'du'she
母之怜悯,mu'zhi'lian'min
奈德,nai'de
奴隶之都,nu'li'zhi'du
女妖之子,nv'yao'zhi'zi
欧莎,ou'sha
派席尔大学士,pai'xi'er'da'xue'shi
潘托斯,pan'tuo'si
潘托斯总督,pan'tuo'si'zong'du
培提尔,pei'ti'er
七国统治者,qi'guo'tong'zhi'zhe
七神教团,qi'shen'jiao'tuan
前朝王族,qian'chao'wang'zu
乔佛里,qiao'fo'li
乔弗里,qiao'fu'li
乔拉,qiao'la
琼恩,qiong'en
全境守护者,quan'jing'shou'hu'zhe
权力的游戏,quan'li'de'you'xi
权游,quan'you
群鸦的盛宴,qun'ya'de'sheng'yan
瑞肯,rui'ken
赛尔弥,sai'er'mi
桑铎,sang'duo
瑟曦,se'xi
山姆,shan'mu
山姆威尔,shan'mu'wei'er
珊莎,shan'sha
少狼主,shao'lang'zhu
史塔克,shi'ta'ke
史塔克家族,shi'ta'ke'jia'zu
史坦尼斯,shi'tan'ni'si
逝者不死,shi'zhe'bu'si
守誓之剑,shou'shi'zhi'jian
守夜人,shou'ye'ren
斯坦尼斯,si'tan'ni'si
碎镣之人,sui'liao'zhi'ren
索菲,suo'fei
塔利家族,ta'li'jia'zu
太监瓦里斯,tai'jian'wa'li'si
泰瑞欧,tai'rui'ou
泰温,tai'wen
坦格利安,tan'ge'li'an
坦格利安家族,tan'ge'li'an'jia'zu
坦格利安王朝,tan'ge'li'an'wang'chao
坦格利安一世,tan'ge'li'an'yi'shi
特纳,te'na
提利昂,ti'li'ang
提利尔,ti'li'er
提利尔家族,ti'li'er'jia'zu
铁群岛,tie'qun'dao
铁群岛诸民,tie'qun'dao'zhu'min
铁王座,tie'wang'zuo
统治家族,tong'zhi'jia'zu
徒利,tu'li
徒利家族,tu'li'jia'zu
托曼,tuo'man
瓦德,wa'de
瓦里斯,wa'li'si
万生之子,wan'sheng'zhi'zi
威廉姆斯,wei'lian'mu'si
韦赛里斯,wei'sai'li'si
维斯特洛,wei'si'te'luo
维斯特洛大陆,wei'si'te'luo'da'lu
五王之战,wu'wang'zhi'zhan
席恩,xi'en
席恩葛雷乔伊,xi'en'ge'lei'qiao'yi
西境守护,xi'jing'shou'hu
希林,xi'lin
夏天的孩子,xia'tian'de'hai'zi
先民律法,xian'min'lv'fa
小恶魔,xiao'e'mo
肖恩宾,xiao'en'bin
小指头,xiao'zhi'tou
新旧诸神,xin'jiu'zhu'shen
学城,xue'cheng
血火同源,xue'huo'tong'yuan
雪诺,xue'nuo
雪诺大人,xue'nuo'da'ren
雪伊,xue'yi
耶哥蕊特,ye'ge'rui'te
野人,ye'ren
夜之国度,ye'zhi'guo'du
异鬼,yi'gui
伊利里欧,yi'li'li'ou
伊里斯,yi'li'si
伊蒙学士,yi'meng'xue'shi
詹德利,zhan'de'li
詹姆,zhan'mu
知更展翅,zhi'geng'zhan'chi
至死方休,zhi'si'fang'xiu
